
[00:00:00.000 --> 00:00:02.000]  在接下來的幾個月
[00:00:02.000 --> 00:00:03.700]  我將會跟大家講
[00:00:03.700 --> 00:00:06.700]  《馬太福音》八至十章
[00:00:06.700 --> 00:00:09.700]  如果你想更加投入
[00:00:09.700 --> 00:00:11.500]  你可以在靈修的時候
[00:00:11.500 --> 00:00:13.000]  可以看看這些聖經
[00:00:13.000 --> 00:00:18.500]  為什麼我會選這幾張聖經來跟大家講呢?
[00:00:18.500 --> 00:00:24.000]  原來是在我自己的心念裡面
[00:00:24.000 --> 00:00:28.000]  是跟這個十二小仙之書
[00:00:28.000 --> 00:00:29.500]  是有一些關係的
[00:00:30.000 --> 00:00:35.000]  上個月我跟大家講了十二小仙之書之後
[00:00:35.000 --> 00:00:39.000]  我想到其中一件事
[00:00:39.000 --> 00:00:42.000]  十二小仙之書裡面
[00:00:42.000 --> 00:00:44.000]  其中有一個很重要的訊息
[00:00:44.000 --> 00:00:46.000]  是講神的子民
[00:00:46.000 --> 00:00:49.000]  就是古時的以色列人
[00:00:49.000 --> 00:00:51.000]  他們不守神的約
[00:00:51.000 --> 00:00:56.000]  那個約主要是指十誡和典章律法
[00:00:58.000 --> 00:01:01.000]  神的子民不守神的約之後
[00:01:01.000 --> 00:01:05.000]  後果就是國破家亡
[00:01:05.000 --> 00:01:08.000]  百姓被擄
[00:01:08.000 --> 00:01:10.000]  被藐視
[00:01:10.000 --> 00:01:13.000]  被人欺負
[00:01:13.000 --> 00:01:17.000]  而他們在信仰方面
[00:01:17.000 --> 00:01:21.000]  其實一直都不能夠復興
[00:01:21.000 --> 00:01:25.000]  也都享受不到神應許給他們的福氣
[00:01:27.000 --> 00:01:33.000]  十誡是神在古時頒給以色列人
[00:01:33.000 --> 00:01:35.000]  叫他們遵守
[00:01:35.000 --> 00:01:37.000]  他們也都認同
[00:01:37.000 --> 00:01:39.000]  就是接受了這個約
[00:01:39.000 --> 00:01:41.000]  跟神納約是遵守
[00:01:41.000 --> 00:01:48.000]  這個十誡是作為給當時古時的以色列人
[00:01:48.000 --> 00:01:53.000]  作為生命生活上的指引
[00:01:55.000 --> 00:01:59.000]  十誡就是為舊約的以色列人
[00:01:59.000 --> 00:02:02.000]  我們現在的基督徒
[00:02:02.000 --> 00:02:04.000]  我們新約的信徒
[00:02:04.000 --> 00:02:08.000]  我們有什麼東西作為指引呢?
[00:02:08.000 --> 00:02:11.000]  就是馬太福音
[00:02:11.000 --> 00:02:15.000]  五至七章所講的登山寶訓
[00:02:15.000 --> 00:02:20.000]  在三年前
[00:02:20.000 --> 00:02:22.000]  我找回一些舊紀錄
[00:02:22.000 --> 00:02:25.000]  三年前跟大家講了登山寶訓
[00:02:25.000 --> 00:02:29.000]  很多的聖經學者
[00:02:29.000 --> 00:02:34.000]  他會將十誡跟登山寶訓並列
[00:02:34.000 --> 00:02:37.000]  認為這兩個教訓
[00:02:37.000 --> 00:02:42.000]  登山寶訓就好像舊約的十誡
[00:02:42.000 --> 00:02:46.000]  是給新約的信徒作為生活的指引
[00:02:46.000 --> 00:02:53.000]  將這兩樣東西可以說是擺在新約舊約裏面互相輝映
[00:02:53.000 --> 00:02:55.000]  同樣是這麼重要
[00:02:55.000 --> 00:02:58.000]  作為信徒的生活指納
[00:02:58.000 --> 00:03:02.000]  在舊日
[00:03:02.000 --> 00:03:05.000]  神透過摩西班十誡
[00:03:05.000 --> 00:03:07.000]  典章律法給以色列人
[00:03:07.000 --> 00:03:09.000]  當時的以色列人
[00:03:09.000 --> 00:03:11.000]  他們是很開心
[00:03:11.000 --> 00:03:14.000]  很樂意去跟神納這個約
[00:03:14.000 --> 00:03:17.000]  並且答應要遵守
[00:03:17.000 --> 00:03:20.000]  但是歡喜了沒多久之後
[00:03:20.000 --> 00:03:22.000]  他們就放鬆了
[00:03:22.000 --> 00:03:24.000]  甚至後來
[00:03:24.000 --> 00:03:28.000]  是完全將神的十誡
[00:03:28.000 --> 00:03:30.000]  典章律法置之老後
[00:03:30.000 --> 00:03:35.000]  我們從我們講十二小仙書語的時候
[00:03:35.000 --> 00:03:37.000]  就很清楚看到他們
[00:03:37.000 --> 00:03:41.000]  他們完全不理神的誡命
[00:03:45.000 --> 00:03:50.000]  我們看到不單是小仙之書
[00:03:50.000 --> 00:03:57.000]  其實獵王記的很多歷史的記載裏面都看到
[00:03:57.000 --> 00:04:00.000]  他們因為不守神的律法
[00:04:00.000 --> 00:04:03.000]  國家就越來越弱
[00:04:03.000 --> 00:04:05.000]  後來就滅亡
[00:04:05.000 --> 00:04:12.000]  對我們新約的信徒來講
[00:04:12.000 --> 00:04:16.000]  耶穌給了我們登山補訓
[00:04:16.000 --> 00:04:20.000]  耶穌在登山補訓最後的時候
[00:04:20.000 --> 00:04:25.000]  他說登山補訓最後那段
[00:04:25.000 --> 00:04:26.000]  根據聖經記載
[00:04:26.000 --> 00:04:29.000]  就是《馬太福音》七章尾的時候
[00:04:29.000 --> 00:04:31.000]  譬如看二十四節
[00:04:31.000 --> 00:04:33.000]  在七章二十四節那裏
[00:04:33.000 --> 00:04:42.000]  所以凡聽見我這教訓就去行的人
[00:04:42.000 --> 00:04:44.000]  他就是個聰明人
[00:04:44.000 --> 00:04:45.000]  等等等等
[00:04:45.000 --> 00:04:46.000]  後面又講
[00:04:46.000 --> 00:04:49.000]  如果不是他聽見不去行
[00:04:49.000 --> 00:04:51.000]  他就是一個無知的人
[00:04:51.000 --> 00:04:56.000]  耶穌這樣講這句話的時候
[00:04:56.000 --> 00:04:59.000]  他是期待人聽到之後
[00:04:59.000 --> 00:05:01.000]  有一個衝動反應
[00:05:01.000 --> 00:05:03.000]  作一個聰明的選擇
[00:05:03.000 --> 00:05:06.000]  當他說這樣就聰明這樣就蠢
[00:05:06.000 --> 00:05:08.000]  我們教兒女都是這樣
[00:05:08.000 --> 00:05:10.000]  這樣才聰明這樣就蠢
[00:05:10.000 --> 00:05:13.000]  你當然期待他聽完之後
[00:05:13.000 --> 00:05:15.000]  那我選聰明那個
[00:05:15.000 --> 00:05:16.000]  是這樣的
[00:05:16.000 --> 00:05:20.000]  耶穌講了這樣就聰明這樣就無知
[00:05:20.000 --> 00:05:24.000]  他期待聽的人作一個選擇
[00:05:24.000 --> 00:05:28.000]  那我們就要選擇做聰明那個
[00:05:32.000 --> 00:05:38.000]  那我們有沒有做一個聰明的選擇呢?
[00:05:38.000 --> 00:05:44.000]  就是肯不肯按耶穌的教訓來生活呢?
[00:05:44.000 --> 00:05:50.000]  這個也是我今天想和大家講的主要訊息
[00:05:50.000 --> 00:05:54.000]  我們聽完之後
[00:05:54.000 --> 00:05:56.000]  我們選擇了什麼呢?
[00:05:56.000 --> 00:05:58.000]  是不是要選擇這一生人
[00:05:58.000 --> 00:06:00.000]  我們按他的教訓生活
[00:06:00.000 --> 00:06:02.000]  做一個聰明人呢?
[00:06:02.000 --> 00:06:07.000]  如果有些人還沒看過登山補訓
[00:06:07.000 --> 00:06:10.000]  我鼓勵你自己回去看
[00:06:10.000 --> 00:06:13.000]  馬太福音五至七章
[00:06:13.000 --> 00:06:16.000]  然後做一個聰明的選擇
[00:06:16.000 --> 00:06:24.000]  為了要加強大家對這個選擇的信心
[00:06:24.000 --> 00:06:27.000]  所以我就要和大家講
[00:06:27.000 --> 00:06:29.000]  馬太福音八至十章
[00:06:29.000 --> 00:06:31.000]  讓大家知道
[00:06:31.000 --> 00:06:33.000]  你所將要
[00:06:33.000 --> 00:06:34.000]  如果你還沒選擇
[00:06:34.000 --> 00:06:35.000]  你將要選擇
[00:06:35.000 --> 00:06:38.000]  你作這個選擇是很重要
[00:06:38.000 --> 00:06:41.000]  或者你已經選擇了
[00:06:41.000 --> 00:06:45.000]  這個選擇不單止是一個聰明的選擇
[00:06:45.000 --> 00:06:48.000]  而且更是一個有福的選擇
[00:06:48.000 --> 00:06:55.000]  我們要很清楚知道我們究竟選擇了什麼
[00:06:55.000 --> 00:06:59.000]  不要好像古時的以色列人那樣
[00:06:59.000 --> 00:07:01.000]  他們選擇了
[00:07:01.000 --> 00:07:03.000]  但是很快就放下
[00:07:03.000 --> 00:07:06.000]  因為他們不是真的很有心
[00:07:06.000 --> 00:07:09.000]  或者他們不是知道很清楚
[00:07:09.000 --> 00:07:15.000]  我們不要好像以前的以色列人那樣
[00:07:15.000 --> 00:07:17.000]  聽到教訓
[00:07:17.000 --> 00:07:19.000]  但是很快就忘記
[00:07:19.000 --> 00:07:21.000]  以致失去了應有的福氣
[00:07:23.000 --> 00:07:27.000]  我會和大家從不同的角度來看
[00:07:27.000 --> 00:07:31.000]  為什麼我們要選擇做一個聰明人
[00:07:31.000 --> 00:07:36.000]  為什麼我們要接受耶穌的教訓
[00:07:36.000 --> 00:07:40.000]  或者我們為什麼要接受登山補訓的指引
[00:07:40.000 --> 00:07:44.000]  今天我先會和
[00:07:44.000 --> 00:07:49.000]  從耶穌所擁有的權柄來說
[00:07:50.000 --> 00:07:54.000]  為什麼要從權柄來說
[00:07:54.000 --> 00:07:56.000]  登山補訓
[00:07:56.000 --> 00:07:59.000]  為什麼會被視為好像舊約的十誡
[00:07:59.000 --> 00:08:02.000]  為什麼我們必須要跟從
[00:08:02.000 --> 00:08:05.000]  就是說是誰說的
