
[00:00:00.000 --> 00:00:02.000]  弟兄姐妹平安
[00:00:02.000 --> 00:00:08.000]  問大家一個不是太難回答的聖經問題
[00:00:08.000 --> 00:00:17.000]  聖經書卷裡面 新約最短的四卷書是哪四卷?
[00:00:17.000 --> 00:00:20.000]  其中今天的約翰二書就其中一卷
[00:00:20.000 --> 00:00:24.000]  上次我們講了斐理門書也是很短的一本
[00:00:24.000 --> 00:00:27.000]  接著還有約翰三書 還有猶大書
[00:00:27.000 --> 00:00:31.000]  那今天我們講約翰二書
[00:00:31.000 --> 00:00:34.000]  不知道大家有沒有經歷過或聽過
[00:00:34.000 --> 00:00:39.000]  現在的年輕的父母要養育孩子
[00:00:39.000 --> 00:00:46.000]  跟祖父母輩有可能有一個不同的育兒的方式
[00:00:46.000 --> 00:00:50.000]  那有些爺爺奶奶公公婆婆就特別喜歡
[00:00:50.000 --> 00:00:52.000]  特別愛這孫子孫女
[00:00:52.000 --> 00:00:58.000]  然後巴不得給最好的物資給這些的孫子孫女
[00:00:58.000 --> 00:01:01.000]  但有時候會出現一種情況就是
[00:01:01.000 --> 00:01:06.000]  這些做法比較是出於是驕縱的做法
[00:01:06.000 --> 00:01:09.000]  那甚至是影響了這些孩子的學習
[00:01:09.000 --> 00:01:11.000]  那我聽過一些情況
[00:01:11.000 --> 00:01:16.000]  有些小朋友說他四歲的時候還是在用尿片
[00:01:16.000 --> 00:01:22.000]  五歲的時候還是要人幫他餵飯才可以吃
[00:01:22.000 --> 00:01:26.000]  八歲的時候還要奶奶幫忙洗澡
[00:01:26.000 --> 00:01:30.000]  那原來長輩很愛這些孫子孫女的時候
[00:01:30.000 --> 00:01:33.000]  他們一直照顧他們
[00:01:33.000 --> 00:01:37.000]  飯來就開口 衣來就張手
[00:01:37.000 --> 00:01:38.000]  我問一個問題
[00:01:38.000 --> 00:01:43.000]  這種愛到底是不是一種好的愛
[00:01:43.000 --> 00:01:46.000]  溺愛不是真愛
[00:01:46.000 --> 00:01:48.000]  愛需要真理
[00:01:48.000 --> 00:01:50.000]  那這不單涉及家庭
[00:01:50.000 --> 00:01:53.000]  甚至還涉及國家的政治關係
[00:01:53.000 --> 00:01:55.000]  那今年8月18號
[00:01:55.000 --> 00:01:58.000]  那美國國務院首次證實
[00:01:58.000 --> 00:02:04.000]  因為伊朗還沒有釋放那些被關押的美國囚犯
[00:02:04.000 --> 00:02:08.000]  所以美國就扣押了一個原來飛往伊朗的飛機
[00:02:08.000 --> 00:02:11.000]  你知道裡面裝了多少錢嗎
[00:02:11.000 --> 00:02:15.000]  飛機裡面裝了4億的美金
[00:02:15.000 --> 00:02:18.000]  那有人懷疑這個4個億的美金
[00:02:18.000 --> 00:02:21.000]  是用來交換人質用的
[00:02:21.000 --> 00:02:23.000]  很多人在質疑
[00:02:23.000 --> 00:02:25.000]  美國如果真的答應伊朗
[00:02:25.000 --> 00:02:29.000]  用這些贖金來換取美國人質
[00:02:29.000 --> 00:02:35.000]  那會不會給世界上的所有的恐怖份子一個信息
[00:02:35.000 --> 00:02:37.000]  就是告訴他們
[00:02:37.000 --> 00:02:43.000]  綁架人質用來換取金錢是有效的
[00:02:43.000 --> 00:02:45.000]  那也許美國就會成為
[00:02:45.000 --> 00:02:51.000]  向世界上資助恐怖份子最多的國家之一
[00:02:51.000 --> 00:02:54.000]  那我們知道政治事件十分的複雜
[00:02:54.000 --> 00:02:56.000]  不容易做一個簡單的評論
[00:02:56.000 --> 00:02:59.000]  但是有些事情讓我們看到
[00:02:59.000 --> 00:03:02.000]  愛的確是需要有智慧
[00:03:02.000 --> 00:03:08.000]  愛的確需要有真理來作為基礎來實踐
[00:03:08.000 --> 00:03:11.000]  那聖經的教導又是怎麼樣子呢
[00:03:11.000 --> 00:03:14.000]  今天題目叫做真愛
[00:03:14.000 --> 00:03:16.000]  我在這裡說的真愛
[00:03:16.000 --> 00:03:20.000]  其實是在真理當中彼此相愛
[00:03:20.000 --> 00:03:25.000]  在真理當中彼此相愛
[00:03:25.000 --> 00:03:28.000]  那約翰二書是新約裡面
[00:03:28.000 --> 00:03:31.000]  篇幅我剛剛說的是最短的其中一本
[00:03:31.000 --> 00:03:34.000]  而且其實是四本當中最短的
[00:03:34.000 --> 00:03:37.000]  就是說整本的新約書信
[00:03:37.000 --> 00:03:40.000]  包括整本聖經也是最短的一卷書
[00:03:40.000 --> 00:03:43.000]  初期教會就把約翰二書
[00:03:43.000 --> 00:03:46.000]  自稱為長老這個作者
[00:03:46.000 --> 00:03:48.000]  視為使徒約翰
[00:03:48.000 --> 00:03:50.000]  那其實是非常正確的
[00:03:50.000 --> 00:03:52.000]  我們相信當時的信徒都曉得
[00:03:52.000 --> 00:03:56.000]  書信當中寫的長老就是使徒約翰
[00:03:56.000 --> 00:03:59.000]  其中一個很重要的證據就是
[00:03:59.000 --> 00:04:02.000]  我們看到書信裡面很多寫作的內容
[00:04:02.000 --> 00:04:06.000]  都是跟使徒約翰在其他的書信當中
[00:04:06.000 --> 00:04:09.000]  用的寫作方式是一樣的
[00:04:09.000 --> 00:04:11.000]  特別有些詞語說
[00:04:11.000 --> 00:04:13.000]  比如說一個新的命令
[00:04:13.000 --> 00:04:15.000]  彼此相愛
[00:04:15.000 --> 00:04:18.000]  還有一個就是不認耶穌基督
[00:04:18.000 --> 00:04:19.000]  成為佑申來的
[00:04:19.000 --> 00:04:21.000]  這些詞語都是約翰喜歡用的
[00:04:21.000 --> 00:04:23.000]  那誰是受書人呢
[00:04:23.000 --> 00:04:25.000]  就是說寫給誰呢 這本書
[00:04:25.000 --> 00:04:27.000]  那第一節告訴我們
[00:04:27.000 --> 00:04:33.000]  說到是蒙簡選的婦人和她的兒女
[00:04:33.000 --> 00:04:38.000]  我們進一步的根據上下文來推斷的話
[00:04:38.000 --> 00:04:41.000]  應該是指到某個地區的教會
[00:04:41.000 --> 00:04:42.000]  而不是指到某個婦人
[00:04:42.000 --> 00:04:45.000]  實實在在的一個婦人
[00:04:45.000 --> 00:04:48.000]  因為約翰是用一種擬人法
[00:04:48.000 --> 00:04:52.000]  把教會表達為太太
[00:04:52.000 --> 00:04:55.000]  因為其實聖經當中有不同的地方
[00:04:55.000 --> 00:04:58.000]  也是用這個比喻來描寫教會
[00:04:58.000 --> 00:04:59.000]  我們一起來讀一下
[00:04:59.000 --> 00:05:02.000]  哥林多後書十二章二節
[00:05:02.000 --> 00:05:06.000]  我以神的熱愛愛你們
[00:05:06.000 --> 00:05:10.000]  因為我把你們獻給基督
[00:05:10.000 --> 00:05:13.000]  好像把一個貞潔的童女
[00:05:13.000 --> 00:05:16.000]  娶配給一個丈夫
[00:05:16.000 --> 00:05:17.000]  那還有就是
[00:05:17.000 --> 00:05:19.000]  以夫所說五章二十五節
[00:05:19.000 --> 00:05:23.000]  你們做丈夫的要愛妻子
[00:05:23.000 --> 00:05:26.000]  好像基督愛教會
[00:05:26.000 --> 00:05:28.000]  為教會捨己
[00:05:28.000 --> 00:05:30.000]  所以我們知道在聖經
[00:05:30.000 --> 00:05:32.000]  特別是新約的時候
[00:05:32.000 --> 00:05:35.000]  很多時候講到夫妻關係
[00:05:35.000 --> 00:05:36.000]  或講到太太的時候
[00:05:36.000 --> 00:05:38.000]  都是指向教會
[00:05:38.000 --> 00:05:39.000]  所以我們知道這本書
[00:05:39.000 --> 00:05:43.000]  雖然說寫給一個蒙簡選的婦人
[00:05:43.000 --> 00:05:47.000]  但其實是講到某一個地區的教會
[00:05:47.000 --> 00:05:49.000]  而當中說到她的兒女
[00:05:49.000 --> 00:05:52.000]  當然就是裡面的弟兄姊妹
[00:05:52.000 --> 00:05:54.000]  那當時的一個整個的環境
[00:05:54.000 --> 00:05:55.000]  是什麼樣子呢
[00:05:55.000 --> 00:05:56.000]  我們知道那時候
[00:05:56.000 --> 00:05:59.000]  是在羅馬帝國統治當中
[00:05:59.000 --> 00:06:01.000]  那羅馬政府有很大的版圖
[00:06:01.000 --> 00:06:04.000]  我們看裡面有兩種的顏色
[00:06:04.000 --> 00:06:07.000]  那其中就是面積大一點的綠色
[00:06:07.000 --> 00:06:08.000]  包括紫色的時候
[00:06:08.000 --> 00:06:11.000]  就是他們羅馬帝國
[00:06:11.000 --> 00:06:13.000]  就是擴張他們的境界
[00:06:13.000 --> 00:06:16.000]  很大的一個版圖
[00:06:16.000 --> 00:06:18.000]  而且羅馬人呢
[00:06:18.000 --> 00:06:19.000]  這麼大的版圖裡面
[00:06:19.000 --> 00:06:22.000]  建立了很多的交通的要道
[00:06:22.000 --> 00:06:24.000]  而且各個重要的地方
[00:06:24.000 --> 00:06:27.000]  都派了軍隊去保護
