
[00:00:00.000 --> 00:00:06.000]  雨傘運動之後,新一屆立法會成功交替,新一代接行
[00:00:06.000 --> 00:00:12.000]  其實不單止是政治勢力,在社會上整個新一代的崛起
[00:00:12.000 --> 00:00:18.000]  所面對無論是兩代三代甚至四代之間的跨代之間的張力
[00:00:18.000 --> 00:00:21.000]  其實不只是在政治出現的
[00:00:21.000 --> 00:00:28.000]  在學校,在你和我家,甚至在教會
[00:00:28.000 --> 00:00:32.000]  跨代之間的張力,其實是你和我不可以不面對的
[00:00:32.000 --> 00:00:37.000]  沒錯,今天可能我們這一代,或者比我上一代
[00:00:37.000 --> 00:00:43.000]  是很辛苦地穿著內褲在大陸游泳下來
[00:00:43.000 --> 00:00:48.000]  白手興家,很辛苦地興起不單止建立自己的家庭和香港
[00:00:48.000 --> 00:00:55.000]  我們捱過最辛苦的年代,也都覺得所有事情得來不容易
[00:00:55.000 --> 00:01:00.000]  所以很難明白為什麼年輕人有這麼多不同他們的埋怨
[00:01:00.000 --> 00:01:03.000]  為什麼他們不聽話,為什麼他們不可以像我們小時候
[00:01:03.000 --> 00:01:10.000]  回教會那樣,牧師站上台說什麼,我們就坐在下面乖乖地聽
[00:01:10.000 --> 00:01:13.000]  為什麼這個年代不行呢?
[00:01:13.000 --> 00:01:18.000]  無論我們做父母,做教會導師,或者做學校的老師,做傳導人
[00:01:18.000 --> 00:01:21.000]  青少年很特別
[00:01:21.000 --> 00:01:27.000]  我喜歡一位作者,叫Eugene Peterson,由金彼得生
[00:01:27.000 --> 00:01:31.000]  他在《Like Do My Youth》《喜奇門路家》裡面的書中說
[00:01:31.000 --> 00:01:38.000]  他說青少年是神給我們這些做中年父母的一份很大的禮物
[00:01:38.000 --> 00:01:44.000]  各位豐盛家庭的姐妹,我們自己的崇利明家也有很多青少年
[00:01:44.000 --> 00:01:46.000]  我們家裡也有青少年
[00:01:46.000 --> 00:01:54.000]  多麼頂心,多麼不明白也好,其實是一份神給你和我的禮物去學習
[00:01:54.000 --> 00:01:57.000]  今天就想透過這個題目
[00:01:57.000 --> 00:02:00.000]  失落與尋回
[00:02:00.000 --> 00:02:04.000]  去想想究竟青少年人有沒有走呢?
[00:02:04.000 --> 00:02:06.000]  究竟怎樣可以讓他們回來呢?
[00:02:06.000 --> 00:02:10.000]  究竟那個困難在青少年那裡嗎?
[00:02:10.000 --> 00:02:14.000]  還是在我們做父母,做導師,做教務那裡?
[00:02:14.000 --> 00:02:19.000]  選了的是大家很熟悉的,剛才兩位讀得很好的浪子的比喻
[00:02:19.000 --> 00:02:23.000]  很熟悉的了,大家都知道連續幾個失淺失揚的比喻
[00:02:23.000 --> 00:02:26.000]  是在說上帝眼中失去了那個尋回
[00:02:26.000 --> 00:02:29.000]  是好得無比的,跟文士和法利昌人說
[00:02:29.000 --> 00:02:33.000]  其實真的不是直接說做青少年人的父母或者導師
[00:02:33.000 --> 00:02:37.000]  不過,當中代表著天父上帝的角色
[00:02:37.000 --> 00:02:41.000]  裡面的爸爸,兩個浪子的爸爸
[00:02:41.000 --> 00:02:46.000]  有很多東西給我們反思,究竟作為一個青少年人的父母
[00:02:46.000 --> 00:02:48.000]  阿爺,阿嬤,阿公,阿婆
[00:02:48.000 --> 00:02:52.000]  老師或者導師,有些什麼反思?
[00:02:52.000 --> 00:02:57.000]  Sorry,先看那個小孩
[00:02:57.000 --> 00:03:01.000]  那個小孩,大家都看到,他走了去很遠
[00:03:01.000 --> 00:03:03.000]  但其實不是的
[00:03:03.000 --> 00:03:08.000]  給你看看,他其實又不是真的那麼遠
[00:03:08.000 --> 00:03:10.000]  一開始的故事
[00:03:10.000 --> 00:03:16.000]  你跟爸爸說,爸爸,你麻煩把你的身家分了
[00:03:16.000 --> 00:03:19.000]  聽起來好像沒什麼,但其實非常不孝
[00:03:19.000 --> 00:03:21.000]  因為大家查過經,這段經文都知道
[00:03:21.000 --> 00:03:23.000]  什麼時候才是分身家的時候?
[00:03:23.000 --> 00:03:25.000]  爸爸死的時候
[00:03:25.000 --> 00:03:28.000]  爸爸還活生生,我還沒提早退休
[00:03:28.000 --> 00:03:31.000]  還那麼年輕力壯,你說分身家就我死?
[00:03:31.000 --> 00:03:32.000]  臭小子
[00:03:32.000 --> 00:03:35.000]  差不多是這樣的心態和感受
[00:03:35.000 --> 00:03:37.000]  頂心的
[00:03:37.000 --> 00:03:40.000]  不過你又不理
[00:03:40.000 --> 00:03:43.000]  那個爸爸不知為什麼情緒那麼穩定
[00:03:43.000 --> 00:03:46.000]  其實心裏也極不開心,兒子走了就死
[00:03:46.000 --> 00:03:52.000]  但也好,他竟然馬上把產業分給他們
[00:03:52.000 --> 00:03:54.000]  不過在這裡插開一點
[00:03:54.000 --> 00:03:59.000]  有沒有留意到代名詞的單數和眾數?
[00:03:59.000 --> 00:04:02.000]  沒錯,那個小孩是一個人問的
[00:04:02.000 --> 00:04:04.000]  叫他分身家給他一個人
[00:04:04.000 --> 00:04:06.000]  不過爸爸分了身家給誰?
[00:04:06.000 --> 00:04:11.000]  他們,即是包括小孩和大兒子
[00:04:11.000 --> 00:04:14.000]  原來一開始大兒子已經分了去大身家
[00:04:14.000 --> 00:04:16.000]  一會兒看看這份有趣之處
[00:04:16.000 --> 00:04:18.000]  不過爸爸很特別
[00:04:18.000 --> 00:04:21.000]  他很公平,他很公道
[00:04:21.000 --> 00:04:25.000]  其實從來沒有偏心過小孩
[00:04:25.000 --> 00:04:28.000]  其中一樣對青少年有種感覺是
[00:04:28.000 --> 00:04:32.000]  他覺得我們有時做所謂大人或成年人
[00:04:32.000 --> 00:04:35.000]  有時我們看的東西是不公道
[00:04:35.000 --> 00:04:38.000]  的確是我們有時也有不公道的地方
[00:04:38.000 --> 00:04:40.000]  對於教會的人也好
[00:04:40.000 --> 00:04:42.000]  對於家裏幾個不同的子女也好
[00:04:42.000 --> 00:04:44.000]  對於幾個不同的學生也好
[00:04:44.000 --> 00:04:46.000]  爸爸很公道,不過我不是想說這件事
[00:04:46.000 --> 00:04:52.000]  而是那個爸爸竟然在這麼頂心的情況下
[00:04:52.000 --> 00:04:55.000]  他很尊重兒子
[00:04:55.000 --> 00:04:57.000]  父親對小孩的成長空間
[00:04:57.000 --> 00:04:59.000]  他表達了一份尊重
[00:04:59.000 --> 00:05:01.000]  看看他有幾方面對他的尊重
[00:05:01.000 --> 00:05:03.000]  兒子其實很放任爸爸去等待
[00:05:03.000 --> 00:05:05.000]  他第一樣讓他學習
[00:05:05.000 --> 00:05:07.000]  讓爸爸學到的就是
[00:05:07.000 --> 00:05:10.000]  Let go,放手
[00:05:10.000 --> 00:05:14.000]  放手很難的
[00:05:14.000 --> 00:05:16.000]  很害怕
[00:05:16.000 --> 00:05:18.000]  誰知道會怎樣
[00:05:18.000 --> 00:05:20.000]  會失控的
[00:05:20.000 --> 00:05:22.000]  我真的不想放
[00:05:22.000 --> 00:05:24.000]  我習慣了,我讀完大學之後
[00:05:24.000 --> 00:05:27.000]  在我學業,在我工作
[00:05:27.000 --> 00:05:29.000]  在我做生意,在我教會的侍奉
[00:05:29.000 --> 00:05:30.000]  在我家裏
[00:05:30.000 --> 00:05:34.000]  每一樣東西,無論是從家務,燙衣服到炒菜
[00:05:34.000 --> 00:05:38.000]  以及公司那盤掃教會的團契
[00:05:38.000 --> 00:05:41.000]  都在我們四五十歲,五六十歲的人裏
[00:05:41.000 --> 00:05:45.000]  我們掌握得很穩
[00:05:45.000 --> 00:05:47.000]  謝謝你
[00:05:47.000 --> 00:05:49.000]  很難放
[00:05:49.000 --> 00:05:51.000]  還有放是否不顧他們
[00:05:51.000 --> 00:05:53.000]  不理那些年輕人
[00:05:53.000 --> 00:05:57.000]  不是,跟你分享一篇在網上流傳了很久的
