
[00:00:00.000 --> 00:00:04.820]  各位親愛的弟兄姐妹們。
[00:00:04.820 --> 00:00:11.760]  我想問,有多少人已經爲自己立下遺囑的?
[00:00:11.760 --> 00:00:14.080]  好不好舉手?
[00:00:14.080 --> 00:00:17.000]  立下了遺囑的,好不好舉手?
[00:00:17.000 --> 00:00:20.240]  那有多少人,你的父母,
[00:00:20.240 --> 00:00:24.920]  你知道他都已經立下遺囑的,好不好舉手?
[00:00:24.920 --> 00:00:29.000]  遺囑?你不知道什麼是遺囑嗎?
[00:00:29.000 --> 00:00:31.160]  每個人都知道什麼?
[00:00:31.160 --> 00:00:34.440]  臨死前留下他的遺願,
[00:00:34.440 --> 00:00:37.680]  到底我希望我過去了以後,
[00:00:37.680 --> 00:00:39.480]  我的財產怎麼樣分配?
[00:00:39.480 --> 00:00:41.240]  我的房子怎麼樣分配?
[00:00:41.240 --> 00:00:45.160]  我的什麼什麼東西怎麼樣分配?
[00:00:45.160 --> 00:00:52.840]  我自己本身在父親已經死了12年,
[00:00:52.840 --> 00:00:58.120]  我才知道他有遺囑的。
[00:00:58.120 --> 00:01:01.400]  那爲什麼在他死了12年,
[00:01:01.400 --> 00:01:04.000]  我才知道他有遺囑呢?
[00:01:04.000 --> 00:01:09.520]  原因就是,我在美國有10年的時間,
[00:01:09.520 --> 00:01:12.240]  我跟我的哥哥都是分開兩地,
[00:01:12.240 --> 00:01:14.840]  他在香港,我就去了美國。
[00:01:14.840 --> 00:01:17.080]  我回來香港,他也去了美國。
[00:01:17.080 --> 00:01:19.520]  就說我們兩個人是這樣子,
[00:01:19.520 --> 00:01:22.960]  我回來香港,他去美國。
[00:01:22.960 --> 00:01:25.480]  他留在香港,我那個時間就在美國。
[00:01:25.480 --> 00:01:27.520]  是,兩邊對調了。
[00:01:27.520 --> 00:01:32.280]  其中只有10年的時間,我們才聚在一起。
[00:01:32.280 --> 00:01:38.760]  但見面的機會反而比我們分開兩地見面的時間更少。
[00:01:38.760 --> 00:01:43.720]  奇怪,在香港實在是忙得不得了。
[00:01:43.720 --> 00:01:48.240]  我正正式式地回來那段時間,
[00:01:48.240 --> 00:01:50.840]  我的哥哥對我說,
[00:01:50.840 --> 00:01:54.160]  爸爸留下了一個遺囑。
[00:01:54.160 --> 00:01:55.720]  我說是嗎?
[00:01:55.720 --> 00:01:59.840]  原來我們住的房子因爲要拆掉,
[00:01:59.840 --> 00:02:02.280]  政府要收來建醫院,
[00:02:02.280 --> 00:02:09.480]  就是今天的拉達蘇醫院跟大埔醫院那個地方。
[00:02:09.480 --> 00:02:12.760]  因爲我們那個別墅要拆啊,
[00:02:12.760 --> 00:02:17.400]  所以政府就要求我們清理乾淨我們的房子,
[00:02:17.400 --> 00:02:22.920]  然後那塊地政府就沒收,然後賠錢給我們。
