
[00:00:00.000 --> 00:00:06.840]  我們繼續《百姓與天國指名》講座系列的第二講
[00:00:06.840 --> 00:00:16.000]  因爲在教會我們都比較少提到政治這個議題
[00:00:16.000 --> 00:00:19.480]  適逢現在是大選的前夕
[00:00:19.480 --> 00:00:22.320]  所以我們纔會特別有一個系列
[00:00:22.320 --> 00:00:27.960]  講到基督徒與政治這些稍微比較敏感的話題
[00:00:27.960 --> 00:00:33.720]  時間過得很快 再過一個星期就是總統大選
[00:00:33.720 --> 00:00:39.280]  不知道大家心目中有沒有做了決定
[00:00:39.280 --> 00:00:41.480]  我知道很多人都很struggle
[00:00:41.480 --> 00:00:44.600]  即使你說我不是選民也沒想過要投票
[00:00:44.600 --> 00:00:47.120]  但是你只要一開Facebook
[00:00:47.120 --> 00:00:49.680]  所有你的朋友都會post一些
[00:00:49.680 --> 00:00:53.560]  一不是在笑你 一不是在罵Donald Trump
[00:00:53.560 --> 00:00:57.240]  一些視頻各種的article就出來了
[00:00:57.240 --> 00:01:01.440]  所以即使你不是選民也應該整個氣氛
[00:01:01.440 --> 00:01:08.440]  聽說這次總統大選算是歷史以來最多人關注的一屆
[00:01:08.440 --> 00:01:11.960]  因爲美國人其實不是太關心政治
[00:01:11.960 --> 00:01:14.360]  不只是華人 其實美國人都一樣
[00:01:14.360 --> 00:01:16.240]  其實並非那麼關心政治
[00:01:16.240 --> 00:01:19.640]  但是今年無論最後的投票率高還是低
[00:01:19.640 --> 00:01:26.560]  至少今年總統大選辯論的點擊率是最高的
[00:01:26.560 --> 00:01:28.960]  當然是因爲他們兩個的娛樂性都很高
[00:01:28.960 --> 00:01:30.880]  所以很多人都去看
[00:01:30.880 --> 00:01:32.920]  所以也有些人說
[00:01:32.920 --> 00:01:37.880]  即使我是選民但我還沒決定選哪個是很難選的
[00:01:37.880 --> 00:01:40.520]  也套一句馮牧師跟我說
[00:01:40.520 --> 00:01:43.640]  一個陰溼一個鹹溼真的很難選
[00:01:43.640 --> 00:01:46.200]  有些弟兄跟我說
[00:01:46.200 --> 00:01:49.600]  鹹溼和我沒關係
[00:01:49.600 --> 00:01:52.480]  不知道你是選民還是不是選民
[00:01:52.480 --> 00:01:54.800]  或者你已經選定了還是沒選定
[00:01:54.800 --> 00:01:59.480]  在這個系列當中希望我們從聖經裏面來看看
[00:01:59.480 --> 00:02:04.880]  聖經對基督徒在一些很複雜的議題當中
[00:02:04.880 --> 00:02:08.640]  我們到底可以有一個很清晰的立場
[00:02:08.640 --> 00:02:11.240]  知道基督徒我們如何去處理一些
[00:02:11.240 --> 00:02:14.080]  在世上很複雜的政治議題
[00:02:14.080 --> 00:02:18.120]  我們今天只會看一段很短的聖經
[00:02:18.120 --> 00:02:20.880]  在這段聖經我們只講一個點
[00:02:20.880 --> 00:02:24.920]  在說之前想在介紹的時候和大家分享
[00:02:24.920 --> 00:02:28.760]  Philip Yancey寫了一本書叫《Church and Politics》
[00:02:28.760 --> 00:02:31.200]  這本書裏面他講到
[00:02:31.200 --> 00:02:36.920]  基督徒在文化和政治之間有很多不同的模特
[00:02:36.920 --> 00:02:38.600]  大概有五個不同的模特
[00:02:38.600 --> 00:02:40.720]  因爲他寫得比較複雜
[00:02:40.720 --> 00:02:42.800]  我就比較喜歡簡單一點
[00:02:42.800 --> 00:02:44.960]  在我預備少了材料的時候
[00:02:44.960 --> 00:02:46.600]  其中一個參考材料
[00:02:46.600 --> 00:02:51.920]  就是Chip Ingram所寫的一套叫做《Cultural Shock》的材料
[00:02:51.920 --> 00:02:55.440]  這套材料裏面的其中一部就講到《Church and Politics》
[00:02:55.440 --> 00:02:57.480]  他在《Church and Politics》這一部裏面
[00:02:57.480 --> 00:03:02.040]  只是講到很簡單將這個立場分爲兩個不同的極端
[00:03:02.040 --> 00:03:06.280]  然後基督徒在這兩個不同的極端中間找一個平衡點
[00:03:06.280 --> 00:03:09.800]  這兩個極端第一個就稱爲Separatist
[00:03:09.800 --> 00:03:12.520]  Separatist就是其中一羣基督徒覺得
[00:03:12.520 --> 00:03:14.600]  政治都是黑暗的都是邪惡的
[00:03:14.600 --> 00:03:17.280]  所以我們儘量遠離它 什麼都不要碰
[00:03:17.280 --> 00:03:20.040]  所以我們就儘量遠離這個市區
[00:03:20.040 --> 00:03:24.120]  我們就大家去一個很郊外的地方
[00:03:24.120 --> 00:03:26.800]  我們就養一養牛 耕一耕田
[00:03:26.800 --> 00:03:29.120]  我們連電都不用 我們又不上網
[00:03:29.120 --> 00:03:32.200]  我們不想知道這些社會發生什麼事
[00:03:32.200 --> 00:03:34.840]  所以其實在主耶穌在第一世紀的時候
[00:03:34.840 --> 00:03:35.800]  都有一些這樣的人
[00:03:35.800 --> 00:03:40.600]  當時後期的死海古卷之所以被保留下來
[00:03:40.600 --> 00:03:42.160]  就是因爲當時有一羣這樣的人
[00:03:42.160 --> 00:03:43.760]  他們選擇住在曠野
[00:03:43.760 --> 00:03:47.520]  他們就遠離當時他們覺得邪惡的羅馬帝國
[00:03:47.520 --> 00:03:50.280]  他們自己在那些世外桃源的生活
[00:03:50.280 --> 00:03:51.560]  耕種的生活
[00:03:51.560 --> 00:03:52.960]  好像現在的Mennonites
[00:03:52.960 --> 00:03:55.200]  都一樣都是過着同樣的生活
[00:03:55.200 --> 00:03:56.360]  就是他們連電都不用
[00:03:56.360 --> 00:03:57.960]  所有的PG&E都不關我事
[00:03:57.960 --> 00:03:59.640]  沒有任何一樣東西關我事
