
[00:00:00.000 --> 00:00:05.260]  (主席)我今日好歡喜見到各位弟兄姊妹,各位來賓朋友
[00:00:05.260 --> 00:00:08.780]  (主席)and especially all the young people coming to worship with us this morning
[00:00:08.780 --> 00:00:11.700]  (陳鑑林)I am so happy to see everybody here
[00:00:11.700 --> 00:00:16.460]  (主席)我哋今日稱為家庭崇拜
[00:00:16.460 --> 00:00:18.460]  (陳鑑林)Today is family worship
[00:00:18.460 --> 00:00:22.460]  (主席)所以我哋係有一啲嘅英文讓每一個人都聽得明白
[00:00:22.460 --> 00:00:26.460]  (陳鑑林)We will have English interpretation so that everybody can understand it
[00:00:26.460 --> 00:00:30.460]  (主席)我希望各位弟兄姊妹,亦都各位嘅小朋友
[00:00:30.460 --> 00:00:34.460]  (主席)我希望你都幾歡喜今日我哋一齊喺呢度敬拜
[00:00:34.460 --> 00:00:36.460]  (陳鑑林)And I wish that everybody have a good time
[00:00:36.460 --> 00:00:40.460]  (陳鑑林)and the children can understand the message as well
[00:00:40.460 --> 00:00:44.460]  (主席)我今日想繼續嘅斯巴頭先所講,所唱嘅
[00:00:44.460 --> 00:00:48.460]  (主席)就有一個好嘅故事,有一個好嘅福音要話俾各位聽
[00:00:48.460 --> 00:00:52.460]  (陳鑑林)And I want to continue the song that the choir just sang
[00:00:52.460 --> 00:00:54.460]  (陳鑑林)and we carry on with the message
[00:00:54.460 --> 00:00:56.460]  (主席)呢一個好嘅故仔同埋故事就係
[00:00:56.460 --> 00:01:00.460]  (主席)耶穌基督佢嚟到地上面係要作王嘅
[00:01:00.460 --> 00:01:02.460]  (陳鑑林)This story is about Jesus
[00:01:02.460 --> 00:01:05.460]  (陳鑑林)He came and to be the king of this earth
[00:01:05.460 --> 00:01:10.460]  (主席)佢嘅使命唔係淨係單單做你嘅救主,做我嘅救主
[00:01:10.460 --> 00:01:13.460]  (陳鑑林)His mission is not only to come as our savior
[00:01:13.460 --> 00:01:17.460]  (主席)佢要係嚟到係治理同埋管理呢個地球
[00:01:17.460 --> 00:01:23.460]  (主席)一切男女老幼都係被佢所係管理治理
[00:01:23.460 --> 00:01:24.460]  (主席)佢要作我哋嘅王
[00:01:24.460 --> 00:01:28.460]  (陳鑑林)He came also to be the king to reign over all the mankind
[00:01:28.460 --> 00:01:31.460]  (主席)或者你會話而家呢個世界咁亂
[00:01:31.460 --> 00:01:34.460]  (陳鑑林)And then you said there are many turbulence in this world
[00:01:34.460 --> 00:01:36.460]  (主席)咁呢個王喺邊處呢?
[00:01:36.460 --> 00:01:37.460]  (陳鑑林)Where is the king?
[00:01:37.460 --> 00:01:38.460]  (主席)點解佢仲未出現緊呢?
[00:01:38.460 --> 00:01:40.460]  (陳鑑林)How come we don't see the king?
[00:01:40.460 --> 00:01:42.460]  (主席)如果我哋小心嘅睇下聖經
[00:01:42.460 --> 00:01:45.460]  (陳鑑林)And if we look carefully in the bible
[00:01:45.460 --> 00:01:48.460]  (主席)我哋知道呢個王係事後到嘅時候
[00:01:48.460 --> 00:01:53.460]  (主席)佢就會嚟到地上面係作成佢嘅使命
[00:01:53.460 --> 00:01:55.460]  (陳鑑林)And then we can realize that the king will come
[00:01:55.460 --> 00:01:58.460]  (陳鑑林)And the time is appropriate
[00:01:58.460 --> 00:02:00.460]  (主席)耶穌基督已經嚟到呢個地上面
[00:02:00.460 --> 00:02:02.460]  (主席)作為一個英俠咁樣嚟到
