
[00:00:00.000 --> 00:00:02.000]  各位看影聚會 再一次平安
[00:00:02.000 --> 00:00:07.040]  我記得很多年前 可能超過十年前
[00:00:07.040 --> 00:00:10.520]  我就看過一套西片
[00:00:10.520 --> 00:00:13.040]  有沒有看過這一套西片
[00:00:13.040 --> 00:00:18.000]  是看不到的 是不是
[00:00:18.000 --> 00:00:22.480]  OK 就是畢彼特做一套西片
[00:00:22.480 --> 00:00:23.680]  這套西片說什麼呢
[00:00:23.680 --> 00:00:27.520]  就是說這個男主角的人生很奇幻
[00:00:27.520 --> 00:00:30.400]  只是說而已 說他怎麼樣呢
[00:00:30.400 --> 00:00:33.520]  他整個人生一出世後沒多久
[00:00:33.520 --> 00:00:36.400]  雖然是很小的身體
[00:00:36.400 --> 00:00:39.680]  但是很衰老 身體的機能也很衰老
[00:00:39.680 --> 00:00:42.720]  但是他逆轉機靈
[00:00:42.720 --> 00:00:45.520]  慢慢慢慢越來越年輕
[00:00:45.520 --> 00:00:47.520]  到他老的時候
[00:00:47.520 --> 00:00:49.520]  他身邊的朋友都老了
[00:00:49.520 --> 00:00:52.320]  他就變回一個嬰兒
[00:00:52.320 --> 00:00:54.720]  直到死去為止
[00:00:54.720 --> 00:00:56.720]  有沒有看過這套片
[00:00:57.520 --> 00:00:59.520]  想不想是這樣
[00:00:59.520 --> 00:01:01.520]  不想
[00:01:01.520 --> 00:01:03.520]  很奇怪
[00:01:03.520 --> 00:01:05.520]  你身邊的朋友 你自己的伴侶
[00:01:05.520 --> 00:01:07.520]  一路的年長
[00:01:07.520 --> 00:01:09.520]  反而自己越來越年輕
[00:01:09.520 --> 00:01:11.520]  你不知道怎樣跟他們伴過人生
[00:01:11.520 --> 00:01:13.520]  同樣有時候我想想
[00:01:13.520 --> 00:01:15.520]  弟兄姊妹
[00:01:15.520 --> 00:01:17.520]  雖然反腦頑痛
[00:01:17.520 --> 00:01:19.520]  有時候我們越來越年紀大
[00:01:19.520 --> 00:01:21.520]  機器壞的時候
[00:01:21.520 --> 00:01:23.520]  如果我好像十八歲
[00:01:23.520 --> 00:01:25.520]  我就做了很多事 很開心
[00:01:25.520 --> 00:01:27.520]  剛才跟弟兄說
[00:01:27.520 --> 00:01:29.520]  可以去滑浪
[00:01:29.520 --> 00:01:31.520]  我也很想去滑浪
[00:01:31.520 --> 00:01:35.520]  我們很想回憶一下以前的光陰
[00:01:35.520 --> 00:01:37.520]  但是有時候
[00:01:37.520 --> 00:01:39.520]  你想想
[00:01:39.520 --> 00:01:41.520]  是不是一定這麼好的事情
[00:01:41.520 --> 00:01:43.520]  縮退
[00:01:43.520 --> 00:01:45.520]  同樣我想想
[00:01:45.520 --> 00:01:47.520]  教會也是
[00:01:47.520 --> 00:01:49.520]  如果教會我們現在
[00:01:49.520 --> 00:01:51.520]  學生全都回來
[00:01:51.520 --> 00:01:53.520]  我們也有八十至一百人
[00:01:55.520 --> 00:01:57.520]  你期不期望
[00:01:57.520 --> 00:01:59.520]  越來越縮的
[00:01:59.520 --> 00:02:01.520]  可能五年之後
[00:02:01.520 --> 00:02:03.520]  六十 十年之後
[00:02:03.520 --> 00:02:05.520]  四十
[00:02:05.520 --> 00:02:07.520]  二十年之後
[00:02:07.520 --> 00:02:09.520]  三十
[00:02:09.520 --> 00:02:13.520]  如果一間教會這樣的時候
[00:02:13.520 --> 00:02:15.520]  神會怎樣看我們呢
[00:02:15.520 --> 00:02:21.520]  今天我們來看看這段經文
[00:02:21.520 --> 00:02:23.520]  以賽亞書五十四章一至三節
[00:02:23.520 --> 00:02:25.520]  這段經文
[00:02:25.520 --> 00:02:27.520]  很特別
[00:02:27.520 --> 00:02:29.520]  一開始說的時候我們不是很明白
[00:02:29.520 --> 00:02:31.520]  他在說什麼
[00:02:31.520 --> 00:02:33.520]  耶路撒冷你好比不能生育的女子
[00:02:33.520 --> 00:02:35.520]  這是另一個版本
[00:02:35.520 --> 00:02:37.520]  但現在你能歌唱
[00:02:37.520 --> 00:02:39.520]  大聲歡呼
[00:02:39.520 --> 00:02:41.520]  那被冷落的女子會有許多子孫
[00:02:41.520 --> 00:02:43.520]  比始終有丈夫陪伴的女子
[00:02:43.520 --> 00:02:45.520]  新養更多
[00:02:45.520 --> 00:02:47.520]  為什麼他一開始要這樣說呢
[00:02:47.520 --> 00:02:49.520]  原來這段經文的背景
[00:02:49.520 --> 00:02:51.520]  是說到以前有一段時間
[00:02:53.520 --> 00:02:55.520]  北角以色列南角猶大
[00:02:55.520 --> 00:02:57.520]  在當時北角以色列
[00:02:57.520 --> 00:02:59.520]  因為犯罪得罪了神
[00:02:59.520 --> 00:03:01.520]  以致他已經被亞述國
[00:03:01.520 --> 00:03:03.520]  所滅亡
[00:03:03.520 --> 00:03:05.520]  沒了 北角以色列
[00:03:05.520 --> 00:03:07.520]  但當時先知以賽亞
[00:03:07.520 --> 00:03:09.520]  亦都預言剩下的南角猶大國
[00:03:09.520 --> 00:03:11.520]  同樣都會遭到
[00:03:11.520 --> 00:03:13.520]  將要亡國
[00:03:13.520 --> 00:03:15.520]  被俘虜的命運
[00:03:15.520 --> 00:03:17.520]  但同樣亦都
[00:03:17.520 --> 00:03:19.520]  先知有許多的預言
[00:03:19.520 --> 00:03:21.520]  告訴猶大國
[00:03:21.520 --> 00:03:23.520]  五十四將會
[00:03:23.520 --> 00:03:25.520]  在之後能夠
[00:03:25.520 --> 00:03:27.520]  回歸故土 被老歸回
[00:03:27.520 --> 00:03:29.520]  這是神對他們的應許
[00:03:29.520 --> 00:03:31.520]  所以五十四章一節
[00:03:31.520 --> 00:03:33.520]  說到用一個比喻
[00:03:33.520 --> 00:03:35.520]  說到一個
[00:03:35.520 --> 00:03:37.520]  沒有生養不能生育的女子
[00:03:37.520 --> 00:03:39.520]  做一個比喻
[00:03:39.520 --> 00:03:41.520]  特別在以色列以前的文化
[00:03:41.520 --> 00:03:43.520]  越生得多
[00:03:43.520 --> 00:03:45.520]  就越是神祝福他們
[00:03:45.520 --> 00:03:47.520]  為什麼會這樣說呢
[00:03:47.520 --> 00:03:49.520]  在當時來說
[00:03:49.520 --> 00:03:51.520]  沒有希望
[00:03:51.520 --> 00:03:53.520]  沒有子女依靠
[00:03:53.520 --> 00:03:55.520]  的一個人
[00:03:55.520 --> 00:03:57.520]  但是在神裡面
[00:03:57.520 --> 00:03:59.520]  現在
[00:03:59.520 --> 00:04:01.520]  你能歌唱大聲歡呼
[00:04:01.520 --> 00:04:03.520]  為什麼
[00:04:03.520 --> 00:04:05.520]  因為
[00:04:05.520 --> 00:04:07.520]  神將要應許他
[00:04:07.520 --> 00:04:09.520]  他子孫眾多
[00:04:09.520 --> 00:04:11.520]  這是神
[00:04:11.520 --> 00:04:13.520]  對他的應許
[00:04:13.520 --> 00:04:15.520]  所以這裡說
[00:04:15.520 --> 00:04:17.520]  神要對這一群
[00:04:17.520 --> 00:04:19.520]  以色列人說
[00:04:19.520 --> 00:04:21.520]  雖然你們被老
[00:04:21.520 --> 00:04:23.520]  但是有一天你們將會歸回
[00:04:23.520 --> 00:04:25.520]  你們的生養 你們的子子孫孫
[00:04:25.520 --> 00:04:27.520]  比現在更多
[00:04:27.520 --> 00:04:29.520]  我們記得在創世紀
[00:04:29.520 --> 00:04:31.520]  神應許過阿伯拉罕
[00:04:31.520 --> 00:04:33.520]  子孫繁多
[00:04:33.520 --> 00:04:35.520]  天上的星星那麼多
[00:04:35.520 --> 00:04:37.520]  神答應過的事永遠不會落空
[00:04:37.520 --> 00:04:39.520]  所以在這裡繼續
[00:04:39.520 --> 00:04:41.520]  神會繼續承諾的事
[00:04:41.520 --> 00:04:43.520]  會在這裡繼續
[00:04:43.520 --> 00:04:45.520]  而且他們的帳幕要擴大
[00:04:45.520 --> 00:04:47.520]  後裔
[00:04:47.520 --> 00:04:49.520]  必要成為一個大國
[00:04:49.520 --> 00:04:51.520]  這個就是神
[00:04:51.520 --> 00:04:53.520]  對以色列對阿伯拉罕
[00:04:53.520 --> 00:04:55.520]  的應許
[00:04:55.520 --> 00:04:57.520]  各位弟兄姊妹今天我們看看這三隻
[00:04:57.520 --> 00:04:59.520]  的經文在二賽夏書裡面
[00:04:59.520 --> 00:05:01.520]  特別對我們今天拍攝宣導會
[00:05:01.520 --> 00:05:03.520]  我們粵語堂
[00:05:03.520 --> 00:05:05.520]  有什麼的鼓勵 有什麼的提醒
[00:05:05.520 --> 00:05:07.520]  有什麼的應用
[00:05:07.520 --> 00:05:09.520]  我們再一次低頭禱告
[00:05:13.520 --> 00:05:15.520]  天父我們求祢幫助我們
[00:05:15.520 --> 00:05:17.520]  求祢親自
[00:05:17.520 --> 00:05:19.520]  藉著祢的說話提醒我們
[00:05:19.520 --> 00:05:21.520]  激勵我們
[00:05:21.520 --> 00:05:23.520]  引導我們
[00:05:23.520 --> 00:05:25.520]  讓我們行在神祢自己心意
[00:05:25.520 --> 00:05:27.520]  當中 特別將我們這一年
[00:05:27.520 --> 00:05:29.520]  我們要
[00:05:29.520 --> 00:05:31.520]  所服事的 我們所走的
[00:05:31.520 --> 00:05:33.520]  方向 我們交託給主祢
[00:05:33.520 --> 00:05:35.520]  求主祢引導 禱告奉耶穌
[00:05:35.520 --> 00:05:37.520]  基督聖名求 阿們
[00:05:37.520 --> 00:05:39.520]  我們看看第一點
[00:05:41.520 --> 00:05:43.520]  放張帳幕之地
[00:05:43.520 --> 00:05:45.520]  張大居所的萬子
[00:05:45.520 --> 00:05:47.520]  帳幕
[00:05:47.520 --> 00:05:49.520]  萬子和我們有什麼關係
[00:05:49.520 --> 00:05:51.520]  我們今天除了去露營之外都不會睡帳幕
[00:05:51.520 --> 00:05:53.520]  一般 我見到有時走過街
[00:05:53.520 --> 00:05:55.520]  見到有些示威那些人
[00:05:55.520 --> 00:05:57.520]  在南邊都有
[00:05:57.520 --> 00:05:59.520]  一個地方示威很多人
[00:05:59.520 --> 00:06:01.520]  在那裡搭了帳幕
[00:06:01.520 --> 00:06:03.520]  我起碼見到三個月
[00:06:03.520 --> 00:06:05.520]  平時我們不會
[00:06:05.520 --> 00:06:07.520]  住帳幕的
[00:06:07.520 --> 00:06:09.520]  但我們回到以前
[00:06:09.520 --> 00:06:11.520]  聖經的背景
[00:06:11.520 --> 00:06:13.520]  帳幕和萬子當沒有
[00:06:13.520 --> 00:06:15.520]  聖殿
[00:06:15.520 --> 00:06:17.520]  之前是以色列人
[00:06:17.520 --> 00:06:19.520]  敬拜上帝的地方
[00:06:19.520 --> 00:06:21.520]  是以色列人
[00:06:21.520 --> 00:06:23.520]  敬拜上帝
[00:06:23.520 --> 00:06:25.520]  的地方 臨時的地方
[00:06:25.520 --> 00:06:27.520]  所以今天對於我們
[00:06:27.520 --> 00:06:29.520]  教會來說
[00:06:29.520 --> 00:06:31.520]  這個帳幕就是我們
[00:06:31.520 --> 00:06:33.520]  敬拜神的地方
[00:06:33.520 --> 00:06:35.520]  這個地方
[00:06:35.520 --> 00:06:37.520]  可以真是一個
[00:06:37.520 --> 00:06:39.520]  建築物是一個地方
[00:06:39.520 --> 00:06:41.520]  但是
[00:06:41.520 --> 00:06:43.520]  敬拜神的地方不單止
[00:06:43.520 --> 00:06:45.520]  限於這個建築物
[00:06:45.520 --> 00:06:47.520]  而是我們一起聚集的時候
[00:06:47.520 --> 00:06:49.520]  這個就是敬拜神的地方
