
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹,新年平安,主恩上街
[00:00:06.000 --> 00:00:11.000]  今日是大年初二,一年之始
[00:00:11.000 --> 00:00:15.000]  今日是傳統中國人開年的時候
[00:00:15.000 --> 00:00:21.000]  很多人在這個時間預備吃開年飯
[00:00:21.000 --> 00:00:24.000]  因為開年是下午開的
[00:00:24.000 --> 00:00:29.000]  我們都來到這個禮堂當中
[00:00:30.000 --> 00:00:33.000]  我們都有我們新一年的開始
[00:00:33.000 --> 00:00:37.000]  在新年的時候打開電視機
[00:00:37.000 --> 00:00:47.000]  又重複開運,運程,風水演員
[00:00:47.000 --> 00:00:54.000]  出來講很多很多,每年都是這樣
[00:00:54.000 --> 00:00:59.000]  坊間都充滿著問運程
[00:01:00.000 --> 00:01:05.000]  求順境,基督徒求什麼呢?
[00:01:05.000 --> 00:01:13.000]  在今日的場合我們有少少改動
[00:01:13.000 --> 00:01:22.000]  用了一張有顏色的紙,加了少少新春的意趣
[00:01:22.000 --> 00:01:29.000]  我一裝一鞋,有一個新年立志的禱告
[00:01:30.000 --> 00:01:39.000]  用一種莊重的形式來表達新年的願望
[00:01:39.000 --> 00:01:44.000]  左手邊是翠意百福,其實都是很認真的
[00:01:44.000 --> 00:01:50.000]  不過有少少令人覺得有趣
[00:01:51.000 --> 00:02:00.000]  我聖誕節和新年要用這個媒體
[00:02:00.000 --> 00:02:03.000]  send whatsapp出去打個招呼
[00:02:03.000 --> 00:02:06.000]  別人send給你你又不理人,這樣就不行
[00:02:06.000 --> 00:02:10.000]  所以我每個季節都要想一想
[00:02:10.000 --> 00:02:15.000]  我不用截圖,扔一條短片給別人看
[00:02:15.000 --> 00:02:20.000]  因為很煩,同時會收到很多重複的東西
[00:02:21.000 --> 00:02:24.000]  我當然要自己想一想,最簡易是一開就看到
[00:02:24.000 --> 00:02:34.000]  所以我寫了一段,今年放在我的新春祝賀上
[00:02:34.000 --> 00:02:38.000]  有些教會的弟妹姐妹都會收到
[00:02:38.000 --> 00:02:41.000]  這是翠意百福
[00:02:41.000 --> 00:02:46.000]  今年會是怎樣呢?
[00:02:51.000 --> 00:02:58.000]  整個世界,包括香港,就面對一個不明朗的因素
[00:02:58.000 --> 00:03:09.000]  香港選特首,現在都很緊張,特首候選人正在努力當中
[00:03:09.000 --> 00:03:14.000]  香港的前景是怎樣呢?其實是不知道的
[00:03:15.000 --> 00:03:22.000]  這次選舉的進行會帶來甚麼激盪呢?亦都無法預測
[00:03:22.000 --> 00:03:29.000]  更大的問題是美國選了一個無法預測的總統
[00:03:29.000 --> 00:03:34.000]  這個世界的大哥
[00:03:34.000 --> 00:03:40.000]  當時我們看他最初出來的時候
[00:03:41.000 --> 00:03:46.000]  不要說全部人,百分之九十多的人都覺得是玩的
[00:03:46.000 --> 00:03:51.000]  這樣的人,這樣的風格,竟然有機會的
[00:03:51.000 --> 00:03:57.000]  誰知道他出了線,出了線的時候都以為希拉蕊一定會贏
[00:03:57.000 --> 00:04:01.000]  換了這樣的人來選,真是送個寶座給他坐
[00:04:01.000 --> 00:04:06.000]  有沒有這個想法?我曾經有過這個想法
[00:04:07.000 --> 00:04:11.000]  誰知道跑出了,這四年要經常對著他
[00:04:11.000 --> 00:04:15.000]  因為他很喜歡上電視,經常都有東西要報
[00:04:15.000 --> 00:04:21.000]  他的曝光率真是很厲害,一上台就簽很多很多
[00:04:21.000 --> 00:04:25.000]  現在已經是,我新年的時候跟朋友傾,問他們
[00:04:25.000 --> 00:04:29.000]  都是一個答案,沒辦法知道他做甚麼
[00:04:29.000 --> 00:04:33.000]  你是沒辦法知道,不確定的年代
[00:04:34.000 --> 00:04:37.000]  今天看新聞,伊朗又開始出聲
[00:04:37.000 --> 00:04:40.000]  美國的機場又開始有事
[00:04:40.000 --> 00:04:43.000]  都不知道怎樣,真的沒辦法知道
[00:04:43.000 --> 00:04:50.000]  不確定的年代,那些人就會問運程
[00:04:50.000 --> 00:04:55.000]  在困難的日子,那些人就會求順境
[00:04:55.000 --> 00:05:01.000]  這個都是很自然的一種人心的反應
[00:05:02.000 --> 00:05:04.000]  今天我們從聖經裏面看一下
[00:05:04.000 --> 00:05:08.000]  上帝的子民是怎樣過年,他們又求甚麼呢?
[00:05:08.000 --> 00:05:17.000]  我們先回去一段聖經,文素記第29章
[00:05:17.000 --> 00:05:28.000]  舊約的文素記第29章
[00:05:29.000 --> 00:05:36.000]  很長的,我只在這裏讀幾段
[00:05:36.000 --> 00:05:40.000]  根據文素記第29章第一節
[00:05:40.000 --> 00:05:48.000]  七月初一,你們當有聖會,任何勞動的工作都不可做
[00:05:48.000 --> 00:05:53.000]  是你們首為摧國的日子,你們要將一頭
[00:05:54.000 --> 00:06:06.000]  第七節,七月初十,你們當有聖會,要刻苦己心,任何工作都不可做
[00:06:06.000 --> 00:06:19.000]  第十二節,七月十五日,你們當有聖會,任何勞動的工作都不可做,要向耶和華守節七天
[00:06:20.000 --> 00:06:31.000]  這裏是講甚麼呢?你看看聖經第29章的黑字,叫做新年獻的祭
[00:06:31.000 --> 00:06:41.000]  七月初一是以色列的新年
[00:06:41.000 --> 00:06:48.000]  你們要有聖會,任何勞動的工作都不可做,那天是你們摧國的日子,即是摧國節
[00:06:49.000 --> 00:06:57.000]  七月初十,你們當有聖會,要刻苦己心,任何工作都不可做,這是贖罪日
[00:06:57.000 --> 00:07:05.000]  第七節,七月十五日,你們當有聖會,任何勞動的工作都不可做,要向耶和華守節七天,這是鑄棚節
[00:07:05.000 --> 00:07:13.000]  即是由七月初一,到七月初十,到七月十五,連續
[00:07:14.000 --> 00:07:21.000]  所以那段時間千萬不要去以色列旅行,因為他們過年,他們過年是很大的
[00:07:21.000 --> 00:07:29.000]  七月初一他們有聖會,是摧國節的日子
[00:07:29.000 --> 00:07:42.000]  這三大節期都在同一個時間接續,完成了這個摧國節,即是過年,新年,我們現在是新春,初一到人日
[00:07:43.000 --> 00:07:49.000]  派利是就是這段時間,過了人日新年氣氛就淡一些,接著他們有贖罪日
[00:07:49.000 --> 00:07:59.000]  這個摧國節就是他們新年的開始,整個準備一路推向前面就是贖罪日
[00:07:59.000 --> 00:08:10.000]  贖罪日其實是一個自省,反省自己,求上帝的赦免和追求聖業
[00:08:11.000 --> 00:08:29.000]  然後有鑄棚節,鑄棚節就是他們全民在慶祝,亦感恩上帝帶領他們走過埃及的日子
[00:08:30.000 --> 00:08:44.000]  這個是他們過年,而我們今天所讀的聖經就是在摧國節的時候,他們中讀的一段聖經
[00:08:45.000 --> 00:09:01.000]  所以這一個詩篇的47篇,亦都稱為新年之詩,你明白了這個背景,你就明白掌握得到
[00:09:01.000 --> 00:09:13.000]  為甚麼今天我選這首詩來講,這首就是新年之詩,當他們過年的時候,他們就會唱頌這首詩
[00:09:14.000 --> 00:09:26.000]  這首詩就是我們看得到,整個上帝的選民,他們的信仰的核心,我們現在常說的核心價值
[00:09:26.000 --> 00:09:36.000]  信仰的基石,他們的核心是甚麼來的呢?他們將自己的信仰放在哪裏呢?就是這首詩呈現的
[00:09:37.000 --> 00:09:47.000]  剛才我們唱了一些詩歌,你留心一下那些詩歌,雖然是古老一點,有些人唱不慣,覺得調子好像很慢,但歌詞很有意思
[00:09:47.000 --> 00:09:58.000]  基督徒在新年裏面唱頌的詩歌,祈求的深度是不同的
[00:09:59.000 --> 00:10:07.000]  詩篇47篇就是以色列人他們信仰的基石,或者宣示他們的
[00:10:07.000 --> 00:10:12.000]  第二節,第六節,第七節,第八節
[00:10:12.000 --> 00:10:23.000]  因為耶和華至高者是可畏的,他是治理全地的大君王
[00:10:24.000 --> 00:10:31.000]  第六節,你們要向神歌頌,歌頌,向我們的王歌頌,歌頌
[00:10:31.000 --> 00:10:38.000]  因為耶和華,因為神是全地的王,你們要用聖詩歌頌
[00:10:38.000 --> 00:10:51.000]  第八節,神作王治理列國,神坐在他的寶座上,上帝是全地的王
[00:10:52.000 --> 00:11:00.000]  簡單一句,一個信念,上帝是全地的王,就是他們新年的宣告
[00:11:00.000 --> 00:11:11.000]  上帝是全地的王,在新年的時候他們就要宣告給整個民族知道
[00:11:11.000 --> 00:11:19.000]  原來耶和華作王,上帝是全地的王,我們都是他的子民
[00:11:20.000 --> 00:11:31.000]  有一個定位出來,基督教的信仰和民間的信仰有什麼不同呢?
[00:11:31.000 --> 00:11:43.000]  基督教的信仰是回歸上帝,潔淨生命為一個目標
[00:11:44.000 --> 00:11:54.000]  當我們去祈禱,去求上帝的時候,就是我們怎樣去提升我們的生命
[00:11:54.000 --> 00:11:59.000]  以致我們可以去接近上帝
[00:11:59.000 --> 00:12:05.000]  所以我的八福寫來寫去都是有這樣的意思
[00:12:05.000 --> 00:12:11.000]  是一個尋求生命內在的轉化
[00:12:12.000 --> 00:12:17.000]  所以崔國傑之後,他們就是贖罪人
[00:12:17.000 --> 00:12:22.000]  民間的信仰呢?
[00:12:22.000 --> 00:12:32.000]  今早一早,八點九個字,珍爾谷主席就代表車公去求籤
[00:12:32.000 --> 00:12:39.000]  我看新聞看到,求了支上籤,好像很開心
[00:12:40.000 --> 00:12:45.000]  大家都有點壓力,始終好像是一個訊息
[00:12:45.000 --> 00:12:51.000]  一早,電視機當然拍著,想求著香
[00:12:51.000 --> 00:13:00.000]  他們都希望可以求到一些幫助,令到我們順境一點,好走一條路
[00:13:00.000 --> 00:13:09.000]  是有不同的,他們都相信需要一些外在的幫助,自己做不到,有些需要外在的幫助
[00:13:10.000 --> 00:13:13.000]  但氣氛是不同的
[00:13:13.000 --> 00:13:20.000]  他們是求什麼呢?是求一些幫助
[00:13:20.000 --> 00:13:29.000]  哪一個更有能力來幫我的,哪一個靈一點的,我去拜他
[00:13:29.000 --> 00:13:37.000]  主要的願望不是成為更好的人,而是希望得到更好的運
[00:13:38.000 --> 00:13:41.000]  這個和基督教的信仰是有點不同
