
[00:00:00.000 --> 00:00:01.200]  第二節未平安
[00:00:01.200 --> 00:00:04.700]  好,在開始之前,我們有個祈禱
[00:00:30.000 --> 00:00:32.000]  作美好的見證
[00:00:32.000 --> 00:00:33.200]  天父實在多謝祢
[00:00:33.200 --> 00:00:34.700]  讓我們有生命起色
[00:00:34.700 --> 00:00:37.700]  在祢聖殿的當中去敬拜祢
[00:00:37.700 --> 00:00:38.700]  感恩禱告
[00:00:38.700 --> 00:00:41.700]  奉耶穌基督得聖的名字祈求
[00:00:41.700 --> 00:00:42.700]  阿們
[00:00:42.700 --> 00:00:47.700]  在我成長的年代
[00:00:47.700 --> 00:00:49.700]  我們都很喜歡聽故事
[00:00:49.700 --> 00:00:51.700]  大家不知道有沒有聽過
[00:00:51.700 --> 00:00:53.700]  一樣的東西
[00:00:53.700 --> 00:00:55.700]  就叫做衣索寓言
[00:00:55.700 --> 00:00:58.700]  大家知不知道衣索是誰來的呢
[00:00:58.700 --> 00:01:01.700]  原來衣索是在公元前六世紀
[00:01:01.700 --> 00:01:03.700]  西方古希臘
[00:01:03.700 --> 00:01:05.700]  有一個很著名的作家
[00:01:05.700 --> 00:01:07.700]  他真的是這個人,叫做衣索
[00:01:07.700 --> 00:01:09.700]  衣索本來是一個奴隸
[00:01:09.700 --> 00:01:11.700]  不過他很聰明
[00:01:11.700 --> 00:01:13.700]  他很喜歡講故事
[00:01:13.700 --> 00:01:16.700]  所以他留下很多的故事
[00:01:16.700 --> 00:01:18.700]  後人將他的故事
[00:01:18.700 --> 00:01:20.700]  緝錄成叫做衣索寓言
[00:01:20.700 --> 00:01:23.700]  我不知道大家有沒有看過衣索寓言的故事
[00:01:23.700 --> 00:01:25.700]  衣索寓言是很特別的
[00:01:25.700 --> 00:01:29.700]  它不是用人去做這個寓言
[00:01:29.700 --> 00:01:31.700]  它是用了所有的動物
[00:01:31.700 --> 00:01:33.700]  譬如用龜、兔子、魚
[00:01:33.700 --> 00:01:35.700]  透過這些動物
[00:01:35.700 --> 00:01:37.700]  那種談話的藝術
[00:01:37.700 --> 00:01:40.700]  去講出我們的人生
[00:01:40.700 --> 00:01:42.700]  講出我們的人性
[00:01:42.700 --> 00:01:44.700]  所以當人去讀這些的時候
[00:01:44.700 --> 00:01:47.700]  就會覺得那隻兔子為什麼會講說話
[00:01:47.700 --> 00:01:50.700]  那隻龜為什麼會講說話
[00:01:50.700 --> 00:01:52.700]  後來我們透過這些故事
[00:01:52.700 --> 00:01:55.700]  又很明白人生的哲理
[00:01:55.700 --> 00:01:57.700]  因為他用很淺的東西
[00:01:57.700 --> 00:01:59.700]  講我們的人生
[00:01:59.700 --> 00:02:01.700]  於是人看了這些故事
[00:02:01.700 --> 00:02:04.700]  就很領略到他其中
[00:02:04.700 --> 00:02:06.700]  除了衣索之外
[00:02:06.700 --> 00:02:08.700]  我們中國有一個人
[00:02:08.700 --> 00:02:10.700]  不知道大家認不認識他
[00:02:10.700 --> 00:02:12.700]  有沒有讀過他的文章
[00:02:12.700 --> 00:02:15.700]  他叫做莊子,叫做莊周
[00:02:15.700 --> 00:02:17.700]  莊周或者莊子
[00:02:17.700 --> 00:02:19.700]  他都善於用語言
[00:02:19.700 --> 00:02:21.700]  去講故事給人聽
[00:02:21.700 --> 00:02:23.700]  其中我記得我中學時期
[00:02:23.700 --> 00:02:25.700]  讀過一篇文章
[00:02:25.700 --> 00:02:27.700]  叫做《刨丁解惡》
[00:02:27.700 --> 00:02:29.700]  不知道大家讀過沒有
[00:02:29.700 --> 00:02:33.700]  他潛出了人生很多的道理
[00:02:33.700 --> 00:02:35.700]  所以無論我們在東方也好
[00:02:35.700 --> 00:02:36.700]  西方也好
[00:02:36.700 --> 00:02:38.700]  都有一些人
[00:02:38.700 --> 00:02:40.700]  他很喜歡講故事
[00:02:40.700 --> 00:02:41.700]  透過這些故事
[00:02:41.700 --> 00:02:42.700]  無論用動物也好
[00:02:42.700 --> 00:02:44.700]  用人也好
[00:02:44.700 --> 00:02:47.700]  去講出我們人生很多的哲理
[00:02:47.700 --> 00:02:48.700]  有一個人
[00:02:48.700 --> 00:02:51.700]  大約生於二千多年前
[00:02:51.700 --> 00:02:53.700]  他都是很喜歡講故事
[00:02:53.700 --> 00:02:57.700]  他特別用比喻去講一些故事
[00:02:57.700 --> 00:02:59.700]  而他用講比喻的時候
[00:02:59.700 --> 00:03:01.700]  他講這些故事的時候
[00:03:01.700 --> 00:03:04.700]  他是講出一個天國的奧秘
[00:03:04.700 --> 00:03:08.700]  這位就是我們今天要講的耶穌基督
[00:03:08.700 --> 00:03:14.700]  耶穌很喜歡用比喻去講一些道理
[00:03:14.700 --> 00:03:15.700]  我們就會問
[00:03:15.700 --> 00:03:18.700]  耶穌在剛才的經文說
[00:03:18.700 --> 00:03:22.700]  他用比喻對他們講很多的道理
[00:03:22.700 --> 00:03:25.700]  什麼叫做比喻呢?
[00:03:25.700 --> 00:03:29.700]  比喻就是我們用最簡單的方法
[00:03:29.700 --> 00:03:32.700]  或者我們在自然界
[00:03:32.700 --> 00:03:34.700]  在普通的生活裡面
[00:03:34.700 --> 00:03:37.700]  用很活潑的例子
[00:03:37.700 --> 00:03:40.700]  去吸引一些聽者
[00:03:40.700 --> 00:03:41.700]  即是吸引你們
[00:03:41.700 --> 00:03:44.700]  或者當時他們的門徒
[00:03:44.700 --> 00:03:47.700]  他們想要表達一些教訓
[00:03:47.700 --> 00:03:51.700]  或者一些天國的比喻
[00:03:51.700 --> 00:03:52.700]  所以他講的時候
[00:03:52.700 --> 00:03:53.700]  他就會說
[00:03:53.700 --> 00:03:55.700]  天國好比什麼什麼
[00:03:55.700 --> 00:03:58.700]  然後天國又好比什麼什麼
[00:03:58.700 --> 00:04:00.700]  所以用最簡單的方法
[00:04:00.700 --> 00:04:05.700]  去講出當時門徒沒有明白一些東西
[00:04:05.700 --> 00:04:09.700]  這個比喻我們看經文裡面
[00:04:09.700 --> 00:04:12.700]  耶穌用的比喻其實很簡單
[00:04:12.700 --> 00:04:15.700]  他用當日以色列人或者門徒
[00:04:15.700 --> 00:04:16.700]  經常接觸的
[00:04:16.700 --> 00:04:18.700]  就好像那些農夫
[00:04:18.700 --> 00:04:19.700]  小鳥
[00:04:19.700 --> 00:04:20.700]  荊棘
[00:04:20.700 --> 00:04:21.700]  太陽等等
[00:04:21.700 --> 00:04:23.700]  因為經常接觸的時候
[00:04:23.700 --> 00:04:29.700]  人就很容易明白
[00:04:29.700 --> 00:04:31.700]  當我們明白的時候
[00:04:31.700 --> 00:04:32.700]  我們就會問
[00:04:32.700 --> 00:04:36.700]  耶穌基督為什麼用這麼簡單的廢料
[00:04:36.700 --> 00:04:38.700]  去講出什麼道理呢?
[00:04:38.700 --> 00:04:39.700]  其實耶穌基督他想講出
[00:04:39.700 --> 00:04:41.700]  就是天國的奧秘
[00:04:41.700 --> 00:04:43.700]  他所用的材料
[00:04:43.700 --> 00:04:44.700]  就是對一班門徒
[00:04:44.700 --> 00:04:46.700]  一班的人很熟悉
[00:04:46.700 --> 00:04:48.700]  如果我們今天講的故事
[00:04:48.700 --> 00:04:49.700]  我們的取材
[00:04:49.700 --> 00:04:51.700]  是大家都不明白的時候
[00:04:51.700 --> 00:04:52.700]  聽完之後
[00:04:52.700 --> 00:04:54.700]  你都可能會忘記了
[00:04:54.700 --> 00:04:55.700]  不過如果我們說
[00:04:55.700 --> 00:04:56.700]  太陽下山的時候
[00:04:56.700 --> 00:04:58.700]  真的好像一個鹹蛋黃的時候
[00:04:58.700 --> 00:05:00.700]  可能大家都很明白
[00:05:00.700 --> 00:05:03.700]  耶穌他就用這些最簡單
[00:05:03.700 --> 00:05:05.700]  去講出天國的奧秘
[00:05:05.700 --> 00:05:07.700]  其實他沒有什麼
[00:05:07.700 --> 00:05:10.700]  他想引起聽眾那份興趣
[00:05:10.700 --> 00:05:11.700]  繼續聽下去
[00:05:11.700 --> 00:05:13.700]  最後怎麼樣
[00:05:13.700 --> 00:05:19.700]  又能夠去吸引當時聽眾的注意力
[00:05:19.700 --> 00:05:21.700]  不過他最主要的
[00:05:21.700 --> 00:05:23.700]  他的講比喻
[00:05:23.700 --> 00:05:25.700]  他的價值在哪裡呢?
[00:05:25.700 --> 00:05:26.700]  他就是當時的門徒
[00:05:26.700 --> 00:05:29.700]  真的很不明白天國的奧秘
[00:05:29.700 --> 00:05:32.700]  而那些很喜歡耶穌
[00:05:32.700 --> 00:05:34.700]  跟隨他很聽他的道理的人
[00:05:34.700 --> 00:05:36.700]  他又不是很明白
[00:05:36.700 --> 00:05:38.700]  所以耶穌就用他們
[00:05:38.700 --> 00:05:40.700]  經常接觸的雀鳥
[00:05:40.700 --> 00:05:42.700]  荊棘、日頭
[00:05:42.700 --> 00:05:44.700]  去講這個比喻
[00:05:44.700 --> 00:05:47.700]  希望他們聽完這個比喻之後
[00:05:47.700 --> 00:05:49.700]  繼續去問耶穌一些問題
[00:05:49.700 --> 00:05:51.700]  或者繼續去了解
[00:05:51.700 --> 00:05:52.700]  他剛才的比喻
[00:05:52.700 --> 00:05:55.700]  其實是想講些什麼呢?
[00:05:55.700 --> 00:05:56.700]  所以在八福裡面
[00:05:56.700 --> 00:05:59.700]  他說「基學無疑的人有福了
[00:05:59.700 --> 00:06:02.700]  因為他們必得飽足」
[00:06:02.700 --> 00:06:05.700]  所以對天國的奧秘
[00:06:05.700 --> 00:06:06.700]  當時的門徒
[00:06:06.700 --> 00:06:10.700]  應該有一個很深刻的印象
[00:06:10.700 --> 00:06:12.700]  所以他說「你的眼睛是有福
[00:06:12.700 --> 00:06:13.700]  因為你看到
[00:06:13.700 --> 00:06:15.700]  你的耳朵也是有福
[00:06:15.700 --> 00:06:17.700]  因為你聽到」
[00:06:17.700 --> 00:06:20.700]  不過仍然有很多人聽不到
[00:06:20.700 --> 00:06:21.700]  又看不到
[00:06:21.700 --> 00:06:22.700]  為什麼呢?
[00:06:22.700 --> 00:06:25.700]  因為聽不到又看不到的人
[00:06:25.700 --> 00:06:27.700]  那些人是因為他們覺得
[00:06:27.700 --> 00:06:32.700]  聖賢沒有進入他們內心的世界
[00:06:32.700 --> 00:06:34.700]  去改變他們的生命
[00:06:34.700 --> 00:06:37.700]  原來這些人聽完這個比喻之後
[00:06:37.700 --> 00:06:40.700]  都覺得都是這樣
[00:06:40.700 --> 00:06:42.700]  就好像我們讀完神的話語的時候
[00:06:42.700 --> 00:06:44.700]  我們都覺得就是這樣
[00:06:44.700 --> 00:06:46.700]  都沒有什麼特別
[00:06:46.700 --> 00:06:47.700]  所以在經文裡面
[00:06:47.700 --> 00:06:50.700]  有些人是蒙了耳
[00:06:50.700 --> 00:06:51.700]  耳朵發沉
[00:06:51.700 --> 00:06:53.700]  眼睛閉著
[00:06:53.700 --> 00:06:58.700]  所以他沒有將聖賢進入他的心裡面
[00:06:58.700 --> 00:06:59.700]  在第十三章
[00:06:59.700 --> 00:07:01.700]  耶穌用了七個比喻
[00:07:01.700 --> 00:07:04.700]  去講天國的奧秘
[00:07:04.700 --> 00:07:08.700]  這七個比喻就是這樣排列
[00:07:08.700 --> 00:07:09.700]  第一個比喻就是
[00:07:09.700 --> 00:07:11.700]  今天要跟大家講的
[00:07:11.700 --> 00:07:13.700]  殺種的比喻
