
[00:00:00.000 --> 00:00:03.200]  今朝有馬拉松,不知大家有沒有被影響
[00:00:03.200 --> 00:00:05.800]  在車程上,本來要返第一堂
[00:00:05.800 --> 00:00:08.600]  怎知返不到要返第二堂,有沒有呀?
[00:00:08.600 --> 00:00:10.800]  在第一堂我見到有些跑手
[00:00:10.800 --> 00:00:12.800]  無論是童工還是師妹
[00:00:12.800 --> 00:00:15.000]  已經由在八點多
[00:00:15.000 --> 00:00:19.000]  或者他們更早的時間已經跑完一個里數
[00:00:19.000 --> 00:00:21.600]  然後在洗手間抹個身
[00:00:21.600 --> 00:00:24.200]  換件衫,就回來崇拜
[00:00:24.200 --> 00:00:25.800]  很多人喜歡馬拉松
[00:00:25.800 --> 00:00:30.800]  因為我想他們會經驗到那種突破自己
[00:00:30.800 --> 00:00:33.800]  或者是自己能夠在操練的過程裏面
[00:00:33.800 --> 00:00:35.600]  拿到一個成就感
[00:00:35.600 --> 00:00:37.600]  當然啦,大家都有一個經驗
[00:00:37.600 --> 00:00:39.800]  就是一班人一起去跑
[00:00:39.800 --> 00:00:42.200]  一起去成功,一起去衝線
[00:00:42.200 --> 00:00:46.600]  那種勇氣和那種成就
[00:00:46.600 --> 00:00:48.400]  其實人生我們常常都說
[00:00:48.400 --> 00:00:51.800]  都是一個一場的跑步
[00:00:51.800 --> 00:00:55.000]  但我感恩我們能夠經歷耶穌
[00:00:55.000 --> 00:00:56.800]  有一位真的神
[00:00:56.800 --> 00:00:58.200]  剛才我們在敬拜裏面
[00:00:58.200 --> 00:01:02.200]  好心地去被這位耳麻耐尼的神去捉我
[00:01:02.200 --> 00:01:04.400]  神是與我們同在的
[00:01:04.400 --> 00:01:07.800]  而這位神更加是那位
[00:01:07.800 --> 00:01:12.000]  祂不是看今天我有多少就定我
[00:01:12.000 --> 00:01:13.800]  啊,你應該是這樣
[00:01:13.800 --> 00:01:16.000]  或者什麼你這樣
[00:01:16.000 --> 00:01:17.600]  祂不是這樣
[00:01:17.600 --> 00:01:20.200]  祂永遠對我們每一個人
[00:01:20.200 --> 00:01:22.400]  帶著那種很奇妙的盼望
[00:01:22.400 --> 00:01:26.800]  相信,祂看著我們就是一個
[00:01:26.800 --> 00:01:30.000]  可能在馬拉松第一次參加
[00:01:30.000 --> 00:01:32.400]  跑到氣喘的選手
[00:01:32.400 --> 00:01:35.200]  但祂相信我們一路操練
[00:01:35.200 --> 00:01:37.200]  一路不放棄
[00:01:37.200 --> 00:01:39.400]  還有一天跑到全馬
[00:01:39.400 --> 00:01:43.200]  拿到那個牌,或者上到那個台
[00:01:43.200 --> 00:01:47.200]  因為生命是有成長的
[00:01:47.200 --> 00:01:51.600]  所以當我們看羅馬書
[00:01:51.600 --> 00:01:55.400]  見到在第一章裏面告訴我們
[00:01:55.400 --> 00:01:58.800]  每一個人都有罪
[00:01:58.800 --> 00:02:01.200]  我自己丈夫在信耶穌
[00:02:01.200 --> 00:02:03.200]  他都二十多歲人
[00:02:03.200 --> 00:02:05.000]  在做專業的時候
[00:02:05.000 --> 00:02:07.600]  他自己打開羅馬書的時候
[00:02:07.600 --> 00:02:09.600]  其實他都很好
[00:02:09.600 --> 00:02:11.400]  不過羅馬書第一章那種罪
[00:02:11.400 --> 00:02:12.400]  一路數一路數
[00:02:12.400 --> 00:02:15.000]  他自己有一種很大的懦悔
[00:02:15.000 --> 00:02:18.000]  然後他就這樣去信了耶穌
[00:02:18.000 --> 00:02:21.200]  羅馬書第一章裏面所說的罪
[00:02:21.200 --> 00:02:23.000]  一層一層去說
[00:02:23.000 --> 00:02:24.600]  無論你是猶太人也好
[00:02:24.600 --> 00:02:25.600]  外北人也好
[00:02:25.600 --> 00:02:27.200]  是哪一個也好
[00:02:27.200 --> 00:02:29.000]  其實你都被圈在罪裡面
[00:02:29.000 --> 00:02:30.800]  因為我們沒有一個人能夠說
[00:02:30.800 --> 00:02:33.200]  我靠行為,靠自己的堅持
[00:02:33.200 --> 00:02:35.000]  靠自己怎樣操守
[00:02:35.000 --> 00:02:37.200]  我能夠說我聖潔
[00:02:37.200 --> 00:02:39.800]  我能夠沒有犯錯心
[00:02:39.800 --> 00:02:42.000]  第二章去說到猶太人
[00:02:42.000 --> 00:02:44.200]  那種優越感
[00:02:44.200 --> 00:02:47.800]  上一個星期何牧師很精彩的一篇講道
[00:02:47.800 --> 00:02:49.200]  讓我們明白
[00:02:49.200 --> 00:02:52.400]  猶太人因為那種自恃自己
[00:02:52.400 --> 00:02:53.600]  很多的優越
[00:02:53.600 --> 00:02:56.800]  而去踩低外邦人
[00:02:56.800 --> 00:02:57.800]  去到第三章
[00:02:57.800 --> 00:03:00.400]  今天我們會開始第三章
[00:03:00.400 --> 00:03:02.400]  其實準備迎接的就是
[00:03:02.400 --> 00:03:04.400]  下一堂的講道裏面說到
[00:03:04.400 --> 00:03:05.800]  我們眾人都犯了罪
[00:03:05.800 --> 00:03:07.200]  虧缺了神的榮耀
