
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,復活節快樂!
[00:00:03.000 --> 00:00:07.000]  復活節快樂!
[00:00:07.000 --> 00:00:11.000]  好像大家的回應不是很習慣
[00:00:11.000 --> 00:00:12.000]  我們說聖誕節快樂
[00:00:12.000 --> 00:00:14.000]  你很快說:聖誕節快樂,新年快樂
[00:00:14.000 --> 00:00:15.000]  很快回應
[00:00:15.000 --> 00:00:18.000]  好像比較少講復活節快樂,是嗎?
[00:00:18.000 --> 00:00:19.000]  比較少一點
[00:00:19.000 --> 00:00:22.000]  事實上,復活節也是一個歡喜快樂的日子
[00:00:22.000 --> 00:00:25.000]  因為主耶穌基督復活了
[00:00:25.000 --> 00:00:30.000]  今日在微信有內地的牧師給了我一個訊息
[00:00:30.000 --> 00:00:32.000]  主耶穌復活了,我們歡喜快樂
[00:00:32.000 --> 00:00:36.000]  所以我提醒,這是一件很歡喜快樂的事情
[00:00:36.000 --> 00:00:37.000]  德蘭修女曾經講過
[00:00:37.000 --> 00:00:41.000]  不要讓任何的憂愁佔據了你
[00:00:41.000 --> 00:00:47.000]  以致你不能夠體驗到復活基督的喜樂
[00:00:47.000 --> 00:00:51.000]  所以我盼望今天我們去紀念耶穌基督
[00:00:51.000 --> 00:00:53.000]  這個復活的日子裏面
[00:00:53.000 --> 00:00:56.000]  也同樣帶著歡喜快樂的心
[00:00:56.000 --> 00:00:57.000]  我們和旁邊的人說一聲
[00:00:57.000 --> 00:01:01.000]  復活節快樂,好嗎?
[00:01:01.000 --> 00:01:06.000]  要笑著說
[00:01:06.000 --> 00:01:10.000]  剛才徐執事跟我們讀了一段經文
[00:01:10.000 --> 00:01:11.000]  也挺長的
[00:01:11.000 --> 00:01:14.000]  但是在復活節裏面有一個很美麗的故事
[00:01:14.000 --> 00:01:17.000]  因為這是以馬五師路上
[00:01:17.000 --> 00:01:22.000]  兩個很失望的門徒離開耶路撒冷
[00:01:22.000 --> 00:01:24.000]  他們不知道前面的方向是如何
[00:01:24.000 --> 00:01:27.000]  他們不知道根本人生的目的
[00:01:27.000 --> 00:01:30.000]  或者他自己的期望已經失去了
[00:01:30.000 --> 00:01:33.000]  但是在途中竟然遇見了一位復活的耶穌
[00:01:33.000 --> 00:01:36.000]  讓他們的生命改變不再一樣
[00:01:36.000 --> 00:01:38.000]  所以今天我和大家去分享一個題目
[00:01:38.000 --> 00:01:40.000]  叫復活之路
[00:01:40.000 --> 00:01:45.000]  聽起來標題都好像比較
[00:01:45.000 --> 00:01:49.000]  怎麼說呢?俗語說是很慷慨的一個題目
[00:01:49.000 --> 00:01:51.000]  復活之路好像找不到什麼說法
[00:01:51.000 --> 00:01:54.000]  其實裏面有很多的思想
[00:01:54.000 --> 00:01:58.000]  因為事實上在一條以馬五師的路裏面
[00:01:58.000 --> 00:02:01.000]  當耶穌跟這兩個失望的門徒
[00:02:01.000 --> 00:02:04.000]  一邊去傾談一邊走的時候
[00:02:04.000 --> 00:02:07.000]  我們發覺這條路裏面充滿了希冀
[00:02:07.000 --> 00:02:11.000]  發覺這條路上因為復活的主
[00:02:11.000 --> 00:02:16.000]  那種生命帶來了一些不同的解釋
[00:02:16.000 --> 00:02:20.000]  才能夠帶領我們走出了一條失望的路
[00:02:20.000 --> 00:02:24.000]  也是帶領我們進入一個光明的路
[00:02:24.000 --> 00:02:28.000]  最終也是一條我們一生要追尋的道路
[00:02:28.000 --> 00:02:30.000]  所以我就會用這個題目
[00:02:30.000 --> 00:02:33.000]  復活之路去和大家思想
[00:02:33.000 --> 00:02:36.000]  希望藉著耶穌基督的復活
[00:02:36.000 --> 00:02:39.000]  祂本身的意義能夠重新再解釋
[00:02:39.000 --> 00:02:41.000]  耶穌基督的生命
[00:02:41.000 --> 00:02:44.000]  至於知道祂的復活的生命
[00:02:44.000 --> 00:02:47.000]  和我們自己有什麼相關
[00:02:47.000 --> 00:02:50.000]  原來和我們每一個人每個基督徒
[00:02:50.000 --> 00:02:52.000]  是有息息相關
[00:02:52.000 --> 00:02:56.000]  剛才說復活之路是一條
[00:02:56.000 --> 00:03:00.000]  帶領我們走出了失望之路
[00:03:00.000 --> 00:03:04.000]  大家都看到經文裏面開始說
[00:03:04.000 --> 00:03:06.000]  有兩個門徒
[00:03:06.000 --> 00:03:09.000]  他們在十六、十七節裏面提及他們
[00:03:09.000 --> 00:03:12.000]  念想是怎樣?帶著愁容
[00:03:12.000 --> 00:03:15.000]  即是他們垂頭喪氣
[00:03:15.000 --> 00:03:17.000]  一看就知道他們很失望
[00:03:17.000 --> 00:03:20.000]  一看就知道他們經歷了一些挫敗
[00:03:20.000 --> 00:03:25.000]  垂頭喪氣的走一條路離開耶路撒冷裏面
[00:03:25.000 --> 00:03:30.000]  失望的情景我相信我們都曾經會遇到
[00:03:30.000 --> 00:03:32.000]  或者我們常常都會
[00:03:32.000 --> 00:03:34.000]  特別在今天香港的地方
[00:03:34.000 --> 00:03:37.000]  我們說失望我們都很容易很共鳴
[00:03:37.000 --> 00:03:39.000]  我們對很多的事情會失望
[00:03:39.000 --> 00:03:40.000]  我們對成年人會失望
[00:03:40.000 --> 00:03:41.000]  我們對年輕人會失望
[00:03:41.000 --> 00:03:43.000]  我們對政府失望
[00:03:43.000 --> 00:03:45.000]  我們對市民會失望等等
[00:03:45.000 --> 00:03:49.000]  互相都帶著很多的期望在對方身上
[00:03:49.000 --> 00:03:52.000]  但是一廂情願底下我們都很多的失望
[00:03:52.000 --> 00:03:54.000]  或者我們自己都很多的心裏面
[00:03:54.000 --> 00:03:55.000]  很多的想法
[00:03:55.000 --> 00:03:58.000]  有很多的期望
[00:03:58.000 --> 00:03:59.000]  有一些的計劃
[00:03:59.000 --> 00:04:02.000]  但是很多時候都不能夠
[00:04:02.000 --> 00:04:04.000]  這些計劃能夠成就
[00:04:04.000 --> 00:04:06.000]  很多時候是好夢成空
[00:04:06.000 --> 00:04:08.000]  很多時候是失望而回
[00:04:08.000 --> 00:04:09.000]  所以在人生裏面
[00:04:09.000 --> 00:04:12.000]  我們都經歷多多少少的失望
[00:04:12.000 --> 00:04:15.000]  都會有很多這種情況
[00:04:15.000 --> 00:04:19.000]  但是我們看回這兩位門徒
[00:04:19.000 --> 00:04:22.000]  他們的失望是怎樣來的呢?
[00:04:22.000 --> 00:04:24.000]  這兩個門徒他們當然
[00:04:24.000 --> 00:04:29.000]  是看到將他們的希望放在耶穌的身上
[00:04:29.000 --> 00:04:32.000]  他們是很希望耶穌基督
[00:04:32.000 --> 00:04:34.000]  是以色列的王
[00:04:34.000 --> 00:04:36.000]  希望能夠帶領他們
[00:04:36.000 --> 00:04:39.000]  去復興他們的國家
[00:04:39.000 --> 00:04:44.000]  但是耶穌竟然被釘在十字架裏面
[00:04:44.000 --> 00:04:45.000]  判了死刑
[00:04:45.000 --> 00:04:47.000]  然後死了
[00:04:47.000 --> 00:04:50.000]  他們自己的想法就是覺得
[00:04:50.000 --> 00:04:53.000]  耶穌已經死了
[00:04:53.000 --> 00:04:55.000]  已經埋葬在墳墓裏面
[00:04:55.000 --> 00:04:59.000]  他們已經放在耶穌身上的那種期望
[00:04:59.000 --> 00:05:01.000]  是完全破滅了
[00:05:01.000 --> 00:05:05.000]  本來如果耶穌是沒有死亡
[00:05:05.000 --> 00:05:07.000]  沒有釘在十字架裏面
[00:05:07.000 --> 00:05:09.000]  他們會繼續勇往直前
[00:05:09.000 --> 00:05:10.000]  跟隨耶穌
[00:05:10.000 --> 00:05:13.000]  就算要打仗
[00:05:13.000 --> 00:05:15.000]  就算要去做任何事
[00:05:15.000 --> 00:05:17.000]  可能他們都很願意
[00:05:17.000 --> 00:05:21.000]  但是卻想不到耶穌已經釘死十字架
[00:05:21.000 --> 00:05:24.000]  甚至他們的失望到一個情況
[00:05:24.000 --> 00:05:25.000]  後來聽到一些消息
[00:05:25.000 --> 00:05:26.000]  就是那一天
[00:05:26.000 --> 00:05:30.000]  聽到有些婦女說
[00:05:30.000 --> 00:05:31.000]  有門徒說
