
[00:00:00.000 --> 00:00:04.200]  感謝神讓我們的教會在今個禮拜五
[00:00:04.200 --> 00:00:07.320]  禮拜六、禮拜日都有報道大會
[00:00:07.320 --> 00:00:12.020]  我們一同領受馬其頓的意象
[00:00:12.020 --> 00:00:16.360]  「將福音傳給難慮的人聽」
[00:00:16.360 --> 00:00:19.880]  感謝神讓我們在過往的數日崇拜當中
[00:00:19.880 --> 00:00:23.960]  我們都聽得明祂的心意
[00:00:23.960 --> 00:00:32.080]  我們一同領受恩慈款待的宣教使命
[00:00:32.080 --> 00:00:35.980]  所以我們需要打開我們教會的門口
[00:00:35.980 --> 00:00:40.000]  接待客人、接待陌生的人
[00:00:40.000 --> 00:00:42.720]  讓他們進入我們的家
[00:00:42.720 --> 00:00:46.360]  來看看我們的生命
[00:00:46.360 --> 00:00:50.680]  假如我們真的要接待外面的人
[00:00:50.680 --> 00:00:54.300]  我們就需要執拾我們的家
[00:00:54.300 --> 00:00:57.800]  我們需要執拾我們的生命
[00:00:57.800 --> 00:00:59.720]  你說對不對?
[00:00:59.720 --> 00:01:04.340]  讓我們一同繼續禱告
[00:01:04.340 --> 00:01:06.760]  主啊!我們的生命
[00:01:06.760 --> 00:01:09.600]  著實是需要你去執拾
[00:01:09.600 --> 00:01:13.800]  求你讓我們眾弟兄姊妹們繼續去成長
[00:01:13.800 --> 00:01:16.640]  如今我們眾弟兄姊妹們要聽你的話
[00:01:16.640 --> 00:01:22.340]  求你讓我們都能夠聽見我們一同的相信
[00:01:22.340 --> 00:01:29.080]  這樣的祈禱是奉主耶穌基督的名字
[00:01:29.080 --> 00:01:33.880]  我們都希望我們的生命是美好的
[00:01:33.880 --> 00:01:39.880]  我們希望人家見到我們那種美麗
[00:01:39.880 --> 00:01:42.240]  要生命美好
[00:01:42.240 --> 00:01:46.120]  我們的生命就必須要去成長
[00:01:46.120 --> 00:01:50.600]  根據以賽亞書五十八章七至十一節的說法
[00:01:50.600 --> 00:01:54.520]  生命好像嬌冠的原子
[00:01:54.520 --> 00:01:57.960]  水流不絕的泉源
[00:01:57.960 --> 00:02:02.000]  生命就可以常常有神的引導
[00:02:02.000 --> 00:02:04.520]  能夠在剛好的地方
[00:02:04.520 --> 00:02:07.320]  都能夠心滿意足
[00:02:07.320 --> 00:02:09.440]  骨頭強壯
[00:02:09.440 --> 00:02:12.880]  這就是以賽亞書所描述的那種
[00:02:12.880 --> 00:02:16.640]  成長的生命、蒙福的生命
[00:02:16.640 --> 00:02:19.560]  這種生命是叫人
[00:02:19.560 --> 00:02:22.520]  叫自己、叫其他人見到
[00:02:22.520 --> 00:02:27.480]  那種很心碎、那種平安和喜樂
[00:02:27.480 --> 00:02:29.640]  如果是這樣的話
[00:02:29.640 --> 00:02:32.840]  我們如何可以在我們的生命裡面
[00:02:32.840 --> 00:02:37.200]  我們能夠生生不息去成長呢?
[00:02:37.200 --> 00:02:39.520]  你有沒有答案呢?
[00:02:39.520 --> 00:02:44.560]  或者你會說我們就要好好的敬拜
[00:02:44.560 --> 00:02:47.640]  我們要有好的成長班
[00:02:47.640 --> 00:02:50.960]  我們要有讀聖經的操練
[00:02:50.960 --> 00:02:53.200]  祈禱的實踐
[00:02:53.200 --> 00:02:55.480]  我們要默想
[00:02:55.480 --> 00:02:57.400]  我們要禁食
[00:02:57.400 --> 00:03:01.720]  這樣的話我們的生命就可以成長了
[00:03:01.720 --> 00:03:05.280]  這一切都是對的答案
[00:03:05.280 --> 00:03:08.000]  但是還有其他的答案
[00:03:08.000 --> 00:03:11.080]  你知不知道還有其他的答案呢?
[00:03:11.080 --> 00:03:13.840]  讓我們去找一找這個答案
[00:03:13.840 --> 00:03:17.200]  我們想一想、聽一聽
