
[00:00:00.000 --> 00:00:02.000]  (主席) 各位聽眾平安
[00:00:02.000 --> 00:00:04.000]  (主席) 傳道書來到第20講
[00:00:04.000 --> 00:00:06.000]  (主席) 不知道
[00:00:06.000 --> 00:00:08.000]  (主席) 你一見到
[00:00:08.000 --> 00:00:10.000]  (主席) 這個傳道書的時候
[00:00:10.000 --> 00:00:12.000]  (主席) 你的心情是怎樣?
[00:00:12.000 --> 00:00:14.000]  (主席) 是否充滿了虛空?
[00:00:14.000 --> 00:00:16.000]  (主席) 今天的講題就是
[00:00:16.000 --> 00:00:18.000]  (主席) 虛空中的幸福
[00:00:18.000 --> 00:00:20.000]  (主席) 怎樣來到虛空又可以幸福呢?
[00:00:20.000 --> 00:00:22.000]  (主席) 要看看你
[00:00:22.000 --> 00:00:24.000]  (主席) 待會怎樣聽
[00:00:24.000 --> 00:00:26.000]  (主席) 上個星期
[00:00:26.000 --> 00:00:28.000]  (主席) 朱牧師就和我們
[00:00:28.000 --> 00:00:30.000]  (主席) 分享了在一至六節裡
[00:00:30.000 --> 00:00:32.000]  (主席) 面對著
[00:00:32.000 --> 00:00:34.000]  (主席) 這個不可知
[00:00:34.000 --> 00:00:36.000]  (主席) 又不能夠掌握的現實
[00:00:36.000 --> 00:00:38.000]  (主席) 我們要帶著一份
[00:00:38.000 --> 00:00:40.000]  (主席) 積極的態度
[00:00:40.000 --> 00:00:42.000]  (主席) 要做當做的事
[00:00:42.000 --> 00:00:44.000]  (主席) 要有一份不問
[00:00:44.000 --> 00:00:46.000]  (主席) 收穫只問耕耘
[00:00:46.000 --> 00:00:48.000]  (主席) 那種心態
[00:00:48.000 --> 00:00:50.000]  (主席) 來變化不斷的現實
[00:00:50.000 --> 00:00:52.000]  (主席) 在這裡
[00:00:52.000 --> 00:00:54.000]  (主席) 傳道者就向提出一個
[00:00:54.000 --> 00:00:56.000]  (主席) 讀者一個很重要的
[00:00:56.000 --> 00:00:58.000]  (主席) 思考
[00:00:58.000 --> 00:01:00.000]  (主席) 來幫助我們
[00:01:00.000 --> 00:01:02.000]  (主席) 面對著一個積極態度的
[00:01:02.000 --> 00:01:04.000]  (主席) 建立基礎
[00:01:04.000 --> 00:01:06.000]  (主席) 即是說
[00:01:06.000 --> 00:01:08.000]  (主席) 面對著這個變幻不斷的
[00:01:08.000 --> 00:01:10.000]  (主席) 世界的時候
[00:01:10.000 --> 00:01:12.000]  (主席) 為什麼我們要積極去做
[00:01:12.000 --> 00:01:14.000]  (主席) 為什麼要做呢
[00:01:14.000 --> 00:01:16.000]  (主席) 又要憑什麼
[00:01:16.000 --> 00:01:18.000]  (主席) 要有一份積極的態度呢
[00:01:18.000 --> 00:01:20.000]  (主席) 傳道書的第十一章
[00:01:20.000 --> 00:01:22.000]  (主席) 七節十節
[00:01:22.000 --> 00:01:24.000]  (主席) 正正就是為我們
[00:01:24.000 --> 00:01:26.000]  (主席) 做這個功課
[00:01:26.000 --> 00:01:28.000]  (主席) 它透過人生的美好
[00:01:28.000 --> 00:01:30.000]  (主席) 和虛空的交替出現
[00:01:30.000 --> 00:01:32.000]  (主席) 來讓我們知道
[00:01:32.000 --> 00:01:34.000]  (主席) 在一個
[00:01:34.000 --> 00:01:36.000]  (主席) 不可以預計
[00:01:36.000 --> 00:01:38.000]  (主席) 不可以掌握的現實裡面
[00:01:38.000 --> 00:01:40.000]  (主席) 享福
[00:01:40.000 --> 00:01:42.000]  (主席) 可能
[00:01:42.000 --> 00:01:44.000]  (主席) 你都覺得很難明白
[00:01:44.000 --> 00:01:46.000]  (主席) 為什麼有虛空又可以享福呢
[00:01:46.000 --> 00:01:48.000]  (主席) 因為在傳道者的眼中
[00:01:48.000 --> 00:01:50.000]  (主席) 他相信如果我們明白到
[00:01:50.000 --> 00:01:52.000]  (主席) 這個虛空的出現是有價值的時候
[00:01:52.000 --> 00:01:54.000]  (主席) 我們就能夠懂得
[00:01:54.000 --> 00:01:56.000]  (主席) 在人生裡面
[00:01:56.000 --> 00:01:58.000]  (主席) 享受福氣
[00:01:58.000 --> 00:02:00.000]  (主席) 在這裡
[00:02:00.000 --> 00:02:02.000]  (主席) 傳道者在第七章
[00:02:02.000 --> 00:02:04.000]  (主席) 七節的開始
[00:02:04.000 --> 00:02:06.000]  (主席) 至十節這段裡面
[00:02:06.000 --> 00:02:08.000]  (主席) 首先就發出一個很清楚的預告
[00:02:08.000 --> 00:02:10.000]  (主席) 他預告什麼呢
