
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹平安
[00:00:03.000 --> 00:00:08.000]  很高興跟大家分享神的話語
[00:00:08.000 --> 00:00:17.000]  最近我知道有很多人在暑假期間都會去遊船河
[00:00:17.000 --> 00:00:19.000]  不知道大家有沒有心理準備
[00:00:19.000 --> 00:00:28.000]  如果你的船沉了怎麼辦呢?
[00:00:28.000 --> 00:00:35.000]  是不是像魯賓遜漂流記一樣在荒島求生呢?
[00:00:35.000 --> 00:00:43.000]  如果你在荒島上第一件事會做什麼呢?
[00:00:43.000 --> 00:00:49.000]  根據一個心理學家的解釋
[00:00:49.000 --> 00:01:05.000]  他說人有五個不同層次的需求
[00:01:05.000 --> 00:01:14.000]  如果你在荒島上第一件事會做什麼呢?
[00:01:14.000 --> 00:01:22.000]  是不是先找水、找食物呢?
[00:01:22.000 --> 00:01:31.000]  第一層的需要就是生理上的需要
[00:01:31.000 --> 00:01:39.000]  人要有溫飽才能想其他事情
[00:01:39.000 --> 00:01:46.000]  在荒島上第一件事要做就是找水、找食物
[00:01:46.000 --> 00:01:53.000]  第二件事就是安全上的需要
[00:01:53.000 --> 00:02:02.000]  在荒島上找一間比較好的房子
[00:02:02.000 --> 00:02:07.000]  可以遮太陽、擋雨
[00:02:07.000 --> 00:02:11.000]  你會不會想我們現在生活中也有類似的情形呢?
[00:02:11.000 --> 00:02:15.000]  我們現在的生活中也是類似的相似
[00:02:15.000 --> 00:02:17.000]  我相信大家都已經有兩餐飯吃了
[00:02:17.000 --> 00:02:20.000]  我相信大家都會有兩餐飯吃了
[00:02:20.000 --> 00:02:26.000]  兩餐飽了之後就要想想你的退休有什麼需要
[00:02:26.000 --> 00:02:30.000]  那如果有了兩餐飯之後我們就會想退休
[00:02:30.000 --> 00:02:32.000]  我們會想有什麼需要呢?
[00:02:32.000 --> 00:02:35.000]  那就要想想你應該有什麼儲蓄
[00:02:35.000 --> 00:02:37.000]  那有什麼的儲蓄呢?
