
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹早安
[00:00:02.000 --> 00:00:05.000]  能夠在風雨當中
[00:00:05.000 --> 00:00:08.000]  我們來到神的殿去敬拜
[00:00:08.000 --> 00:00:11.000]  這也是神給我們的恩典
[00:00:11.000 --> 00:00:15.000]  讓我們再一次低頭禱告
[00:00:15.000 --> 00:00:19.000]  親愛的聖靈求祢引導我們
[00:00:19.000 --> 00:00:21.000]  引導我們的心
[00:00:21.000 --> 00:00:24.000]  讓我們準備好去領受
[00:00:24.000 --> 00:00:28.000]  祢在風雨當中向我們致下的訊息
[00:00:28.000 --> 00:00:31.000]  我們不單要明白真理
[00:00:31.000 --> 00:00:34.000]  我們更加要活出真理
[00:00:34.000 --> 00:00:35.000]  聽我們的祈禱
[00:00:35.000 --> 00:00:37.000]  奉耶穌基督的聖名祈求
[00:00:37.000 --> 00:00:38.000]  阿門
[00:00:38.000 --> 00:00:42.000]  經過了三堂哥林多後書的導
[00:00:42.000 --> 00:00:44.000]  我相信大家都感受到
[00:00:44.000 --> 00:00:47.000]  哥林多後書實在是一卷
[00:00:47.000 --> 00:00:49.000]  不容易明白的書卷
[00:00:49.000 --> 00:00:52.000]  有人說哥林多後書可能是
[00:00:52.000 --> 00:00:55.000]  所有保羅書信當中最個人
[00:00:55.000 --> 00:00:58.000]  亦都是最難明的一卷書
[00:00:58.000 --> 00:01:02.000]  裏面有著保羅的血汗和淚水
[00:01:02.000 --> 00:01:08.000]  因著保羅和哥林多教會深遠的關係
[00:01:08.000 --> 00:01:14.000]  一方面將他自己的目者心腸表露出來
[00:01:14.000 --> 00:01:15.000]  另一方面
[00:01:15.000 --> 00:01:19.000]  保羅亦都能夠讓他的經歷和掙扎
[00:01:19.000 --> 00:01:23.000]  和他的神學連結在一起
[00:01:23.000 --> 00:01:27.000]  將讀者帶回到上帝的角度
[00:01:27.000 --> 00:01:30.000]  就讓我們迎難而上
[00:01:30.000 --> 00:01:34.000]  看看上帝有甚麼悉切的訊息
[00:01:34.000 --> 00:01:38.000]  藉著哥林多後書向我們講
[00:01:38.000 --> 00:01:43.000]  今天我們就看第二章的十二至十七節
[00:01:43.000 --> 00:01:47.000]  剛才主席和我們讀過
[00:01:47.000 --> 00:01:53.000]  今日的社會對德性有甚麼看法
[00:01:53.000 --> 00:01:56.000]  你又有甚麼看法
[00:01:56.000 --> 00:01:59.000]  我們是活在一個
[00:01:59.000 --> 00:02:03.000]  每一件事都講求表現的社會裏
[00:02:03.000 --> 00:02:05.000]  無論在我們的家庭
