
[00:00:00.000 --> 00:00:06.820]  如果你這個孩子小孩子是從小帶來美國非法居留的
[00:00:06.820 --> 00:00:12.400]  現在他可以讓你成為合法的身份
[00:00:12.400 --> 00:00:14.400]  他特別有講一句話
[00:00:14.400 --> 00:00:18.900]  說這些小朋友是來美國尋夢的
[00:00:18.900 --> 00:00:21.620]  所以政府要成全他們
[00:00:21.620 --> 00:00:23.860]  英文說是dreamer
[00:00:23.860 --> 00:00:25.460]  Hallelujah 這樣沒事
[00:00:25.460 --> 00:00:27.100]  是的
[00:00:27.100 --> 00:00:29.500]  從某種意義來說
[00:00:29.500 --> 00:00:31.700]  上帝是最大的做夢者
[00:00:31.700 --> 00:00:36.300]  因為我們講的夢不是說白日夢
[00:00:36.300 --> 00:00:38.100]  是說你有一個夢想
[00:00:38.100 --> 00:00:39.800]  你有一個vision
[00:00:39.800 --> 00:00:41.700]  你有一個mission
[00:00:41.700 --> 00:00:43.300]  你可以看到
[00:00:43.300 --> 00:00:45.800]  你可以把這個活出來
[00:00:45.800 --> 00:00:47.400]  這叫做夢想
[00:00:47.400 --> 00:00:50.200]  上帝是一個最大的夢想
[00:00:50.200 --> 00:00:52.600]  祂的夢想就是在我們身上
[00:00:52.600 --> 00:00:54.200]  祂檢選了我們
[00:00:54.200 --> 00:00:56.200]  讓我們成為祂的兒女
[00:00:56.200 --> 00:00:58.300]  也讓我們跟祂一樣
[00:00:58.300 --> 00:01:00.000]  我們也要夢想
[00:01:00.000 --> 00:01:01.800]  祂創造我們甚至於
[00:01:01.800 --> 00:01:03.900]  把那個會夢想的心
[00:01:03.900 --> 00:01:06.200]  放在我們裡面
[00:01:06.200 --> 00:01:10.400]  這個我們說是叫做祂的計畫
[00:01:10.400 --> 00:01:12.400]  從根古到永遠
[00:01:12.400 --> 00:01:14.100]  祂這樣子的創造
[00:01:14.100 --> 00:01:16.200]  祂這樣子的塑造
[00:01:16.200 --> 00:01:19.400]  給我們每一個人有生命
[00:01:19.400 --> 00:01:21.700]  給我們有恩賜熱情
[00:01:21.700 --> 00:01:24.300]  還給我們有能力、渴望
[00:01:24.300 --> 00:01:26.500]  甚至於給我們軟弱
[00:01:26.500 --> 00:01:28.700]  但是不管怎麼樣
[00:01:28.700 --> 00:01:31.700]  祂把那夢想放在我們裡面
[00:01:31.700 --> 00:01:34.600]  讓我們的心思意念
[00:01:34.600 --> 00:01:37.500]  有的時候就跟祂一起
[00:01:37.500 --> 00:01:40.100]  好像在夢界裡面
[00:01:40.100 --> 00:01:43.100]  跟祂完全的合一一樣
[00:01:43.100 --> 00:01:45.600]  是的
[00:01:45.600 --> 00:01:47.700]  讓我詢問各位
[00:01:47.700 --> 00:01:53.900]  誰最會做夢啊
[00:01:53.900 --> 00:01:56.200]  大人、小孩子、男孩、女孩
[00:01:56.200 --> 00:01:58.600]  男生、女生
[00:01:58.600 --> 00:01:59.100]  誰最會
[00:01:59.100 --> 00:02:00.700]  有錢人還是窮人還是
[00:02:00.700 --> 00:02:02.500]  誰最會做夢啊
[00:02:02.500 --> 00:02:04.300]  小孩子最會做夢
[00:02:04.300 --> 00:02:05.500]  是的
[00:02:05.500 --> 00:02:09.700]  尤其是我們看我們小時候的時候
[00:02:09.700 --> 00:02:11.800]  老師寫作文
[00:02:11.800 --> 00:02:13.600]  你的理想或者你的夢想
[00:02:13.600 --> 00:02:17.500]  或者你的志願是什麼
[00:02:17.500 --> 00:02:19.200]  每一個人的夢想都很大
[00:02:19.200 --> 00:02:20.500]  不是嗎
[00:02:20.500 --> 00:02:22.100]  要做總統
[00:02:22.100 --> 00:02:23.800]  要做太空人
[00:02:23.800 --> 00:02:26.000]  要做什麼什麼
[00:02:26.000 --> 00:02:30.000]  那麼我從小的夢想就是要做工程師
[00:02:30.000 --> 00:02:31.000]  我也做大了
[00:02:31.000 --> 00:02:34.200]  我從來沒有要做牧師
[00:02:34.200 --> 00:02:35.600]  那有一次我記得
[00:02:35.600 --> 00:02:38.000]  我那時候我兒子很小
[00:02:38.000 --> 00:02:40.200]  他有一天早起了
[00:02:40.200 --> 00:02:43.800]  早起了就聽到垃圾車來了
[00:02:43.800 --> 00:02:46.600]  咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕咕
[00:02:46.600 --> 00:02:49.400]  他好興奮就爬到床頭上面看
[00:02:49.400 --> 00:02:54.500]  看到他說他將來長大要做收垃圾的人
