
[00:00:00.000 --> 00:00:02.740]  各位聽眾平安
[00:00:02.740 --> 00:00:05.180]  大家知道今天是一個特別的主日
[00:00:05.180 --> 00:00:09.640]  是我們教會六十五週年的唐慶主日崇拜
[00:00:09.640 --> 00:00:13.860]  我們很感謝神一想起六十五年
[00:00:13.860 --> 00:00:19.100]  有很多很多不同的恩惠在我們中間顯明出來
[00:00:19.100 --> 00:00:26.160]  教會在這段時間編制了一本叫做「北宣人家」的特刊
[00:00:26.160 --> 00:00:28.600]  裏面有六十五個故事
[00:00:28.600 --> 00:00:31.020]  我看的時候很雀躍
[00:00:31.020 --> 00:00:34.860]  因為見到很多不同年齡、不同背景的弟兄姊妹
[00:00:34.860 --> 00:00:39.920]  講述他們自己在教會成長的一些經歷、一些體會
[00:00:39.920 --> 00:00:44.400]  很感受到上帝在我們中間有很多很多的恩典
[00:00:44.400 --> 00:00:49.400]  亦都明白上帝是透過教會要建立我們
[00:00:49.400 --> 00:00:51.620]  建立祂的子民
[00:00:51.620 --> 00:00:56.420]  六十五週年不單止是說一個機構到達一個階段
[00:00:56.420 --> 00:00:59.900]  而是說有一群人、一群屬神的人
[00:00:59.900 --> 00:01:03.100]  在過程當中恩典的記錄
[00:01:03.100 --> 00:01:06.420]  很多很多不同的體會、不同的經歷
[00:01:06.420 --> 00:01:08.480]  在神的面前蒙恩
[00:01:08.480 --> 00:01:13.680]  因此在裏面去感謝神、去感謝神
[00:01:13.680 --> 00:01:15.220]  我最近想起一件事情
[00:01:15.220 --> 00:01:19.300]  大家或者不介意聽我很簡單講一下
[00:01:19.300 --> 00:01:21.040]  突然間最近想起
[00:01:21.040 --> 00:01:25.920]  因為有一次在路上見到一群我們中間的學生
[00:01:25.920 --> 00:01:29.500]  他們很開心地一路走、一路聊天
[00:01:29.500 --> 00:01:32.520]  旁邊見到一位導師一直帶著他們
[00:01:32.520 --> 00:01:34.920]  他們都一起很快樂地相處
[00:01:34.920 --> 00:01:35.880]  我見到導師
[00:01:35.880 --> 00:01:42.200]  我知道他是很多年來很有愛心地照顧弟兄姊妹
[00:01:42.200 --> 00:01:45.000]  我就想起一件往事
[00:01:45.000 --> 00:01:47.240]  很多年之前我是中學生的時候
[00:01:47.240 --> 00:01:49.680]  已經在北角宣道會上課
[00:01:49.680 --> 00:01:51.320]  我當時在學校裏面讀書
[00:01:51.320 --> 00:01:53.760]  其中一件事情很令我擔心的
[00:01:53.760 --> 00:01:57.480]  就是我有一種科目的成績很差
[00:01:57.480 --> 00:02:00.280]  就是化學科
[00:02:00.280 --> 00:02:03.000]  非常之化學
[00:02:03.000 --> 00:02:03.960]  很多困難
[00:02:03.960 --> 00:02:08.220]  自己都擔心這個科目的將來的情況
[00:02:08.220 --> 00:02:09.160]  但是特別的地方
[00:02:09.160 --> 00:02:11.480]  剛才那位化學科的老師
[00:02:11.480 --> 00:02:14.440]  他是北宣的弟兄
[00:02:14.440 --> 00:02:16.640]  他知道這個學生的情況
[00:02:16.640 --> 00:02:18.920]  有一次突然間主動跟我說
[00:02:18.920 --> 00:02:24.160]  「你是不是覺得很困難?」我說「是的」
[00:02:24.160 --> 00:02:25.960]  他說「我幫你吧」
[00:02:25.960 --> 00:02:28.560]  我當初不知道他怎樣幫我
[00:02:28.560 --> 00:02:31.200]  他說「我幫你補習」
[00:02:31.200 --> 00:02:33.840]  其實當時補習不是很流行
[00:02:33.840 --> 00:02:36.400]  就算有也未必有錢去補習
[00:02:36.400 --> 00:02:37.840]  他說「我幫你吧」
[00:02:37.840 --> 00:02:39.680]  「那怎樣?」
