
[00:00:00.000 --> 00:00:05.840]  今天知道剛才的經文是講今天的港獨
[00:00:05.840 --> 00:00:08.120]  港獨的題目是什麼
[00:00:08.120 --> 00:00:13.120]  「積極勉強見神恩」
[00:00:13.120 --> 00:00:15.640]  勉強大家應該都知道
[00:00:15.640 --> 00:00:18.360]  勉強可能是剛才說的緊緊的
[00:00:18.360 --> 00:00:19.720]  勉強看得到
[00:00:19.720 --> 00:00:22.440]  另外勉強就是說什麼
[00:00:22.440 --> 00:00:27.040]  就好像說今天早上都不想起床
[00:00:27.040 --> 00:00:30.560]  被人催我起床說要上崇拜
[00:00:30.560 --> 00:00:34.360]  很勉強起了床就回來了
[00:00:34.360 --> 00:00:36.680]  或者每天早上都掙扎
[00:00:36.680 --> 00:00:39.680]  要起床上學上班
[00:00:39.680 --> 00:00:40.800]  很不想
[00:00:40.800 --> 00:00:43.280]  不過都要起床
[00:00:43.280 --> 00:00:47.000]  甚至乎我們有時上班都是
[00:00:47.000 --> 00:00:50.200]  上司很想你加班
[00:00:50.200 --> 00:00:51.400]  把事情搞定
[00:00:51.400 --> 00:00:52.680]  你都很勉強
[00:00:52.680 --> 00:00:54.240]  不加都不行
[00:00:54.240 --> 00:00:57.200]  勉強我們都明白
[00:00:57.200 --> 00:00:59.720]  不過我今天講積極勉強
[00:00:59.720 --> 00:01:01.640]  是什麼來的
[00:01:01.640 --> 00:01:05.160]  勉強有分積極和消極的嗎
[00:01:05.160 --> 00:01:06.120]  告訴大家
[00:01:06.120 --> 00:01:08.360]  實在我從頭到尾都不知道
[00:01:08.360 --> 00:01:10.480]  不過聽了講座
[00:01:10.480 --> 00:01:14.760]  紀先生跟我們說的
[00:01:14.760 --> 00:01:15.960]  我就學到了
[00:01:15.960 --> 00:01:16.640]  是的
[00:01:16.640 --> 00:01:18.120]  積極勉強
[00:01:18.120 --> 00:01:19.200]  多好
[00:01:19.200 --> 00:01:21.240]  這裡實在
[00:01:21.240 --> 00:01:22.520]  什麼叫積極勉強
[00:01:22.520 --> 00:01:24.320]  我大致講一講
[00:01:24.320 --> 00:01:25.440]  就是說
[00:01:25.440 --> 00:01:28.520]  當我們理智上知道
[00:01:28.520 --> 00:01:30.560]  要做一些改變
[00:01:30.560 --> 00:01:33.880]  或者我們要去做一件事是好的
[00:01:33.880 --> 00:01:35.120]  不過
[00:01:35.120 --> 00:01:36.120]  因為不同的原因
[00:01:36.120 --> 00:01:38.520]  總之人就很不想
[00:01:38.520 --> 00:01:39.120]  明知好
[00:01:39.120 --> 00:01:41.080]  但我都不想去做
[00:01:41.080 --> 00:01:42.680]  不想去改變
[00:01:42.680 --> 00:01:44.800]  於是人要
[00:01:44.800 --> 00:01:46.760]  積極勉強自己
[00:01:46.760 --> 00:01:48.280]  去做這件事
