
[00:00:00.000 --> 00:00:02.320]  今天是一個特別的日子
[00:00:02.320 --> 00:00:06.100]  平安夜 平安日
[00:00:06.100 --> 00:00:11.720]  大家默想一下 默想一下聖經 默想一下這些時刻
[00:00:11.720 --> 00:00:16.800]  今早默想的聖經是主耶穌有多少降生
[00:00:16.800 --> 00:00:20.600]  就想一下祂的降生
[00:00:20.600 --> 00:00:25.840]  很少機會想人生日就想一想祂要回來的
[00:00:26.320 --> 00:00:31.000]  是不是 大家想一個人生日會不會想祂出現會回來
[00:00:31.000 --> 00:00:32.400]  那也可能是的
[00:00:32.400 --> 00:00:36.360]  那就想一想 主耶穌的降生其實很好
[00:00:36.360 --> 00:00:40.680]  剛才淑貞也提到 主耶穌的降生真的帶給我們很好
[00:00:40.680 --> 00:00:42.760]  那個敬拜裡面也是這樣
[00:00:42.760 --> 00:00:45.520]  想一想 想一想的時候
[00:00:45.520 --> 00:00:48.520]  這些時日 我們經常聽到
[00:00:48.520 --> 00:00:52.200]  無論是港獨 或是世界局勢 自己想一想
[00:00:52.200 --> 00:00:56.000]  這個主回來日子又近了
[00:00:56.000 --> 00:00:59.080]  經過祂出生二千多年
[00:00:59.080 --> 00:01:00.400]  那怎麼辦呢
[00:01:00.400 --> 00:01:03.760]  那我就想起聖經裡面是這麼說的
[00:01:03.760 --> 00:01:10.440]  耶穌回來的時候 當時也好像洪水來的時間那樣
[00:01:10.440 --> 00:01:15.280]  人都繼續吃漢玩樂 嫁娶
[00:01:15.280 --> 00:01:17.280]  就是說我們也是這樣
[00:01:17.280 --> 00:01:20.880]  接著又說在田裡工作又怎樣
[00:01:20.880 --> 00:01:23.480]  兩個又拿去一個
[00:01:23.480 --> 00:01:29.000]  接著又有人推磨 磨米等等
[00:01:29.000 --> 00:01:32.040]  接著又兩個又拿去一個
[00:01:32.040 --> 00:01:37.440]  那我突然覺得 主回來的日子其實也沒什麼人知道的
[00:01:37.440 --> 00:01:39.840]  可能我們也只是在這裡開工
[00:01:39.840 --> 00:01:41.840]  大家在公司裡工作
[00:01:41.840 --> 00:01:45.200]  磨磨在田裡工作
[00:01:45.200 --> 00:01:48.000]  可能在街上走著
[00:01:48.000 --> 00:01:51.360]  主就回來了
[00:01:51.360 --> 00:01:55.680]  聖經裡面提到最重要的是警醒
[00:01:55.680 --> 00:01:59.240]  既然都知預備 警醒
[00:01:59.240 --> 00:02:01.240]  我的默想也想到這裡
[00:02:01.240 --> 00:02:03.240]  警醒
[00:02:03.240 --> 00:02:05.720]  這個時間 這些時勢
[00:02:05.720 --> 00:02:07.720]  我們紀念主的降生
[00:02:07.720 --> 00:02:11.600]  原來也是想到祂會回來的時間
[00:02:11.600 --> 00:02:13.600]  不只是祂降生慶祝
[00:02:13.600 --> 00:02:17.400]  原來祂回來也要警醒
[00:02:17.400 --> 00:02:20.640]  大家都一起警醒
[00:02:20.640 --> 00:02:24.080]  今天這段經文也是和聖誕有關的
[00:02:24.080 --> 00:02:28.440]  說到耶穌為女子所生
[00:02:28.440 --> 00:02:31.840]  所以這個禮拜我覺得很有福
