
[00:00:00.000 --> 00:00:03.000]  祝大家新年快樂
[00:00:03.000 --> 00:00:06.000]  很開心在Chinese New Year 即將到來的時候
[00:00:06.000 --> 00:00:09.000]  能夠和大家一起分享神的話語
[00:00:09.000 --> 00:00:12.000]  今天到了我們這個
[00:00:12.000 --> 00:00:15.000]  讓我們生命怎樣轉化
[00:00:15.000 --> 00:00:18.000]  這個港獨系列的第三堂
[00:00:18.000 --> 00:00:21.000]  我們今天會講有關壓力的方面
[00:00:21.000 --> 00:00:24.000]  希望在
[00:00:24.000 --> 00:00:27.000]  你知道人生有很多壓力
[00:00:27.000 --> 00:00:30.000]  你也學會從一篇詩篇來看看
[00:00:30.000 --> 00:00:33.000]  怎樣幫我們減壓
[00:00:33.000 --> 00:00:36.000]  將壓力變成一個蒙福的生活
[00:00:36.000 --> 00:00:39.000]  所以今天我們會看詩篇23篇
[00:00:39.000 --> 00:00:42.000]  詩篇23篇是大衛的一首詩
[00:00:42.000 --> 00:00:45.000]  在這首詩裏你可以很清楚地看到
[00:00:45.000 --> 00:00:48.000]  其實這篇詩很短
[00:00:48.000 --> 00:00:51.000]  只有6節
[00:00:51.000 --> 00:00:54.000]  每一節都在針對一個
[00:00:54.000 --> 00:00:57.000]  一個很大的壓力的來源
[00:00:57.000 --> 00:01:00.000]  然後提供了一個答案
[00:01:00.000 --> 00:01:03.000]  所以今天我們從壓力的角度去看這篇詩篇
[00:01:03.000 --> 00:01:06.000]  第一點想和大家分享
[00:01:06.000 --> 00:01:09.000]  當我們學會去相信
[00:01:09.000 --> 00:01:12.000]  相信神的供應的時候
[00:01:12.000 --> 00:01:15.000]  相信我們是依靠神來供應
[00:01:15.000 --> 00:01:18.000]  我們的需要的時候
[00:01:18.000 --> 00:01:21.000]  我們就可以排除人生很大部分的壓力
[00:01:21.000 --> 00:01:24.000]  大衛說
[00:01:24.000 --> 00:01:27.000]  神是我的目者
[00:01:27.000 --> 00:01:30.000]  我必不自缺乏
[00:01:30.000 --> 00:01:33.000]  很多時候壓力的來源
[00:01:33.000 --> 00:01:36.000]  是來自於我們沒有安全感
[00:01:36.000 --> 00:01:39.000]  人生太多的憂慮
[00:01:39.000 --> 00:01:42.000]  尤其是這個年代
[00:01:42.000 --> 00:01:45.000]  以前的年代可能比較單純
[00:01:45.000 --> 00:01:48.000]  現在的年代加添了很多東西
[00:01:48.000 --> 00:01:51.000]  讓人擔心
[00:01:51.000 --> 00:01:54.000]  以前沒有什麼身份被盜
[00:01:54.000 --> 00:01:57.000]  現在又要擔心身份被盜
[00:01:57.000 --> 00:02:00.000]  以前沒有送包裹
[00:02:00.000 --> 00:02:03.000]  現在又要安裝相機
[00:02:03.000 --> 00:02:06.000]  現在擔心的東西太多了
[00:02:06.000 --> 00:02:09.000]  所以有時候我們沒有安全感
[00:02:09.000 --> 00:02:12.000]  以致一個人生活很累
[00:02:12.000 --> 00:02:15.000]  其實當我們懂得將人生一切的需要
[00:02:15.000 --> 00:02:18.000]  放在神那裡
[00:02:18.000 --> 00:02:21.000]  讓神來供應我們的需要
[00:02:21.000 --> 00:02:24.000]  而不是依靠人來滿足
[00:02:24.000 --> 00:02:27.000]  我們的需要的時候
[00:02:27.000 --> 00:02:30.000]  我們的憂慮可以減輕很多
[00:02:30.000 --> 00:02:33.000]  不要將安全感放在你捉不住的事情上
[00:02:33.000 --> 00:02:36.000]  因為我們習慣將人生的安全感放在
[00:02:36.000 --> 00:02:39.000]  看得見但捉不住的事情上
[00:02:39.000 --> 00:02:42.000]  例如你的工作
[00:02:42.000 --> 00:02:45.000]  有時候你會失去
[00:02:45.000 --> 00:02:48.000]  有時候你會失業
[00:02:48.000 --> 00:02:51.000]  有時候你會覺得人生最大的安全感
[00:02:51.000 --> 00:02:54.000]  就是起碼我有健康
[00:02:54.000 --> 00:02:57.000]  有時候健康也會來來去去
[00:02:57.000 --> 00:03:00.000]  有些事情是捉不住的
[00:03:00.000 --> 00:03:03.000]  有些人會將安全感放在你的婚姻上
[00:03:03.000 --> 00:03:06.000]  有一段美好的婚姻
[00:03:06.000 --> 00:03:09.000]  有一個好的家庭
[00:03:09.000 --> 00:03:12.000]  有一個好的伴侶
[00:03:12.000 --> 00:03:15.000]  萬一你的伴侶先回天家
[00:03:15.000 --> 00:03:18.000]  人生就會崩潰
[00:03:18.000 --> 00:03:21.000]  所以不要將你人生一切的安全感
[00:03:21.000 --> 00:03:24.000]  放在任何一樣你捉不住的事情上
[00:03:24.000 --> 00:03:27.000]  在大衛這裡說
[00:03:27.000 --> 00:03:30.000]  唯一一個我捉住的
[00:03:30.000 --> 00:03:33.000]  原來就是我和神的關係
[00:03:33.000 --> 00:03:36.000]  是因為神作為我的目者
[00:03:36.000 --> 00:03:39.000]  是永恆不變的
[00:03:39.000 --> 00:03:42.000]  大衛這篇詩很多解經家都說
[00:03:42.000 --> 00:03:45.000]  應該是他晚年的時候寫的
[00:03:45.000 --> 00:03:48.000]  大家知道大衛是一個有故事的人
[00:03:48.000 --> 00:03:51.000]  他人生有很多經歷
[00:03:51.000 --> 00:03:54.000]  所以他過完一生到了晚年的時候
[00:03:54.000 --> 00:03:57.000]  他自己的看法就覺得
[00:03:57.000 --> 00:04:00.000]  很多事情都是很虛無的
[00:04:00.000 --> 00:04:03.000]  唯一一樣可以最可靠
[00:04:03.000 --> 00:04:06.000]  和你的關係
[00:04:06.000 --> 00:04:09.000]  只要耶和華是你的目者
[00:04:09.000 --> 00:04:12.000]  你就必不辭缺乏
[00:04:12.000 --> 00:04:15.000]  他可以滿足你一切的需要
[00:04:15.000 --> 00:04:18.000]  不只是經濟上的缺乏
[00:04:18.000 --> 00:04:21.000]  這一代的人沒有經濟上的缺乏
[00:04:21.000 --> 00:04:24.000]  有時我們不是經濟上的需要的滿足感
[00:04:24.000 --> 00:04:27.000]  而是很多不同的層面
[00:04:27.000 --> 00:04:30.000]  經濟層面是很低層
[00:04:30.000 --> 00:04:33.000]  錢不缺錢 飲不缺食
[00:04:33.000 --> 00:04:36.000]  你就會進入下一個層面
[00:04:36.000 --> 00:04:39.000]  你看馬斯洛的圖表就知道
[00:04:39.000 --> 00:04:42.000]  我們有情感的需要
[00:04:42.000 --> 00:04:45.000]  我們有很多自我價值實現的需要
[00:04:45.000 --> 00:04:48.000]  很多時候我們這一切的需要
[00:04:48.000 --> 00:04:51.000]  慢慢放一些我們捉不住的事
