
[00:00:00.000 --> 00:00:03.000]  有一日,有隻大魔鬼
[00:00:03.000 --> 00:00:07.000]  就差遣小鬼去一個城市
[00:00:07.000 --> 00:00:12.000]  散播細菌,不知是否月盈流感呢?
[00:00:12.000 --> 00:00:16.000]  「你散播那些細菌!」
[00:00:16.000 --> 00:00:22.000]  「散播的時候,你要用這些細菌殺死二千人!」
[00:00:22.000 --> 00:00:31.000]  這隻小鬼就聽這隻大魔鬼的指示去散播細菌
[00:00:31.000 --> 00:00:34.000]  結果死了多少人呢?
[00:00:34.000 --> 00:00:36.000]  原來死了四千人!
[00:00:36.000 --> 00:00:39.000]  跟著那隻大魔鬼去問責
[00:00:39.000 --> 00:00:43.000]  「小鬼!小鬼!小鬼!我叫你散播細菌,去死二千人而已!」
[00:00:43.000 --> 00:00:45.000]  「為何現在死了四千人?」
[00:00:45.000 --> 00:00:47.000]  那隻小鬼就說
[00:00:47.000 --> 00:00:50.000]  「我真的用細菌殺死二千人而已!」
[00:00:50.000 --> 00:00:52.000]  「那其餘的二千人怎樣死呢?」
[00:00:52.000 --> 00:00:55.000]  「他們被嚇死了!」
[00:00:55.000 --> 00:00:57.000]  被嚇死了!
[00:00:57.000 --> 00:01:00.000]  到底會有甚麼令你很害怕呢?
[00:01:00.000 --> 00:01:02.000]  很害怕呢?
[00:01:02.000 --> 00:01:05.000]  受驚是否會死人呢?
[00:01:05.000 --> 00:01:07.000]  會不會的?
[00:01:07.000 --> 00:01:10.000]  最多受驚是心臟病而死的,對嗎?
[00:01:10.000 --> 00:01:13.000]  近期流感,你害不害怕呢?
[00:01:13.000 --> 00:01:16.000]  有沒有害怕到,其實明明可能沒事
[00:01:16.000 --> 00:01:20.000]  不過結果你也有事呢
[00:01:20.000 --> 00:01:22.000]  有些人很害怕
[00:01:22.000 --> 00:01:24.000]  問你有甚麼害怕的時候
[00:01:24.000 --> 00:01:25.000]  很害怕甚麼呢?
[00:01:25.000 --> 00:01:27.000]  問你有甚麼害怕的時候
[00:01:27.000 --> 00:01:28.000]  你會怎樣回答呢?
[00:01:28.000 --> 00:01:30.000]  以前團體很喜歡問的
[00:01:30.000 --> 00:01:31.000]  「你最害怕的是甚麼?」
[00:01:31.000 --> 00:01:33.000]  有些人就說「最害怕的是甚麼?」
[00:01:33.000 --> 00:01:35.000]  「小強!」
[00:01:35.000 --> 00:01:37.000]  「小強這麼小,你也害怕?」
[00:01:37.000 --> 00:01:40.000]  那種不能夠用科學和理性來解釋的
[00:01:40.000 --> 00:01:43.000]  「你沒錯!你是牛高馬大!你害怕的!」
[00:01:43.000 --> 00:01:45.000]  對呀,解釋不了
[00:01:45.000 --> 00:01:46.000]  「你害怕老鼠?」
[00:01:46.000 --> 00:01:48.000]  老鼠真的很害怕,很醜
[00:01:48.000 --> 00:01:50.000]  但你不算經常看到
[00:01:50.000 --> 00:01:52.000]  以前就比較常見到
[00:01:52.000 --> 00:01:54.000]  香港的衛生環境差的時候就經常見到
[00:01:54.000 --> 00:01:55.000]  你真的很害怕
[00:01:55.000 --> 00:01:57.000]  大園邨也經常見到
[00:01:57.000 --> 00:01:59.000]  不過你還是路過,走遠一點就行了
[00:01:59.000 --> 00:02:00.000]  還有甚麼害怕呢?
[00:02:00.000 --> 00:02:02.000]  有些人害怕蛇
[00:02:02.000 --> 00:02:04.000]  但同樣,如果你住村屋會害怕一點
[00:02:04.000 --> 00:02:07.000]  住在草叢附近,山林附近你會害怕一點
[00:02:07.000 --> 00:02:10.000]  我家裡沒有蛇
[00:02:10.000 --> 00:02:12.000]  但我姪女家裡
[00:02:12.000 --> 00:02:13.000]  有一次去探望她
[00:02:13.000 --> 00:02:17.000]  嘩!門口的門檻有一堆硫磺
[00:02:17.000 --> 00:02:20.000]  我說「會不會不經意碰到來吃?」
[00:02:20.000 --> 00:02:22.000]  她說「沒辦法,因為蛇真的會進屋的」
[00:02:22.000 --> 00:02:24.000]  很害怕
[00:02:24.000 --> 00:02:25.000]  等於姊妹
[00:02:25.000 --> 00:02:27.000]  這些可能你也說「我不害怕」
[00:02:27.000 --> 00:02:30.000]  但有沒有些人你是害怕的呢?
[00:02:30.000 --> 00:02:32.000]  有沒有些事你是害怕的呢?
[00:02:32.000 --> 00:02:34.000]  或者好像YY一樣
[00:02:34.000 --> 00:02:36.000]  你經歷過這麼多次的生死
[00:02:36.000 --> 00:02:38.000]  你還害不害怕死呢?
[00:02:38.000 --> 00:02:40.000]  害不害怕?「不害怕」
[00:02:40.000 --> 00:02:43.000]  但死到臨頭的時候,是不是真的不害怕呢?
[00:02:43.000 --> 00:02:45.000]  有時我們也會這樣回答的
[00:02:45.000 --> 00:02:46.000]  「嬌童,我不害怕死」
[00:02:46.000 --> 00:02:48.000]  最害怕的是甚麼呢?
[00:02:48.000 --> 00:02:50.000]  死的過程很痛苦
[00:02:50.000 --> 00:02:52.000]  不死更慘
[00:02:52.000 --> 00:02:55.000]  有甚麼害怕呢?
[00:02:55.000 --> 00:02:56.000]  有些人害怕困難
[00:02:56.000 --> 00:03:00.000]  當困難接踵而來的時候
[00:03:00.000 --> 00:03:02.000]  你害不害怕呢?
[00:03:02.000 --> 00:03:05.000]  一波未平,一波又起
[00:03:05.000 --> 00:03:08.000]  接著另一波又來,再一波又來
[00:03:08.000 --> 00:03:10.000]  你害不害怕呢?
[00:03:10.000 --> 00:03:14.000]  今天跟大家分享的經文是C篇27篇
[00:03:14.000 --> 00:03:17.000]  C篇27篇
[00:03:17.000 --> 00:03:20.000]  如果你想研究一下聖經的話
[00:03:20.000 --> 00:03:22.000]  它一共有14節
[00:03:22.000 --> 00:03:23.000]  很豐富的
[00:03:23.000 --> 00:03:25.000]  頭幾節和尾幾節對稱
[00:03:25.000 --> 00:03:28.000]  11節又對稱
[00:03:28.000 --> 00:03:31.000]  5至6節和9至10節又對稱
[00:03:31.000 --> 00:03:34.000]  中間第7節第8節就是最重要的
[00:03:34.000 --> 00:03:35.000]  不過我不詳細解釋
[00:03:35.000 --> 00:03:37.000]  因為複誦不夠時間
[00:03:37.000 --> 00:03:39.000]  但我想說的是
[00:03:39.000 --> 00:03:41.000]  原來C篇27篇
[00:03:41.000 --> 00:03:44.000]  是一個詩人叫大衛所寫的
[00:03:44.000 --> 00:03:47.000]  大衛16歲的時候
[00:03:47.000 --> 00:03:48.000]  就被上帝揀選
[00:03:48.000 --> 00:03:52.000]  由先知撒姆爾來高納他
[00:03:52.000 --> 00:03:53.000]  以色列人就是這樣的
[00:03:53.000 --> 00:03:54.000]  找一些高尤來高他
[00:03:54.000 --> 00:03:56.000]  代表揀選他將來要做皇帝
[00:03:56.000 --> 00:04:01.000]  但他等到30歲才真正登上皇位
[00:04:01.000 --> 00:04:04.000]  在那十幾年裡
[00:04:04.000 --> 00:04:05.000]  除了開始的時候
[00:04:05.000 --> 00:04:08.000]  他曾經試過打敗哥利亞
[00:04:08.000 --> 00:04:09.000]  風光了一陣子
[00:04:09.000 --> 00:04:10.000]  人家讚他
[00:04:10.000 --> 00:04:14.000]  誰殺死千千就誰殺死萬萬
[00:04:14.000 --> 00:04:15.000]  很厲害
[00:04:15.000 --> 00:04:18.000]  這陣子沒多久之後
[00:04:18.000 --> 00:04:23.000]  他就要經歷大逃亡的日子
[00:04:23.000 --> 00:04:26.000]  因為他做了駙馬爺
[00:04:26.000 --> 00:04:30.000]  掃羅王將女兒嫁給他
[00:04:30.000 --> 00:04:31.000]  他就做駙馬
[00:04:31.000 --> 00:04:33.000]  但掃羅王妒忌他
[00:04:33.000 --> 00:04:35.000]  所以就追殺他
[00:04:35.000 --> 00:04:39.000]  甚至當大衛自己登基做皇帝之後
[00:04:39.000 --> 00:04:42.000]  後來他又被兒子追殺
[00:04:42.000 --> 00:04:46.000]  所以他一生大部分的日子都是逃亡
[00:04:46.000 --> 00:04:48.000]  他被人誘殺追殺
