
[00:00:00.000 --> 00:00:03.040]  教會經常講「侍奉」
[00:00:03.040 --> 00:00:05.760]  但也經常問一個問題
[00:00:05.760 --> 00:00:08.840]  我們何德何能去侍奉呢?
[00:00:08.840 --> 00:00:13.460]  我們何德何能去服侍呢?
[00:00:13.460 --> 00:00:15.960]  我們經常邀請弟兄姊妹去侍奉
[00:00:15.960 --> 00:00:19.740]  但也經常聽到一個回應
[00:00:19.740 --> 00:00:21.880]  不是我們不想去侍奉
[00:00:21.880 --> 00:00:23.520]  是我們什麼都不懂
[00:00:23.520 --> 00:00:25.520]  我們怎麼去侍奉呢?
[00:00:25.520 --> 00:00:28.920]  我們何德何能去侍奉呢?
[00:00:28.920 --> 00:00:33.400]  我們看的經文是摩西的推唐
[00:00:33.400 --> 00:00:35.560]  摩西是希伯來人
[00:00:35.560 --> 00:00:41.000]  他在埃及本身是一個希伯來家的人出世
[00:00:41.000 --> 00:00:42.880]  因爲他逃避殺嬰令
[00:00:42.880 --> 00:00:47.080]  於是他被媽媽放在一個蘆葦的籃子上
[00:00:47.080 --> 00:00:48.600]  放在尼羅河
[00:00:48.600 --> 00:00:53.280]  然後被一個埃及公主救起 收養了
[00:00:53.280 --> 00:00:56.280]  於是他就做了埃及王子
[00:00:56.280 --> 00:01:00.560]  但他長大之後 因爲殺了一個埃及人
[00:01:00.560 --> 00:01:03.080]  於是他就逃難去了米甸
[00:01:03.080 --> 00:01:06.040]  認識了一個女孩 結了婚
[00:01:06.040 --> 00:01:07.840]  今天我們看的這段經文
[00:01:07.840 --> 00:01:11.520]  其實是由第三章開始的
[00:01:11.520 --> 00:01:14.120]  《出埃及記》第三章講到
[00:01:14.120 --> 00:01:16.760]  有一天 摩西在米甸
[00:01:16.760 --> 00:01:19.920]  他做了放羊 做了牧羊人
[00:01:19.920 --> 00:01:24.040]  因爲他的外父是一個放羊 牧羊的人
[00:01:24.040 --> 00:01:26.760]  有一天他和他的外父放羊
[00:01:26.760 --> 00:01:30.560]  然後他見到有一堆荊棘着火
[00:01:30.560 --> 00:01:33.640]  就是神向他顯現
[00:01:33.640 --> 00:01:36.440]  這就是《出埃及記》第三章裏面
[00:01:36.440 --> 00:01:39.840]  摩西開始因爲荊棘着火
[00:01:39.840 --> 00:01:44.600]  之後出現了三次 幾次的推堂
[00:01:44.600 --> 00:01:49.120]  第一次是在三章十一節
[00:01:49.120 --> 00:01:51.320]  我是誰啊
[00:01:51.320 --> 00:01:52.960]  我又不是以色列人的領袖
[00:01:52.960 --> 00:01:56.240]  我怎麼去帶以色列人走呢
[00:01:56.240 --> 00:01:58.200]  因爲上帝向他顯示
[00:01:58.200 --> 00:02:00.920]  希望他能夠成爲以色列人的領袖
[00:02:00.920 --> 00:02:04.000]  然後帶這羣以色列人離開埃及
