
[00:00:00.000 --> 00:00:02.000]  大兄姊妹平安
[00:00:02.000 --> 00:00:05.000]  我相信上帝會保守我們
[00:00:05.000 --> 00:00:07.000]  帶領我們每一位
[00:00:07.000 --> 00:00:10.000]  有一位的專欄作家
[00:00:10.000 --> 00:00:12.000]  最近寫了一篇文
[00:00:12.000 --> 00:00:14.000]  那篇的題目叫做
[00:00:14.000 --> 00:00:16.000]  2018年
[00:00:16.000 --> 00:00:18.000]  你的名字
[00:00:18.000 --> 00:00:20.000]  是動盪
[00:00:20.000 --> 00:00:24.000]  對於這個
[00:00:24.000 --> 00:00:27.000]  題目我不知道你有什麼感受
[00:00:27.000 --> 00:00:29.000]  不過
[00:00:29.000 --> 00:00:31.000]  如果我會寫一篇文章
[00:00:31.000 --> 00:00:33.000]  我可能會用
[00:00:33.000 --> 00:00:35.000]  2018年
[00:00:35.000 --> 00:00:37.000]  你的名字
[00:00:37.000 --> 00:00:38.000]  是對立
[00:00:38.000 --> 00:00:40.000]  來做這個題目
[00:00:40.000 --> 00:00:42.000]  我不是先知
[00:00:42.000 --> 00:00:44.000]  但是我懷疑
[00:00:44.000 --> 00:00:46.000]  我們將要面對的
[00:00:46.000 --> 00:00:47.000]  無論是在香港
[00:00:47.000 --> 00:00:49.000]  還是在世界各地
[00:00:49.000 --> 00:00:51.000]  都會是一個對立
[00:00:51.000 --> 00:00:56.000]  越來越明顯的一個念頭
[00:00:57.000 --> 00:00:59.000]  不過如果對立
[00:00:59.000 --> 00:01:01.000]  是問題的話
[00:01:01.000 --> 00:01:03.000]  這個不是我們
[00:01:03.000 --> 00:01:06.000]  或者不單單是我們的問題
[00:01:06.000 --> 00:01:09.000]  因為對立
[00:01:09.000 --> 00:01:11.000]  很早就已經有了
[00:01:11.000 --> 00:01:15.000]  一個例子
[00:01:15.000 --> 00:01:17.000]  就是若拿先知的時代
[00:01:17.000 --> 00:01:19.000]  人和人的對立
[00:01:19.000 --> 00:01:22.000]  我們早已經可以看得到
[00:01:23.000 --> 00:01:27.000]  那面對對立我們應該怎樣來回應呢
[00:01:27.000 --> 00:01:30.000]  面對對立神
[00:01:30.000 --> 00:01:33.000]  又有什麼反應呢
[00:01:33.000 --> 00:01:35.000]  說到對立
[00:01:35.000 --> 00:01:37.000]  今天的經文
[00:01:37.000 --> 00:01:40.000]  正好為我們帶來挑戰
[00:01:40.000 --> 00:01:42.000]  給我們
[00:01:42.000 --> 00:01:44.000]  有一個提醒
[00:01:44.000 --> 00:01:46.000]  我們要起來
[00:01:46.000 --> 00:01:48.000]  跨越對立
[00:01:48.000 --> 00:01:52.000]  忠心的傳遞神的心意
[00:01:53.000 --> 00:01:56.000]  對立是必須正視的
[00:01:56.000 --> 00:02:00.000]  因為對立不單止影響
[00:02:00.000 --> 00:02:03.000]  人和人之間的關係
[00:02:03.000 --> 00:02:06.000]  造成不良的後果
[00:02:06.000 --> 00:02:10.000]  都影響我們和神的關係
[00:02:10.000 --> 00:02:14.000]  但是其實最直接影響的
[00:02:14.000 --> 00:02:17.000]  是我們每一個人
[00:02:17.000 --> 00:02:21.000]  說到對立的不良影響
[00:02:21.000 --> 00:02:24.000]  我們在若拿的身上
[00:02:24.000 --> 00:02:26.000]  可以看得很清楚
[00:02:26.000 --> 00:02:29.000]  若拿是一個猶太人
[00:02:29.000 --> 00:02:33.000]  利利美是非猶太人
[00:02:33.000 --> 00:02:36.000]  或者說是外族人
[00:02:36.000 --> 00:02:38.000]  在若拿的眼裡
[00:02:38.000 --> 00:02:42.000]  利利美人曾經殺害猶太人
[00:02:42.000 --> 00:02:45.000]  可以說是罪大惡極
[00:02:45.000 --> 00:02:48.000]  是絕對該死
[00:02:48.000 --> 00:02:52.000]  或者說永遠都無法饒恕
[00:02:52.000 --> 00:02:55.000]  因此當神吩咐若拿
[00:02:55.000 --> 00:02:58.000]  去接觸利利美人的時候
[00:02:58.000 --> 00:03:01.000]  就是去提醒他們
[00:03:01.000 --> 00:03:04.000]  告訴他們他們有危險
[00:03:04.000 --> 00:03:08.000]  因為他們的惡已經達到神的面前
[00:03:08.000 --> 00:03:13.000]  他們要小心
[00:03:13.000 --> 00:03:15.000]  免得神的責罰臨到
[00:03:17.000 --> 00:03:21.000]  若拿收到神的心意
[00:03:21.000 --> 00:03:26.000]  但是他就是不肯踏出這一步
[00:03:26.000 --> 00:03:32.000]  因為他認為利利美人是該死的
[00:03:32.000 --> 00:03:35.000]  是萬惡不赦的
[00:03:35.000 --> 00:03:37.000]  為了堅持對立
[00:03:37.000 --> 00:03:41.000]  若拿不惜拒絕進行神的吩咐
[00:03:41.000 --> 00:03:44.000]  經文告訴我們
[00:03:44.000 --> 00:03:48.000]  神要他向東走去利利美
[00:03:48.000 --> 00:03:51.000]  他就向西走
[00:03:51.000 --> 00:03:53.000]  先是到海邊
[00:03:53.000 --> 00:03:55.000]  然後再坐船
[00:03:55.000 --> 00:03:57.000]  要去更西的地方
[00:03:57.000 --> 00:03:59.000]  就是叫做他斯
[00:03:59.000 --> 00:04:05.000]  這個好像是世界最後一個點的地方
[00:04:05.000 --> 00:04:09.000]  為了要避免跟利利美人的接觸
[00:04:09.000 --> 00:04:13.000]  若拿斷絕了
[00:04:13.000 --> 00:04:17.000]  或者抗拒了他跟神的關係
[00:04:17.000 --> 00:04:24.000]  但是其實若拿連其他的關係都犧牲了
[00:04:24.000 --> 00:04:28.000]  神要若拿上利利美
[00:04:28.000 --> 00:04:30.000]  他就向下走
[00:04:30.000 --> 00:04:32.000]  下到約帕
[00:04:32.000 --> 00:04:35.000]  神叫他去利利美
[00:04:35.000 --> 00:04:37.000]  他就上船
[00:04:37.000 --> 00:04:40.000]  但是他不是在船上到處走
[00:04:40.000 --> 00:04:44.000]  他上到船之後就遠離人群
[00:04:44.000 --> 00:04:46.000]  下去船底
[00:04:46.000 --> 00:04:51.000]  一個離開一般人運作的地方
[00:04:51.000 --> 00:04:56.000]  及後因為他的同在
[00:04:56.000 --> 00:04:59.000]  駛到船遭遇危險
[00:04:59.000 --> 00:05:03.000]  他寧願叫人調他下海
[00:05:03.000 --> 00:05:06.000]  他都不要聽神的話
[00:05:07.000 --> 00:05:11.000]  結果他就離開人的世界
[00:05:11.000 --> 00:05:14.000]  進到魚的土埠
[00:05:14.000 --> 00:05:18.000]  然後再下到死地
[00:05:18.000 --> 00:05:21.000]  我們在這裡會看到
[00:05:21.000 --> 00:05:24.000]  人堅持對立
[00:05:24.000 --> 00:05:27.000]  他可以不聽神所說的
[00:05:27.000 --> 00:05:31.000]  他可以不要跟人的關係
[00:05:31.000 --> 00:05:36.000]  但是其實他自己都經歷很多的艱難
[00:05:36.000 --> 00:05:40.000]  以及幾乎連命都保不住
[00:05:40.000 --> 00:05:46.000]  人有時就是這麼難理解
[00:05:46.000 --> 00:05:50.000]  或者人有時就是這麼硬頸
[00:05:50.000 --> 00:05:55.000]  但是神沒有放棄若拿
[00:05:55.000 --> 00:06:01.000]  神叫大禹將若拿套回地上
[00:06:01.000 --> 00:06:05.000]  神沒有放棄若拿
[00:06:05.000 --> 00:06:09.000]  因為若拿的神也是我們的神
[00:06:09.000 --> 00:06:11.000]  是賜福的神
[00:06:11.000 --> 00:06:14.000]  不是降禍的神
[00:06:14.000 --> 00:06:17.000]  若拿的神也是我們的神
[00:06:17.000 --> 00:06:22.000]  是叫人生而不是叫人死的神
[00:06:22.000 --> 00:06:28.000]  但是令若拿最沒辦法接受的
[00:06:28.000 --> 00:06:30.000]  其實就是這一點
[00:06:30.000 --> 00:06:36.000]  因為這位的神不單止賜福猶太人
[00:06:36.000 --> 00:06:39.000]  也賜福非猶太人
[00:06:39.000 --> 00:06:43.000]  不單止賜福他所愛的人
[00:06:43.000 --> 00:06:47.000]  也賜福他所討厭的人
[00:06:47.000 --> 00:06:52.000]  或者說這些抵死的匿名人
[00:06:52.000 --> 00:06:57.000]  神同樣不捨得他們
[00:06:57.000 --> 00:07:02.000]  神同樣要施恩要憐憫他們
[00:07:02.000 --> 00:07:06.000]  不希望他們死亡
[00:07:06.000 --> 00:07:12.000]  所以神在若拿得救之後
[00:07:12.000 --> 00:07:14.000]  再一次
[00:07:14.000 --> 00:07:19.000]  經文說二次來呼叫若拿
[00:07:19.000 --> 00:07:21.000]  叫他去利利美
[00:07:21.000 --> 00:07:26.000]  去向利利美的人講他的訊息
[00:07:26.000 --> 00:07:28.000]  神對若拿說
[00:07:28.000 --> 00:07:29.000]  你起來
[00:07:29.000 --> 00:07:32.000]  往利利美大城去
[00:07:32.000 --> 00:07:39.000]  向其中的居民宣告我所吩咐你的話
[00:07:39.000 --> 00:07:42.000]  他要講神的話
[00:07:42.000 --> 00:07:45.000]  不是他自己心裡的話
[00:07:45.000 --> 00:07:49.000]  這一次神的意思得勝了
[00:07:49.000 --> 00:07:54.000]  因為若拿似乎最終選擇去信服神的安排
[00:07:54.000 --> 00:07:56.000]  聖經這樣說
[00:07:56.000 --> 00:07:59.000]  若拿照耶和華的話
[00:07:59.000 --> 00:08:03.000]  起來往利利美去
[00:08:03.000 --> 00:08:07.000]  至少表面上若拿是起來
[00:08:07.000 --> 00:08:11.000]  踏出一步去利利美
[00:08:11.000 --> 00:08:13.000]  不過很有趣的是
[00:08:13.000 --> 00:08:15.000]  就在這個時候
[00:08:15.000 --> 00:08:18.000]  故事的焦點忽然轉移
[00:08:18.000 --> 00:08:23.000]  不再落在若拿的身上
[00:08:23.000 --> 00:08:29.000]  故事的重點突然轉移到利利美城上
