
[00:00:00.000 --> 00:00:02.560]  有一個現象我留意了很久
[00:00:02.560 --> 00:00:05.440]  我平時出街不常帶什麼物品
[00:00:05.440 --> 00:00:07.680]  盡量兩手空空
[00:00:07.680 --> 00:00:09.680]  如果不用港島,不用帶iPad的話
[00:00:09.680 --> 00:00:10.880]  我是沒有什麼的
[00:00:10.880 --> 00:00:13.200]  不過女士的手袋比較重
[00:00:13.200 --> 00:00:14.400]  還有很多東西在裏面
[00:00:14.400 --> 00:00:17.520]  有人問,究竟女士的手袋有些什麼呢?
[00:00:17.520 --> 00:00:21.360]  有人說,女士的手袋有很多東西
[00:00:21.360 --> 00:00:22.640]  有很多八寶在裏面
[00:00:22.640 --> 00:00:32.160]  如果兒子跌傷了,他有些膠布在裏面
[00:00:32.160 --> 00:00:33.920]  口殼有瓶水在裏面
[00:00:33.920 --> 00:00:36.720]  衣服穿了,有針線在裏面
[00:00:36.720 --> 00:00:39.200]  所以女性的手袋永遠有很多東西在裏面
[00:00:39.200 --> 00:00:42.800]  因為她純粹是預備服侍她的兒女
[00:00:42.800 --> 00:00:45.360]  所以我相信都是真的
[00:00:45.360 --> 00:00:49.440]  但有些人說,媽媽我愛你
[00:00:49.440 --> 00:00:52.720]  他在不同年紀講的說話都會不同
[00:00:52.720 --> 00:00:56.000]  大家驗證一下,當你這個年紀的時候
[00:00:56.000 --> 00:00:57.920]  或者你的兒女這個年紀的時候
[00:00:57.920 --> 00:00:59.600]  他是不是這樣講的呢?
[00:00:59.600 --> 00:01:01.440]  他說,十歲的時候他真的很愛你
[00:01:01.440 --> 00:01:03.440]  或者十歲以下,差不多
[00:01:03.440 --> 00:01:05.760]  很愛你,媽媽很愛你
[00:01:05.760 --> 00:01:07.040]  不知道是不是真的
[00:01:07.040 --> 00:01:08.720]  十歲的時候,十四歲大概就說
[00:01:08.720 --> 00:01:10.960]  媽媽你很煩
[00:01:10.960 --> 00:01:11.680]  不知道你是不是這樣
[00:01:11.680 --> 00:01:12.320]  我也是這樣
[00:01:12.320 --> 00:01:15.120]  我十幾歲都會嫌媽媽很煩
[00:01:15.120 --> 00:01:18.720]  不過我很早,我十歲的時候都會說媽媽很煩
[00:01:18.720 --> 00:01:20.480]  十八歲的時候,媽媽我要搬走了
[00:01:20.480 --> 00:01:22.720]  我不在這裏住了,我要獨立了
[00:01:22.720 --> 00:01:27.200]  我要有自己的生活,不喜歡和你一起
[00:01:27.200 --> 00:01:29.680]  到二十五歲的時候,媽媽你錯了,我後悔了
[00:01:29.680 --> 00:01:35.040]  搬出去又窮又倒霉,真是後悔了
[00:01:35.040 --> 00:01:40.720]  有些人三十歲才會道歉
[00:01:40.720 --> 00:01:42.560]  到五十歲的時候,媽媽不要離開我了
[00:01:42.560 --> 00:01:43.520]  因為他五十歲的時候
[00:01:43.520 --> 00:01:45.440]  他媽媽可能都是七到八十歲了
[00:01:45.440 --> 00:01:49.440]  可能真的有些人生可能去到一個盡頭
[00:01:49.440 --> 00:01:51.680]  到你七十歲,或者我們七十歲的時候
[00:01:51.680 --> 00:01:54.240]  真的才會懷念媽媽
[00:01:54.240 --> 00:01:55.360]  我也懷念我媽媽
[00:01:55.360 --> 00:01:57.120]  因為我媽媽已經去世幾年了
[00:01:57.120 --> 00:02:00.400]  她就是骨灰放在後面
[00:02:00.400 --> 00:02:02.000]  所以我們在這裏侍奉一個心意
[00:02:02.000 --> 00:02:03.680]  有時間我也會懷念她,走到後面
[00:02:03.680 --> 00:02:06.160]  一會兒可能如果可以的話
[00:02:06.160 --> 00:02:08.880]  我也走到後面,有些懷念
[00:02:08.880 --> 00:02:13.760]  我們都是人,我們都有很多情緒的上落
[00:02:13.760 --> 00:02:16.560]  無論我們自己,或者我們身為媽媽
[00:02:16.560 --> 00:02:18.880]  和家庭的關係都是錯綜複雜
[00:02:18.880 --> 00:02:21.840]  今天透過摩西這段經文
[00:02:21.840 --> 00:02:23.760]  是一個很特別的經文
[00:02:23.760 --> 00:02:26.080]  我們都會一起去思想一些課題
[00:02:26.080 --> 00:02:28.080]  我們再一次低頭禱告
[00:02:28.080 --> 00:02:30.560]  親愛的天父,我們多謝您讓我們有這個日子
[00:02:30.560 --> 00:02:34.560]  去為我們的母親感恩
[00:02:34.560 --> 00:02:37.520]  我們每一個人都有一個獨特的母親
[00:02:37.520 --> 00:02:38.960]  只是一個
[00:02:38.960 --> 00:02:42.720]  我們都為他們過往的辛勞感謝
[00:02:42.720 --> 00:02:45.600]  為他們所付出的
[00:02:45.600 --> 00:02:48.720]  還有不完整,但仍然很偉大的愛心
[00:02:48.720 --> 00:02:50.080]  我們去讚美您
[00:02:50.080 --> 00:02:52.720]  因為他們延伸了天父的愛
[00:02:52.720 --> 00:02:56.400]  給我們無私和犧牲的精神
[00:02:56.400 --> 00:02:58.160]  主今日都繼續教導我們
[00:02:58.160 --> 00:03:02.000]  無論是兒女,無論我們是母親、父親
[00:03:02.000 --> 00:03:05.120]  我們同樣需要學習這種母親的愛
[00:03:05.120 --> 00:03:07.600]  去為我們的親人付出
[00:03:07.600 --> 00:03:09.760]  為別人付出一種的愛
[00:03:09.760 --> 00:03:11.760]  求您對我們說話
[00:03:11.760 --> 00:03:14.000]  祝福使用今天的訊息
[00:03:14.000 --> 00:03:16.640]  禱告奉耶穌基督的名
[00:03:16.640 --> 00:03:18.640]  多謝
[00:03:42.640 --> 00:03:44.800]  祝福使用今天的訊息
[00:03:44.800 --> 00:03:46.800]  祝福使用今天的訊息
[00:03:46.800 --> 00:03:48.800]  祝福使用今天的訊息
[00:03:48.800 --> 00:03:50.800]  祝福使用今天的訊息
[00:03:50.800 --> 00:03:52.800]  祝福使用今天的訊息
[00:03:52.800 --> 00:03:54.800]  祝福使用今天的訊息
[00:03:54.800 --> 00:03:56.800]  祝福使用今天的訊息
[00:03:56.800 --> 00:03:58.800]  祝福使用今天的訊息
[00:03:58.800 --> 00:04:00.800]  祝福使用今天的訊息
[00:04:00.800 --> 00:04:02.800]  祝福使用今天的訊息
[00:04:02.800 --> 00:04:04.800]  祝福使用今天的訊息
[00:04:04.800 --> 00:04:06.800]  祝福使用今天的訊息
[00:04:06.800 --> 00:04:08.800]  祝福使用今天的訊息
[00:04:08.800 --> 00:04:10.800]  祝福使用今天的訊息
[00:04:10.800 --> 00:04:12.800]  祝福使用今天的訊息
[00:04:12.800 --> 00:04:14.800]  祝福使用今天的訊息
[00:04:14.800 --> 00:04:16.800]  祝福使用今天的訊息
[00:04:16.800 --> 00:04:18.800]  祝福使用今天的訊息
[00:04:18.800 --> 00:04:20.800]  祝福使用今天的訊息
[00:04:20.800 --> 00:04:22.800]  祝福使用今天的訊息
[00:04:22.800 --> 00:04:24.800]  祝福使用今天的訊息
[00:04:24.800 --> 00:04:26.800]  祝福使用今天的訊息
[00:04:26.800 --> 00:04:28.800]  祝福使用今天的訊息
[00:04:28.800 --> 00:04:30.800]  祝福使用今天的訊息
[00:04:30.800 --> 00:04:32.800]  祝福使用今天的訊息
[00:04:32.800 --> 00:04:34.800]  祝福使用今天的訊息
[00:04:34.800 --> 00:04:36.800]  祝福使用今天的訊息
[00:04:36.800 --> 00:04:38.800]  祝福使用今天的訊息
[00:04:38.800 --> 00:04:40.800]  祝福使用今天的訊息
[00:04:40.800 --> 00:04:42.800]  祝福使用今天的訊息
[00:04:42.800 --> 00:04:44.800]  祝福使用今天的訊息
[00:04:44.800 --> 00:04:46.800]  祝福使用今天的訊息
[00:04:46.800 --> 00:04:48.800]  祝福使用今天的訊息
[00:04:48.800 --> 00:04:50.800]  祝福使用今天的訊息
[00:04:50.800 --> 00:04:52.800]  祝福使用今天的訊息
[00:04:52.800 --> 00:04:54.800]  祝福使用今天的訊息
[00:04:54.800 --> 00:04:56.800]  祝福使用今天的訊息
[00:04:56.800 --> 00:04:58.800]  祝福使用今天的訊息
[00:04:58.800 --> 00:05:00.800]  祝福使用今天的訊息
[00:05:00.800 --> 00:05:02.800]  祝福使用今天的訊息
[00:05:02.800 --> 00:05:04.800]  祝福使用今天的訊息
[00:05:04.800 --> 00:05:06.800]  祝福使用今天的訊息
[00:05:06.800 --> 00:05:08.800]  祝福使用今天的訊息
[00:05:08.800 --> 00:05:10.800]  祝福使用今天的訊息
[00:05:10.800 --> 00:05:12.800]  祝福使用今天的訊息
[00:05:12.800 --> 00:05:14.800]  祝福使用今天的訊息
