
[00:00:00.000 --> 00:00:02.000]  (主席)詩篇第四十七篇
[00:00:02.000 --> 00:00:07.000]  這一篇的詩篇被稱為德勝的詩篇
[00:00:07.000 --> 00:00:10.000]  又被稱為是君王的詩篇
[00:00:10.000 --> 00:00:13.000]  亦都被稱為是新年的詩篇
[00:00:13.000 --> 00:00:16.000]  詩篇的內容很清楚
[00:00:16.000 --> 00:00:20.000]  顯示了他寫作的背景
[00:00:20.000 --> 00:00:27.000]  就是他們以色列人經過一個勝利的戰爭
[00:00:27.000 --> 00:00:34.000]  他們很深刻體會到神是讓他們戰勝仇敵
[00:00:34.000 --> 00:00:38.000]  以致他們在慶祝的過程裏面
[00:00:38.000 --> 00:00:41.000]  抬著代表神同在的藥櫃
[00:00:41.000 --> 00:00:44.000]  向聖殿前進
[00:00:44.000 --> 00:00:47.000]  一個上升的階梯
[00:00:47.000 --> 00:00:53.000]  然後將他們的讚美敬拜獻給神
[00:00:53.000 --> 00:00:57.000]  慢慢他們就在新年的時候
[00:00:57.000 --> 00:01:02.000]  為王再一次做登基大典
[00:01:02.000 --> 00:01:08.000]  在隨著藥櫃上到聖殿的過程當中
[00:01:08.000 --> 00:01:10.000]  王被告誡
[00:01:10.000 --> 00:01:14.000]  你只不過是神的僕人
[00:01:14.000 --> 00:01:18.000]  一切權力都是來自神當中
[00:01:18.000 --> 00:01:21.000]  我們要重揚這一位真正的王
[00:01:21.000 --> 00:01:23.000]  真正的神
[00:01:23.000 --> 00:01:25.000]  去到初期教會的時候
[00:01:25.000 --> 00:01:27.000]  基督徒就用這一篇詩篇
[00:01:27.000 --> 00:01:32.000]  來紀念主耶穌升天的事蹟
[00:01:32.000 --> 00:01:34.000]  他們在那一天
[00:01:34.000 --> 00:01:37.000]  知道主耶穌上升於天
[00:01:37.000 --> 00:01:39.000]  但是他掌管萬有
[00:01:39.000 --> 00:01:42.000]  成為全地的王
[00:01:42.000 --> 00:01:47.000]  這一篇詩篇的結構相對簡單
[00:01:47.000 --> 00:01:53.000]  在第五節和第六到第九節是兩個部分的讚美
[00:01:53.000 --> 00:01:57.000]  在第二節和第七節說到他們讚美的原因
[00:01:57.000 --> 00:02:01.000]  因為神是全地的得勝者
[00:02:01.000 --> 00:02:06.000]  因為神是全地的管治王
[00:02:06.000 --> 00:02:11.000]  這兩篇詩篇最重要最重要的中心主題
[00:02:11.000 --> 00:02:15.000]  第一就是要尊崇神是王
[00:02:15.000 --> 00:02:22.000]  第二就是要尊崇神是全地萬民的王
[00:02:22.000 --> 00:02:27.000]  全地王和神是王這兩個主題
[00:02:27.000 --> 00:02:29.000]  所以第一方面我們看到
[00:02:29.000 --> 00:02:31.000]  詩人讚美神
[00:02:31.000 --> 00:02:34.000]  詩人呼召世人來讚美神
[00:02:34.000 --> 00:02:35.000]  為什麼呢?
[00:02:35.000 --> 00:02:38.000]  因為他是全地萬民的王
[00:02:38.000 --> 00:02:43.000]  在第一節、第二節、第三節、第七節、第八節、第九節
[00:02:43.000 --> 00:02:45.000]  是重複的出現
[00:02:45.000 --> 00:02:48.000]  這一篇詩篇是和萬民有關
[00:02:48.000 --> 00:02:49.000]  是和全地有關
[00:02:49.000 --> 00:02:50.000]  是和列國有關
[00:02:50.000 --> 00:02:53.000]  是和地上的君王有關
[00:02:53.000 --> 00:02:57.000]  我們要用跨性的聲音向神呼喊
[00:02:57.000 --> 00:03:00.000]  很激動、很振奮、很投入
[00:03:00.000 --> 00:03:01.000]  為什麼呢?
[00:03:01.000 --> 00:03:09.000]  因為神的本質值得我們作為受造之物去重揚
[00:03:09.000 --> 00:03:15.000]  神是至高者、天地的主、創造的主宰、獨一的神
[00:03:15.000 --> 00:03:19.000]  所有受造之物站在這樣的位置
[00:03:19.000 --> 00:03:21.000]  向著創造者
[00:03:21.000 --> 00:03:25.000]  我們會有一種肅然起敬的心
[00:03:25.000 --> 00:03:28.000]  神是全地的王
[00:03:28.000 --> 00:03:31.000]  因此我們作為神的子民
[00:03:31.000 --> 00:03:39.000]  我們要用崇敬的心稱讚祂、誇耀祂
[00:03:39.000 --> 00:03:41.000]  神因為祂的本質
[00:03:41.000 --> 00:03:46.000]  所以值得萬民來稱頌
[00:03:46.000 --> 00:03:49.000]  第二個稱頌的原因
[00:03:49.000 --> 00:03:52.000]  就是在第三到第四節講到
[00:03:52.000 --> 00:03:57.000]  「聶邦,他叫萬民伏在我們耳下,又叫聶邦伏在我們腳下。
[00:03:57.000 --> 00:04:02.000]  他為我們選擇產業,就是他所愛之也國的榮耀。」
[00:04:02.000 --> 00:04:05.000]  就是神幫助以色列人
[00:04:05.000 --> 00:04:10.000]  讓周邊外邦都被以色列人戰勝
[00:04:10.000 --> 00:04:13.000]  並且得他們的地為業
[00:04:13.000 --> 00:04:19.000]  以致不同的聶邦都慢慢在征戰的過程當中
[00:04:19.000 --> 00:04:22.000]  成為神的子民
[00:04:22.000 --> 00:04:27.000]  他們都加入敬拜的行列和群體當中
[00:04:27.000 --> 00:04:31.000]  如果用我們今天的說話來說
[00:04:31.000 --> 00:04:36.000]  就是說神是萬民的神
[00:04:36.000 --> 00:04:41.000]  神是創造所有受造之物
[00:04:41.000 --> 00:04:43.000]  因此從本質上
[00:04:43.000 --> 00:04:50.000]  受造之物就應該向神獻上敬畏、讚美、去崇敬祂
[00:04:50.000 --> 00:04:54.000]  神不單止是創造的神
[00:04:54.000 --> 00:04:58.000]  是我們受造者要景仰的神
[00:04:58.000 --> 00:05:00.000]  而且祂的作為就是
[00:05:00.000 --> 00:05:03.000]  祂讓揀選了一班人
[00:05:03.000 --> 00:05:07.000]  透過他們來再一次實現
[00:05:07.000 --> 00:05:09.000]  其他還未歸順的人
[00:05:09.000 --> 00:05:10.000]  來歸順
[00:05:10.000 --> 00:05:13.000]  加入讚美的群體
[00:05:13.000 --> 00:05:15.000]  一齊來歸榮耀給神
[00:05:15.000 --> 00:05:17.000]  用我們今天的說話來說
[00:05:17.000 --> 00:05:22.000]  就是神幫助我們進行猜拳的工作
[00:05:22.000 --> 00:05:25.000]  讓更多的人可以加入這個角度
[00:05:25.000 --> 00:05:28.000]  成為神的子民的一部分
[00:05:28.000 --> 00:05:32.000]  因此要讚美神
[00:05:32.000 --> 00:05:34.000]  要用不同的方式
[00:05:34.000 --> 00:05:36.000]  要用最響亮的方式
[00:05:36.000 --> 00:05:40.000]  來稱頌、讚美神的作為
[00:05:40.000 --> 00:05:45.000]  在這裡很清楚的一個重點
[00:05:45.000 --> 00:05:51.000]  就是神是全地萬民的神
[00:05:51.000 --> 00:05:55.000]  是全地萬民的王
[00:05:55.000 --> 00:05:57.000]  從蕭極地來說
[00:05:57.000 --> 00:06:03.000]  我們不要將神規範私有化
[00:06:03.000 --> 00:06:05.000]  神是我的神
[00:06:05.000 --> 00:06:07.000]  神是我們的神
[00:06:07.000 --> 00:06:11.000]  與其他人無關
[00:06:11.000 --> 00:06:13.000]  與其他未信的人無關
[00:06:13.000 --> 00:06:16.000]  神是我們的神
[00:06:16.000 --> 00:06:18.000]  神亦是那些未信的
[00:06:18.000 --> 00:06:24.000]  未使我們得為業的地區的
[00:06:24.000 --> 00:06:26.000]  神仍然是他們的神
[00:06:26.000 --> 00:06:29.000]  不要將神地域化
[00:06:29.000 --> 00:06:34.000]  神只是在教會裡得到榮耀
[00:06:34.000 --> 00:06:37.000]  在教會裡有能力、掌權
[00:06:37.000 --> 00:06:41.000]  神在我生命的範疇裡
[00:06:41.000 --> 00:06:44.000]  只是我進行宗教活動的時候
[00:06:44.000 --> 00:06:46.000]  神有那種王權
[00:06:46.000 --> 00:06:48.000]  有那種駕馭
[00:06:48.000 --> 00:06:53.000]  在我們整個人生不同的範疇裡
[00:06:53.000 --> 00:06:55.000]  在我們所處的地界
[00:06:55.000 --> 00:06:57.000]  九龍城、香港
[00:06:57.000 --> 00:06:59.000]  以至全世界
[00:06:59.000 --> 00:07:02.000]  神都是王
[00:07:02.000 --> 00:07:05.000]  不要將神民族化
[00:07:05.000 --> 00:07:09.000]  猶太人認為神是他們亞伯拉罕的神
[00:07:09.000 --> 00:07:11.000]  是他們老祖宗的神
[00:07:11.000 --> 00:07:14.000]  其他非猶太人
[00:07:14.000 --> 00:07:16.000]  與這位神無關
[00:07:16.000 --> 00:07:18.000]  所以神所賜的一切福氣
[00:07:18.000 --> 00:07:21.000]  與這些所謂外族人、外邦人
[00:07:21.000 --> 00:07:25.000]  是沒有一丁點的關係
[00:07:25.000 --> 00:07:27.000]  從積極來看
[00:07:27.000 --> 00:07:30.000]  我們看到神是全地的民
[00:07:30.000 --> 00:07:33.000]  全地萬民的神
[00:07:33.000 --> 00:07:36.000]  既然是全地萬民的神
[00:07:36.000 --> 00:07:39.000]  祂至高可畏
[00:07:39.000 --> 00:07:44.000]  萬民應該用這樣的心態來敬拜祂
[00:07:44.000 --> 00:07:48.000]  讓祂得著當得的榮耀
[00:07:48.000 --> 00:07:56.000]  問題是今天還有很多人還未歸順
[00:07:56.000 --> 00:07:59.000]  在敬拜的過程裡
[00:07:59.000 --> 00:08:02.000]  你覺不覺得有某些虧損呢?
[00:08:02.000 --> 00:08:06.000]  神在當中是否已經得著應得的
[00:08:06.000 --> 00:08:10.000]  當有的完美榮耀呢?
[00:08:10.000 --> 00:08:12.000]  還沒有
[00:08:12.000 --> 00:08:14.000]  在經文裡很清楚地說
[00:08:14.000 --> 00:08:18.000]  因此神就透過這個國族
[00:08:18.000 --> 00:08:20.000]  來繼續征戰
[00:08:20.000 --> 00:08:24.000]  讓更多的人進入祂的國度
[00:08:24.000 --> 00:08:27.000]  神是全地萬民的神
[00:08:27.000 --> 00:08:29.000]  當我們敬拜祂的時候
[00:08:29.000 --> 00:08:30.000]  請我們記住
[00:08:30.000 --> 00:08:32.000]  神是想透過我們
[00:08:32.000 --> 00:08:37.000]  讓萬民帶到祂的面前
[00:08:37.000 --> 00:08:41.000]  和我們一起來敬拜祂
[00:08:41.000 --> 00:08:45.000]  而且當我們看到敬拜的時候
[00:08:45.000 --> 00:08:47.000]  我們就知道
[00:08:47.000 --> 00:08:51.000]  神在這個世界有一個很清楚的計劃
[00:08:51.000 --> 00:08:54.000]  對我們作出吩咐
[00:08:54.000 --> 00:08:59.000]  我們說地上的侍奉
[00:08:59.000 --> 00:09:03.000]  其實都是仿效天上的樣式
[00:09:03.000 --> 00:09:05.000]  地上的敬拜
[00:09:05.000 --> 00:09:08.000]  其實都是要盡力模仿天上
