
[00:00:00.000 --> 00:00:05.320]  弟兄姊妹,讓我們一同禱告
[00:00:05.320 --> 00:00:07.600]  天爺上帝,我們仰望祢
[00:00:07.600 --> 00:00:09.400]  祢的話語何等美好
[00:00:09.400 --> 00:00:13.280]  感謝祢賜下新舊約聖經
[00:00:13.280 --> 00:00:15.640]  今日求祢用約拿書的信息
[00:00:15.640 --> 00:00:17.040]  向我們講說話
[00:00:17.040 --> 00:00:20.360]  也願祢的聖靈運行在我們當中
[00:00:20.360 --> 00:00:23.760]  我們祈禱奉主耶穌基督的名
[00:00:23.760 --> 00:00:27.320]  如果你有接觸一些小學生
[00:00:27.320 --> 00:00:30.120]  和他們聊天玩耍
[00:00:30.120 --> 00:00:32.520]  他們很喜歡做一件事
[00:00:32.520 --> 00:00:36.240]  就是出一條IQ題給你猜猜
[00:00:36.240 --> 00:00:38.120]  有一條聖經IQ題
[00:00:38.120 --> 00:00:43.080]  就是吞了約拿才知道那條魚是什麼魚
[00:00:43.080 --> 00:00:47.120]  吞拿魚
[00:00:47.120 --> 00:00:50.240]  約拿的故事
[00:00:50.240 --> 00:00:54.080]  大家都是耳熟能詳了
[00:00:54.080 --> 00:00:57.120]  一般小仙之書的內容
[00:00:57.120 --> 00:01:01.360]  都是以先知的訊息和預言為主
[00:01:01.360 --> 00:01:05.440]  但是約拿書大部分是敘事的文體
[00:01:05.440 --> 00:01:09.000]  其中有很豐富的訊息和教導
[00:01:09.000 --> 00:01:13.120]  也讓我們更加去認識上帝的心
[00:01:13.120 --> 00:01:15.400]  約拿是誰呢?
[00:01:15.400 --> 00:01:18.280]  除了約拿書的記載
[00:01:18.280 --> 00:01:23.200]  舊約聖經有沒有其他地方記載約拿這個人呢?
[00:01:23.200 --> 00:01:24.480]  是有的
[00:01:24.480 --> 00:01:27.040]  在列王記下第十四章
[00:01:27.040 --> 00:01:30.160]  二十三至二十九節是有記載
[00:01:30.160 --> 00:01:36.240]  約拿在以色列耶羅邦安二世的年代
[00:01:36.240 --> 00:01:39.560]  是做北國的先知
[00:01:39.560 --> 00:01:43.280]  列王記下十四章二十五節這樣說
[00:01:43.280 --> 00:01:45.480]  他收復以色列的邊境
[00:01:45.480 --> 00:01:48.160]  從哈馬口直到阿拉巴海
[00:01:48.160 --> 00:01:50.840]  正如耶和華以色列的神的話
[00:01:50.840 --> 00:01:53.160]  就是藉著他的僕人
[00:01:53.160 --> 00:01:56.800]  加特希夫人阿米泰的兒子約拿
[00:01:56.800 --> 00:01:58.920]  所說的
[00:01:58.920 --> 00:02:02.040]  在之前一兩節十四章
[00:02:02.040 --> 00:02:02.880]  這樣說
[00:02:02.880 --> 00:02:06.440]  以色列王約阿斯的兒子耶羅邦安在
[00:02:06.440 --> 00:02:08.000]  撒瑪利亞登基
[00:02:08.000 --> 00:02:10.320]  他作王四十一年
[00:02:10.320 --> 00:02:14.400]  他行耶和華捍衛惡的事
[00:02:14.400 --> 00:02:16.400]  耶羅邦安二世
[00:02:16.400 --> 00:02:20.440]  雖然行耶和華眼中捍衛惡的事
[00:02:20.440 --> 00:02:23.640]  但是約拿先知預言
[00:02:23.640 --> 00:02:27.120]  神看到以色列人十分艱苦
[00:02:27.120 --> 00:02:30.760]  於是祂就藉著耶羅邦安的手
[00:02:30.760 --> 00:02:32.000]  拯救他們
[00:02:32.000 --> 00:02:33.400]  雖然祂行惡
[00:02:33.400 --> 00:02:38.160]  但是耶和華憐憫以色列人
[00:02:38.160 --> 00:02:42.240]  耶羅邦安二世統治以色列的時代
[00:02:42.240 --> 00:02:43.080]  是什麼時代呢?
[00:02:43.080 --> 00:02:48.160]  是主前七八九十三至七八五十三年
[00:02:48.160 --> 00:02:50.600]  大家都知道以色列國
[00:02:50.600 --> 00:02:56.440]  北國一直受著強大的亞述國的威脅
[00:02:56.440 --> 00:03:00.760]  自從公元八百四十一年
[00:03:00.760 --> 00:03:05.080]  以色列已經開始向亞述進貢
[00:03:05.080 --> 00:03:08.040]  尼尼尼是亞述的首都
[00:03:08.040 --> 00:03:12.000]  尼尼尼城是一座很堅固很大的城
[00:03:12.000 --> 00:03:17.320]  早在公元前一千一百年就建好了
[00:03:17.320 --> 00:03:19.840]  約拿書第一章二節
[00:03:19.840 --> 00:03:21.640]  我們揭開看看
[00:03:21.640 --> 00:03:23.440]  一章二節
[00:03:23.440 --> 00:03:25.920]  揭開上一頁
[00:03:25.920 --> 00:03:31.120]  「神見約拿去尼尼尼宣告神審判的預言」
[00:03:31.120 --> 00:03:36.760]  「起來到尼尼尼大城去警告其中的居民」
[00:03:36.760 --> 00:03:42.840]  「因為他們的惡行已經達到我面前」
[00:03:42.840 --> 00:03:47.320]  為什麼約拿要走去他斯呢?
[00:03:47.320 --> 00:03:50.440]  尼尼尼是在以色列的東北部
[00:03:50.440 --> 00:03:55.320]  而他斯是在今天西班牙的南部
[00:03:55.320 --> 00:03:56.760]  神叫他去東
[00:03:56.760 --> 00:03:58.520]  約拿就去西
[00:03:58.520 --> 00:04:01.200]  還去到西邊的天腳底
[00:04:01.200 --> 00:04:03.120]  要躲避神
[00:04:03.120 --> 00:04:05.560]  為什麼他要這樣做呢?
[00:04:05.560 --> 00:04:08.400]  其實在四章二節已經有答案了
[00:04:08.400 --> 00:04:11.040]  我們再看一看
[00:04:11.040 --> 00:04:13.400]  四章二節這裡說
[00:04:13.400 --> 00:04:16.240]  「就向人說土告說耶和華」
[00:04:16.240 --> 00:04:20.280]  「我還在本國的時候不是這樣說過嗎?」
[00:04:20.280 --> 00:04:23.520]  「我知道你是有恩典有憐憫的神」
[00:04:23.520 --> 00:04:25.160]  「不輕易發怒」
[00:04:25.160 --> 00:04:27.680]  「並且有豐盛的慈愛」
[00:04:27.680 --> 00:04:30.080]  「轉而不降災禍」
[00:04:30.080 --> 00:04:36.160]  「所以我才急忙逃往他斯去」
[00:04:36.160 --> 00:04:38.920]  約拿是一個愛國的先知
[00:04:38.920 --> 00:04:42.880]  他看到亞述國常常欺負以色列國
[00:04:42.880 --> 00:04:45.240]  是以色列國的敵人
[00:04:45.240 --> 00:04:48.880]  他接受不到自己要向敵人
[00:04:48.880 --> 00:04:53.720]  和他所恨惡的民族去傳神的訊息
[00:04:53.720 --> 00:04:57.080]  神叫他做一件很反感的事
[00:04:57.080 --> 00:04:58.800]  他就走
[00:04:58.800 --> 00:05:00.480]  寧願死
[00:05:00.480 --> 00:05:05.120]  他也不情願去面對以色列國的仇敵
[00:05:05.120 --> 00:05:08.440]  在他的生命裡有一個框框
[00:05:08.440 --> 00:05:10.320]  他的底線就是
[00:05:10.320 --> 00:05:15.640]  他不能向以色列的仇敵去傳道
[00:05:15.640 --> 00:05:17.320]  弟兄姊妹
[00:05:17.320 --> 00:05:19.200]  在我們生命裡
[00:05:19.200 --> 00:05:21.520]  我們也有很多框框
[00:05:21.520 --> 00:05:25.920]  有些事我們認為我們一定不會去做
[00:05:25.920 --> 00:05:30.040]  不知道你的「尼尼尾」是什麼呢?
[00:05:30.040 --> 00:05:33.040]  有什麼地方是你不願意去的?
[00:05:33.040 --> 00:05:35.760]  有什麼事是你極之不願意做的?
[00:05:35.760 --> 00:05:37.400]  就算神叫你做
[00:05:37.400 --> 00:05:40.120]  你也不會去做
[00:05:40.120 --> 00:05:42.680]  我不知道大家對於其他的民族
[00:05:42.680 --> 00:05:45.200]  又怎麼看呢?
[00:05:45.200 --> 00:05:46.800]  我認識一些長輩
[00:05:46.800 --> 00:05:50.680]  他們在二次大戰的時候
[00:05:50.680 --> 00:05:53.800]  受到日軍的苦待
[00:05:53.800 --> 00:05:57.320]  所以他們很痛恨日本人
[00:05:57.320 --> 00:05:59.400]  甚至信了主之後
[00:05:59.400 --> 00:06:05.040]  都仍然未能夠消除那種國仇家恨
[00:06:05.040 --> 00:06:07.080]  又或者你不是很喜歡
