
[00:00:00.000 --> 00:00:02.720]  今天在唐慶日子裏面
[00:00:02.720 --> 00:00:04.720]  很想和大家分享一段經文
[00:00:04.720 --> 00:00:07.200]  《已不所書》四章一至十六節
[00:00:07.200 --> 00:00:10.840]  《已不所書》很多時候都會稱為教會的藍圖
[00:00:10.840 --> 00:00:13.120]  這本書講很多有關教會的事
[00:00:13.120 --> 00:00:15.600]  一至三章講到教義的情況
[00:00:15.600 --> 00:00:17.840]  四至六章講到一些生活的應用
[00:00:17.840 --> 00:00:20.840]  所以今天都想和大家去看這段經文
[00:00:20.840 --> 00:00:22.600]  可能是一段我們很熟悉的經文
[00:00:22.600 --> 00:00:25.400]  《已不所書》四章一至十六節
[00:00:25.400 --> 00:00:27.400]  我們一起讀一讀這段經文
[00:00:27.400 --> 00:00:31.560]  "我為主被囚的勸你們
[00:00:31.560 --> 00:00:33.920]  既然蒙召行事為人
[00:00:33.920 --> 00:00:36.520]  就當與蒙召的恩相稱
[00:00:36.520 --> 00:00:39.400]  凡是謙虛溫柔忍耐
[00:00:39.400 --> 00:00:41.600]  用愛心互相寬容
[00:00:41.600 --> 00:00:43.920]  用和平彼此聯絡
[00:00:43.920 --> 00:00:47.800]  竭力守聖靈所賜合而為一的心
[00:00:47.800 --> 00:00:49.800]  身體只有一個
[00:00:49.800 --> 00:00:51.520]  聖靈只有一個
[00:00:51.520 --> 00:00:53.320]  正如你們蒙召
[00:00:53.320 --> 00:00:55.080]  同有一個指望
[00:00:55.080 --> 00:00:57.800]  一主一信一洗一神
[00:00:57.800 --> 00:00:59.600]  就是眾人的父
[00:00:59.600 --> 00:01:01.520]  超乎眾人之上
[00:01:01.520 --> 00:01:03.400]  貫乎眾人之中
[00:01:03.400 --> 00:01:05.720]  也住在眾人之內
[00:01:05.720 --> 00:01:07.600]  我們各人蒙恩
[00:01:07.600 --> 00:01:11.200]  都是照基督所量給各人的恩賜
[00:01:11.200 --> 00:01:12.840]  所以經上說
[00:01:12.840 --> 00:01:15.200]  他升上高天的時候
[00:01:15.200 --> 00:01:16.880]  努力了仇敵
[00:01:16.880 --> 00:01:19.600]  將各樣的恩賜賞給人
[00:01:19.600 --> 00:01:23.800]  既說聖上豈不是先降在地下嗎
[00:01:23.800 --> 00:01:25.200]  那降下的
[00:01:25.200 --> 00:01:27.400]  就是遠升諸天之上
[00:01:27.400 --> 00:01:29.400]  要充滿萬有的
[00:01:29.400 --> 00:01:31.400]  他所賜的有使徒
[00:01:31.400 --> 00:01:32.600]  有先知
[00:01:32.600 --> 00:01:34.000]  有傳福音的
[00:01:34.000 --> 00:01:36.000]  有牧師和教師
[00:01:36.000 --> 00:01:38.000]  為要成全聖徒
[00:01:38.000 --> 00:01:39.400]  各盡其職
[00:01:39.400 --> 00:01:41.400]  建立基督的身體
[00:01:41.400 --> 00:01:45.600]  直等到我們眾人在真道上同歸於一
[00:01:45.600 --> 00:01:47.400]  認識神的兒子
[00:01:47.400 --> 00:01:49.200]  得以長大成人
[00:01:49.200 --> 00:01:51.800]  滿有基督長成的新娘
[00:01:51.800 --> 00:01:54.400]  使我們不再作小孩子
[00:01:54.400 --> 00:01:57.800]  中了人的詭計和欺騙的法術
[00:01:57.800 --> 00:02:00.400]  被一切異教之風搖動
[00:02:00.400 --> 00:02:01.800]  飄來飄去
[00:02:01.800 --> 00:02:04.200]  就隨從各樣的異端
[00:02:04.200 --> 00:02:06.800]  唯用愛心說誠實話
[00:02:06.800 --> 00:02:08.200]  凡事長進
[00:02:08.200 --> 00:02:10.000]  連於元首基督
[00:02:10.000 --> 00:02:13.000]  全身都靠他聯絡得合適
[00:02:13.000 --> 00:02:14.800]  百折各按各職
[00:02:14.800 --> 00:02:18.000]  照著各體的功用彼此相助
[00:02:18.000 --> 00:02:20.600]  便叫身體漸漸增長
[00:02:20.600 --> 00:02:23.600]  在愛中建立自己
[00:02:23.600 --> 00:02:25.000]  這十六節的經文
[00:02:25.000 --> 00:02:27.600]  簡單地說可以分為三個段落
[00:02:27.600 --> 00:02:29.000]  第一節到第六節
[00:02:29.000 --> 00:02:31.600]  可以說是一個合一的基礎
[00:02:31.600 --> 00:02:33.000]  第七節到第十節
[00:02:33.000 --> 00:02:35.000]  就說到神的權能
[00:02:35.000 --> 00:02:37.800]  將各樣的恩賜給每一個頂子妹
[00:02:37.800 --> 00:02:39.000]  十一到第十六節
[00:02:39.000 --> 00:02:41.800]  就說到我們怎樣用恩賜
[00:02:41.800 --> 00:02:43.600]  去建立基督的身體
[00:02:43.600 --> 00:02:45.000]  建立這個家
[00:02:45.000 --> 00:02:46.800]  所以這三個段落裏面
[00:02:46.800 --> 00:02:48.000]  很簡單我們看見
[00:02:48.000 --> 00:02:50.000]  從合一開始
[00:02:50.000 --> 00:02:51.800]  以至到我們有恩賜
[00:02:51.800 --> 00:02:56.000]  能夠善用恩賜去服侍
[00:02:56.000 --> 00:02:57.400]  這經文一開始的時候
[00:02:57.400 --> 00:02:58.800]  它說要我們
[00:02:58.800 --> 00:03:00.200]  竭力保守聖靈所賜
[00:03:00.200 --> 00:03:02.200]  合而為一的心
[00:03:02.200 --> 00:03:03.200]  身體之一個
[00:03:03.200 --> 00:03:04.000]  聖靈之一個
[00:03:04.000 --> 00:03:05.000]  正如你們夢照
[00:03:05.000 --> 00:03:06.200]  同有一個指望
[00:03:06.200 --> 00:03:07.200]  一主一信
[00:03:07.200 --> 00:03:09.200]  一洗一神
[00:03:09.200 --> 00:03:11.200]  裏面說到其實七個的一
[00:03:11.200 --> 00:03:13.200]  裏面說到我們有
[00:03:13.200 --> 00:03:15.200]  同一個身體同一個聖靈
[00:03:15.200 --> 00:03:16.200]  有同一個盼望
[00:03:16.200 --> 00:03:17.200]  有一個主一個信
[00:03:17.200 --> 00:03:19.000]  一個朕禮一個神
[00:03:19.000 --> 00:03:20.200]  就是眾人之父
[00:03:20.200 --> 00:03:21.200]  超乎眾人之上
[00:03:21.200 --> 00:03:22.400]  貫乎眾人之中
[00:03:22.400 --> 00:03:24.600]  亦都住在眾人之內
[00:03:24.600 --> 00:03:25.600]  超乎眾人之上
[00:03:25.600 --> 00:03:28.000]  是在說神自己的權能
[00:03:28.000 --> 00:03:29.200]  貫乎眾人之中
[00:03:29.200 --> 00:03:31.600]  說到神在我們中間的工作
[00:03:31.600 --> 00:03:33.200]  亦都住在眾人之內
[00:03:33.200 --> 00:03:35.600]  說到神自己無所不在
[00:03:35.600 --> 00:03:36.800]  所以其實整段經文裏面
[00:03:36.800 --> 00:03:38.200]  有說到我們有同一個主
[00:03:38.200 --> 00:03:39.000]  有同一個神
[00:03:39.000 --> 00:03:40.200]  有同一位聖靈
[00:03:40.200 --> 00:03:41.600]  其實亦都在說
[00:03:41.600 --> 00:03:43.000]  一個三一神裏面
[00:03:43.000 --> 00:03:45.000]  那種的能力
[00:03:45.000 --> 00:03:47.800]  那種的權柄
[00:03:47.800 --> 00:03:50.400]  裏面說到這七個一的時候
