
[00:00:00.000 --> 00:00:02.000]  好,我們開始的時候,我們先低頭我們祈禱,好嗎?
[00:00:02.000 --> 00:00:06.180]  天王,祢肯求祢自己親自的彌大人去幫助我們
[00:00:06.180 --> 00:00:09.800]  再一次的,祢要多謝祢,因為有班弟兄姊妹,他們很熱心
[00:00:09.800 --> 00:00:14.460]  他們願意,即是放了工之後繼續的彌大人去探討
[00:00:14.460 --> 00:00:15.980]  即是神祢自己的說話
[00:00:15.980 --> 00:00:18.980]  神願意祢自己用祢的靈,彌大人去滿足他們
[00:00:18.980 --> 00:00:21.580]  祢要將孩子的軟弱,任務在神祢的手裏面
[00:00:21.580 --> 00:00:24.580]  求主祢自己親自的彌大人去眷顧、保守
[00:00:24.580 --> 00:00:27.380]  祢要叫我所講的,能夠成為從弟兄姊妹的幫助
[00:00:27.380 --> 00:00:30.100]  祈禱奈奉主,得聖一命,Amen
[00:00:57.380 --> 00:00:59.380]  第四節是沒有怎樣講到
[00:00:59.380 --> 00:01:01.880]  所以我今天會補回第二章的第一和第四節
[00:01:01.880 --> 00:01:05.080]  我們很快的一起來讀第二章的第一和第四節
[00:01:05.080 --> 00:01:07.380]  有沒有人跟我拿咪來帶去讀的時候
[00:01:07.380 --> 00:01:09.380]  讓那些人可以聽
[00:01:09.380 --> 00:01:13.180]  原來上個禮拜,即是放了上網的時候
[00:01:13.180 --> 00:01:15.380]  都有三百多人已經聽了
[00:01:15.380 --> 00:01:18.880]  但是大家知道,如果你們來帶去讀經的時候
[00:01:18.880 --> 00:01:20.880]  就是我透氣的時間
[00:01:20.880 --> 00:01:22.880]  所以需要那些人來帶去讀的,好嗎?
[00:01:22.880 --> 00:01:24.880]  好,第二章第一到第四節
[00:01:27.380 --> 00:01:34.380]  「愈發聽眾所聽見的道理,恐怕我們垂留失去
[00:01:34.380 --> 00:01:39.380]  那藉著天使所傳的話,既是確定的
[00:01:39.380 --> 00:01:44.880]  凡光泛背逆的人,甚於了當受的報應
[00:01:44.880 --> 00:01:50.380]  我們若忽略這麼大的救恩,怎能逃罪呢?
[00:01:50.380 --> 00:01:59.380]  這救恩起司是主親自講的,後來是聽見的人給我們證實了
[00:01:59.380 --> 00:02:06.380]  神又按自己的旨意,用神蹟、騎士和百般的異能
[00:02:06.380 --> 00:02:11.380]  並聖靈的恩賜,同他們作見證」
[00:02:11.380 --> 00:02:14.380]  第二章一開始的時候就提醒一班基督徒
[00:02:14.380 --> 00:02:18.380]  你要很小心,不要離棄真道
[00:02:18.380 --> 00:02:20.380]  因為有很多人他們信了的時候
[00:02:20.380 --> 00:02:24.380]  可能在某一些情況裡面,他們會放棄了他們的信仰
[00:02:24.380 --> 00:02:27.380]  我想今天我們做基督徒做了很久的時候
[00:02:27.380 --> 00:02:30.380]  你環顧你過去和你一起成長的一些弟兄姊妹
[00:02:30.380 --> 00:02:33.380]  可能他們都已經離棄了真道
[00:02:33.380 --> 00:02:37.380]  有些人可能不單單沒有教會,甚至放棄了信仰
[00:02:37.380 --> 00:02:39.380]  甚至拜第二些的宗教
[00:02:39.380 --> 00:02:44.380]  所以我們要鄭重地來帶去尊重我們所聽見的道理
[00:02:44.380 --> 00:02:46.380]  恐怕我們會垂留失去
[00:02:46.380 --> 00:02:50.380]  當然一個的洪流,你很難逆流而上的
[00:02:50.380 --> 00:02:53.380]  在這個世界裡面,有很多很多不同的潮流
[00:02:53.380 --> 00:02:56.380]  是將我們來帶去拔走的
[00:02:56.380 --> 00:02:58.380]  所以他說我們要很小心
[00:02:58.380 --> 00:03:02.380]  如果我們忽略這麼大的救恩怎能逃罪呢?
[00:03:02.380 --> 00:03:05.380]  這裡就已經探討到,在《基督徒來信》裡面
[00:03:05.380 --> 00:03:06.380]  我們說很特別要探討一件事
[00:03:06.380 --> 00:03:10.380]  就是是不是一次得救,永遠得救呢?
[00:03:10.380 --> 00:03:12.380]  當然我們會特別看第六章的時候
[00:03:12.380 --> 00:03:15.380]  會特別來帶去研究這一點
[00:03:15.380 --> 00:03:17.380]  這裡告訴我們很重要的就是
[00:03:17.380 --> 00:03:21.380]  今日神祂自己來帶去拯救我們
[00:03:21.380 --> 00:03:24.380]  如果我們輕忽這個救恩的時候
[00:03:24.380 --> 00:03:26.380]  是很難來帶去逃罪
[00:03:26.380 --> 00:03:29.380]  因為這個救贖是主耶穌親自
[00:03:29.380 --> 00:03:32.380]  向我們來帶去宣講的
[00:03:32.380 --> 00:03:34.380]  所以我們這裡很重要
[00:03:34.380 --> 00:03:36.380]  我們就要留意到一個人
[00:03:36.380 --> 00:03:39.380]  如果他得救之後,他犯了罪
[00:03:39.380 --> 00:03:41.380]  他是不是永遠都不得救呢?
[00:03:41.380 --> 00:03:45.380]  如果我們想一想,有一個人
[00:03:45.380 --> 00:03:48.380]  他有婚外情
[00:03:48.380 --> 00:03:50.380]  但他還是基督徒
[00:03:50.380 --> 00:03:52.380]  隨時會有這些事
[00:03:52.380 --> 00:03:54.380]  好了,他能不能得救呢?
[00:03:54.380 --> 00:03:58.380]  大聖經很清楚的說
[00:03:58.380 --> 00:04:00.380]  如果一個人犯姦淫的時候
[00:04:00.380 --> 00:04:02.380]  犯淫亂的不能進入天國,是不是?
[00:04:02.380 --> 00:04:04.380]  好了,接著我們再想想
[00:04:04.380 --> 00:04:06.380]  更差一點
[00:04:06.380 --> 00:04:08.380]  如果有一個人
