
[00:00:00.000 --> 00:00:04.700]  今天我反而要講一個開始的前面的故事
[00:00:04.700 --> 00:00:06.200]  拉狹的故事
[00:00:06.200 --> 00:00:07.800]  妓女拉狹的故事
[00:00:07.800 --> 00:00:09.400]  我想大家都很熟悉
[00:00:09.400 --> 00:00:14.000]  我想跟你看看她這個重要的信心
[00:00:14.000 --> 00:00:15.800]  如果你問神學家
[00:00:15.800 --> 00:00:18.400]  你說耶穌雅基的大綱是怎麼樣
[00:00:18.400 --> 00:00:21.800]  他會把它大綱分爲四段
[00:00:21.800 --> 00:00:25.400]  其實都有一些希伯來文的基礎
[00:00:25.400 --> 00:00:27.400]  每一段有一個主題
[00:00:27.400 --> 00:00:31.000]  主句的聲音都差不多
[00:00:31.000 --> 00:00:32.600]  第一段是一到五章
[00:00:32.600 --> 00:00:34.000]  第二段是六到十二章
[00:00:34.000 --> 00:00:36.000]  第三是十三到二十二章
[00:00:36.000 --> 00:00:39.200]  最後二十三章到二十四章
[00:00:39.200 --> 00:00:41.800]  頭五章是講到耶穌雅帶領以色列
[00:00:41.800 --> 00:00:43.600]  好像一個新的摩西
[00:00:43.600 --> 00:00:45.800]  摩西帶他們過紅海
[00:00:45.800 --> 00:00:47.800]  耶穌雅帶他們過約旦河
[00:00:47.800 --> 00:00:50.400]  然後摩西拆派探子
[00:00:50.400 --> 00:00:56.000]  耶穌雅也拆派探子進入迦南
[00:00:56.000 --> 00:00:58.600]  第二段六到十二章裏面
[00:00:58.600 --> 00:01:01.800]  講到他們與迦南人的打仗
[00:01:01.800 --> 00:01:04.600]  他們征戰英許之地
[00:01:04.600 --> 00:01:07.400]  當中有成功有耶利哥的故事
[00:01:07.400 --> 00:01:09.800]  也有失敗艾成的故事
[00:01:09.800 --> 00:01:11.800]  所以這已經開始讓你知道
[00:01:11.800 --> 00:01:15.200]  原來進入英許之地不是那麼簡單
[00:01:15.200 --> 00:01:16.600]  他們要很小心
[00:01:16.600 --> 00:01:21.400]  他們怎麼樣去按照上帝的方法去戰鬥
[00:01:21.400 --> 00:01:27.800]  而且在當中去完完全全順服在上帝的律法當中
[00:01:27.800 --> 00:01:30.000]  到十三到二十二章裏面
[00:01:30.000 --> 00:01:34.200]  講到耶穌雅分配英許之地給十二個支派
[00:01:34.200 --> 00:01:37.200]  可能其中還有兩個是半支派
[00:01:37.200 --> 00:01:39.600]  把地分給他們不是就完結
[00:01:39.600 --> 00:01:43.600]  而是他們現在要按照上帝的旨意
[00:01:43.600 --> 00:01:45.600]  去攻打那些地方
[00:01:45.600 --> 00:01:50.000]  以致他們可以佔據新的英許之地
[00:01:50.000 --> 00:01:52.200]  最後的二十三二十四章
[00:01:52.200 --> 00:01:53.600]  讓我們開始覺得
[00:01:53.600 --> 00:01:56.400]  原來他們還沒有完全佔據這個地方
[00:01:56.400 --> 00:01:58.400]  所以到這個故事完的時候
[00:01:58.400 --> 00:02:00.400]  你發覺耶穌雅在挑戰他們
[00:02:00.400 --> 00:02:04.400]  怎麼樣去繼續去攻取這個地方
[00:02:04.400 --> 00:02:05.600]  從某一個角度來說
[00:02:05.600 --> 00:02:07.800]  上帝的英許已經成全了
[00:02:07.800 --> 00:02:12.200]  因爲以色列人已經進到迦南之地
[00:02:12.200 --> 00:02:13.400]  從另外一個角度來說
[00:02:13.400 --> 00:02:14.800]  他們還沒有完全
[00:02:14.800 --> 00:02:17.600]  因爲他們的蜀靈的失敗
[00:02:17.600 --> 00:02:20.400]  他們成爲一個大的民族
[00:02:20.400 --> 00:02:22.400]  他們已經進入這個地
[00:02:22.400 --> 00:02:26.800]  他們將來要成爲一個大的國家等等
[00:02:26.800 --> 00:02:28.400]  但是從另外一個角度
[00:02:28.400 --> 00:02:30.200]  他們的蜀靈的失敗
[00:02:30.200 --> 00:02:33.400]  最後引他們進入貝魯
[00:02:33.400 --> 00:02:37.000]  然後要等待迴歸君王的來臨
[00:02:37.000 --> 00:02:39.000]  如果我用一句話
[00:02:39.000 --> 00:02:41.600]  去把這個耶穌雅祭總結
[00:02:41.600 --> 00:02:43.200]  那會是怎麼樣呢
[00:02:43.200 --> 00:02:46.200]  那我用的一句話就是
[00:02:46.200 --> 00:02:52.000]  書見恩仇 敬英許
[00:02:52.000 --> 00:02:53.200]  書見恩仇
[00:02:53.200 --> 00:02:56.400]  《書見恩仇錄》有一個武俠小說
[00:02:56.400 --> 00:02:59.200]  爲什麼說書見恩仇呢
[00:02:59.200 --> 00:03:00.600]  他的書是講到
[00:03:00.600 --> 00:03:03.000]  Torah 就是摩西武經
[00:03:03.000 --> 00:03:05.400]  這律法書不可以離開你的口
[00:03:05.400 --> 00:03:07.400]  你要晝夜思想
[00:03:07.400 --> 00:03:10.800]  使你所做的一切就可以進度順利
[00:03:10.800 --> 00:03:12.400]  這不是給我們今天的英許
[00:03:12.400 --> 00:03:14.800]  而是講這個進入迦南地的
[00:03:14.800 --> 00:03:17.800]  不要亂來把它變成一個金句
[00:03:17.800 --> 00:03:19.400]  所以這個是一個書
[00:03:19.400 --> 00:03:20.400]  也是講薦
[00:03:20.400 --> 00:03:24.000]  因爲他們要爲上帝去打聖戰
[00:03:24.000 --> 00:03:26.800]  進入迦南地
[00:03:26.800 --> 00:03:28.800]  恩仇當中有恩典
[00:03:28.800 --> 00:03:30.200]  我們看到拉匣
[00:03:30.200 --> 00:03:31.600]  她是一個外邦女子
[00:03:31.600 --> 00:03:37.000]  她卻進入了以色列羣主
[00:03:37.000 --> 00:03:42.000]  這個迦南地的人被上帝所審判
[00:03:42.000 --> 00:03:43.800]  所以有恩有仇
[00:03:43.800 --> 00:03:46.000]  當中有很多是指向主耶穌基督
[00:03:46.000 --> 00:03:50.400]  因爲耶穌亞的西伯來文
[00:03:50.400 --> 00:03:53.600]  其實就是耶穌的希臘文
[00:03:53.600 --> 00:03:55.000]  其實是同一個字
[00:03:55.000 --> 00:03:56.800]  只是一個是西伯來文
[00:03:56.800 --> 00:03:58.000]  一個是希臘文
[00:03:58.000 --> 00:03:59.600]  兩個是同一個名字
[00:03:59.600 --> 00:04:00.800]  耶穌亞的一生
[00:04:00.800 --> 00:04:03.400]  他所做的是指向主耶穌基督
[00:04:03.400 --> 00:04:08.000]  然後拉匣的故事也是指向司祭教
[00:04:08.000 --> 00:04:10.200]  拉匣的故事有點像
[00:04:10.200 --> 00:04:13.000]  Passover 逾越節的羔羊
[00:04:13.000 --> 00:04:16.400]  好像是在英許之地裏面
[00:04:16.400 --> 00:04:18.200]  過第一個逾越節
[00:04:18.200 --> 00:04:21.800]  我想帶你看拉匣的故事
[00:04:21.800 --> 00:04:23.600]  爲什麼我們要看拉匣的故事
[00:04:23.600 --> 00:04:26.200]  因爲在新約的雅各書裏面講到
[00:04:26.200 --> 00:04:34.200]  拉匣是一個信心與行爲非常好的例子
[00:04:34.200 --> 00:04:37.400]  如果大家想跟大家讀一讀雅各書
[00:04:37.400 --> 00:04:39.600]  雅各書第二章第十九節
[00:04:39.600 --> 00:04:41.600]  說你信上帝只有一位
[00:04:41.600 --> 00:04:43.000]  你信得很好
[00:04:43.000 --> 00:04:44.600]  連魔鬼也信
[00:04:44.600 --> 00:04:46.600]  且怕得發抖
[00:04:46.600 --> 00:04:47.600]  上帝只有一位
[00:04:47.600 --> 00:04:50.600]  這是出於生命紀第六章
[00:04:50.600 --> 00:04:52.800]  這個最大的解密
[00:04:52.800 --> 00:04:56.000]  如果上帝就是因爲上帝是一位
[00:04:56.000 --> 00:04:58.000]  祂是獨有的
[00:04:58.000 --> 00:05:02.600]  所以你該盡心盡力愛我們的上帝
[00:05:02.600 --> 00:05:05.400]  即使魔鬼也相信上帝只有一位
[00:05:05.400 --> 00:05:07.600]  但是魔鬼做不了一個事情
[00:05:07.600 --> 00:05:10.000]  就是浮浮在上帝的面前
[00:05:10.000 --> 00:05:13.000]  去全心全意的去愛他
[00:05:13.000 --> 00:05:17.000]  這裏講到雅各對當時一些人的挑戰
[00:05:17.000 --> 00:05:18.400]  他們說我有信心
[00:05:18.400 --> 00:05:20.800]  但是其實他們沒有行爲
