
[00:00:00.000 --> 00:00:02.000]  早安各位弟兄姊妹
[00:00:02.000 --> 00:00:07.000]  很感恩有機會再跟大家來思想上帝的說話
[00:00:07.000 --> 00:00:11.000]  不過今天是一個很大的挑戰
[00:00:11.000 --> 00:00:15.000]  平時我講道不超過一章的聖經
[00:00:15.000 --> 00:00:20.000]  今天要講十三章的經文
[00:00:20.000 --> 00:00:25.000]  其實從創世紀第37章到50章
[00:00:25.000 --> 00:00:28.000]  除了第38章
[00:00:28.000 --> 00:00:33.000]  剛才梓廣弟兄說讀部份的講道經文
[00:00:33.000 --> 00:00:37.000]  其實是讀了頭和尾
[00:00:37.000 --> 00:00:39.000]  因為邱牧師給我的題目是
[00:00:39.000 --> 00:00:44.000]  邁向成熟約瑟的故事
[00:00:44.000 --> 00:00:48.000]  記載約瑟的經文是再前一點的
[00:00:48.000 --> 00:00:51.000]  如果記載他的出生
[00:00:51.000 --> 00:00:53.000]  應該是再前一點的經文
[00:00:53.000 --> 00:00:57.000]  從約瑟步出這個舞台
[00:00:57.000 --> 00:01:02.000]  到他死就是十幾章的經文
[00:01:02.000 --> 00:01:05.000]  我有35分鐘跟大家來思想
[00:01:05.000 --> 00:01:08.000]  所以如果手上有聖經
[00:01:08.000 --> 00:01:10.000]  請你拿著聖經
[00:01:10.000 --> 00:01:13.000]  可能一會兒有些聖經要跟大家一起
[00:01:13.000 --> 00:01:15.000]  很快的來看
[00:01:15.000 --> 00:01:18.000]  不過這也是一個很好的機會
[00:01:18.000 --> 00:01:22.000]  令我要再重新來思考
[00:01:22.000 --> 00:01:26.000]  到底聖經裏面記載約瑟
[00:01:26.000 --> 00:01:30.000]  用這麼長的篇幅
[00:01:30.000 --> 00:01:37.000]  到底要向我們傳達什麼訊息呢?
[00:01:37.000 --> 00:01:41.000]  我們再一次低頭來禱告加特利柱
[00:01:41.000 --> 00:01:43.000]  願主幫助我們
[00:01:43.000 --> 00:01:48.000]  從聖經裏面一個你所使用的人物
[00:01:48.000 --> 00:01:53.000]  讓我們明白你對我們的說話
[00:01:53.000 --> 00:01:57.000]  帶領我們,讓我們的心安靜在你的面前
[00:01:57.000 --> 00:02:00.000]  聆聽你要向我們所說的話
[00:02:00.000 --> 00:02:04.000]  奉耶穌基督的聖名,阿們
[00:02:04.000 --> 00:02:10.000]  約瑟生長在一個什麼樣的家庭呢?
[00:02:10.000 --> 00:02:13.000]  他的爸爸是誰呢?
[00:02:13.000 --> 00:02:15.000]  雅各
[00:02:15.000 --> 00:02:18.000]  雅各在創世紀裏面
[00:02:18.000 --> 00:02:22.000]  也用了不短的篇幅來記載
[00:02:22.000 --> 00:02:26.000]  他的媽媽就是拉潔
[00:02:26.000 --> 00:02:31.000]  是雅各一見鍾情的一個女孩
[00:02:31.000 --> 00:02:35.000]  他為了想娶拉潔
[00:02:35.000 --> 00:02:38.000]  服侍了他的外父拉班七年
[00:02:38.000 --> 00:02:41.000]  服侍完七年之後
[00:02:41.000 --> 00:02:45.000]  娶了拉潔的姐姐尼雅
[00:02:45.000 --> 00:02:48.000]  因為拉班騙了他
[00:02:48.000 --> 00:02:52.000]  姐姐未嫁,妹妹不可以嫁
[00:02:52.000 --> 00:02:55.000]  所以先娶了尼雅
[00:02:55.000 --> 00:02:57.000]  為了拉潔
[00:02:57.000 --> 00:03:01.000]  雅各要再服侍拉班七年
[00:03:01.000 --> 00:03:08.000]  所以用了十四年才娶到他心愛的老婆
[00:03:08.000 --> 00:03:16.000]  當然後來雅各也不是簡單的人
[00:03:16.000 --> 00:03:25.000]  把被外父騙的全部拿走
[00:03:25.000 --> 00:03:30.000]  結果雅各帶著兩個老婆
[00:03:30.000 --> 00:03:32.000]  不單是兩個老婆
[00:03:32.000 --> 00:03:34.000]  還多了兩個妾侍
[00:03:34.000 --> 00:03:36.000]  或者叫四個老婆
[00:03:36.000 --> 00:03:38.000]  離開了拉班
[00:03:38.000 --> 00:03:41.000]  因為尼雅和拉潔兩姐妹
[00:03:41.000 --> 00:03:43.000]  有兩個老婆
[00:03:43.000 --> 00:03:45.000]  爭寵
[00:03:45.000 --> 00:03:50.000]  於是為了幫雅各生下一代
[00:03:50.000 --> 00:03:52.000]  各出其謀
[00:03:52.000 --> 00:03:55.000]  把自己的婢女都給了雅各
[00:03:55.000 --> 00:03:59.000]  所以有時見到雅各也很辛苦
[00:03:59.000 --> 00:04:02.000]  雖然他騙得人多
[00:04:02.000 --> 00:04:07.000]  但好像整個人生都被人操縱一樣
[00:04:07.000 --> 00:04:10.000]  今天我們不是講雅各,是講約瑟
[00:04:10.000 --> 00:04:14.000]  約瑟就是生長在一個這樣的家庭
[00:04:14.000 --> 00:04:16.000]  雅各有十二個兒子
[00:04:16.000 --> 00:04:19.000]  約瑟排行十一
[00:04:19.000 --> 00:04:20.000]  什麼原因呢?
[00:04:20.000 --> 00:04:25.000]  因為拉潔一直都不育
[00:04:25.000 --> 00:04:28.000]  在舊約的年代
[00:04:28.000 --> 00:04:33.000]  不能生兒子是上帝的刑罰
[00:04:33.000 --> 00:04:38.000]  所以當時拉潔不能生
[00:04:38.000 --> 00:04:46.000]  他也令雅各覺得欠缺
[00:04:46.000 --> 00:04:51.000]  因為最愛的太太不能生育
[00:04:51.000 --> 00:04:54.000]  我相信拉潔一直為這件事
[00:04:54.000 --> 00:04:57.000]  向上帝求問
[00:04:57.000 --> 00:05:01.000]  去討上帝讓他生育
[00:05:01.000 --> 00:05:05.000]  創世紀第三十章第二十二節
[00:05:05.000 --> 00:05:13.000]  聖經說「神顧念拉潔,應允了他,使他能生育」
[00:05:13.000 --> 00:05:19.000]  上帝應允拉潔,結果約瑟出生
[00:05:19.000 --> 00:05:23.000]  後來也生了一個便雅敏,他的弟弟
