
[00:00:00.000 --> 00:00:04.540]  我記得兩年前在網上聽潘牧師講這篇訊息
[00:00:04.540 --> 00:00:07.240]  第十二節,就是他主題的訊息
[00:00:07.240 --> 00:00:11.800]  就是不要再回頭走你的舊路
[00:00:11.800 --> 00:00:14.280]  大家聽過很多關於聖誕訊息
[00:00:14.280 --> 00:00:19.080]  所以今次我不會再講這條舊路的訊息
[00:00:19.080 --> 00:00:21.080]  不過今次就跟你講一下
[00:00:21.080 --> 00:00:25.120]  這幾個,或者這一對博學之士
[00:00:25.120 --> 00:00:28.520]  英文譯做Magie
[00:00:28.520 --> 00:00:31.440]  從Magician這個字來的
[00:00:31.440 --> 00:00:36.400]  因為當時文化和教育的水準不是很高
[00:00:36.400 --> 00:00:40.680]  所以一些能夠洞悉天文、氣象學
[00:00:40.680 --> 00:00:42.680]  甚至心理學
[00:00:42.680 --> 00:00:46.080]  一些讀過書的、看過舊約的
[00:00:46.080 --> 00:00:48.960]  很明顯這幾個博學之士
[00:00:48.960 --> 00:00:50.960]  和修本譯做博學之士
[00:00:50.960 --> 00:00:54.480]  他明白舊約裡面講關於彌賽亞
[00:00:54.480 --> 00:01:00.720]  所以他特別來到送禮物給彌賽亞
[00:01:00.720 --> 00:01:03.520]  我們就看看他們送禮物的行動
[00:01:03.520 --> 00:01:08.520]  對我們學習奉獻或者送禮物
[00:01:08.520 --> 00:01:12.920]  有什麼提醒和功課我們要學呢
[00:01:12.920 --> 00:01:15.240]  做了牧師三十多年
[00:01:15.240 --> 00:01:17.840]  其中一件有榮幸的事情就是
[00:01:17.840 --> 00:01:19.840]  能夠出席很多頂尖媒體的婚禮
[00:01:19.840 --> 00:01:26.080]  或者叫做新出生的嬰兒的滿月酒
[00:01:26.080 --> 00:01:28.280]  剛剛上個星期才
[00:01:28.280 --> 00:01:30.840]  星期二來了官禮
[00:01:30.840 --> 00:01:33.960]  私下結婚來官禮
[00:01:33.960 --> 00:01:36.360]  因為那天晚上要開會
[00:01:36.360 --> 00:01:38.640]  所以沒辦法去喝酒
[00:01:38.640 --> 00:01:40.320]  但是香港經常有機會去喝酒
[00:01:40.320 --> 00:01:42.320]  滿月酒又會被邀請去喝
[00:01:42.320 --> 00:01:43.720]  去喝酒其中一樣東西
[00:01:43.720 --> 00:01:45.920]  有一個難題就是
[00:01:45.920 --> 00:01:49.120]  頂尖媒體會邀請你去喝滿月酒
[00:01:49.120 --> 00:01:50.960]  或者去婚禮
[00:01:50.960 --> 00:01:54.120]  他們都知道牧師不邀請是不行的
[00:01:54.120 --> 00:01:55.440]  不給面子
[00:01:55.440 --> 00:01:56.360]  所以就邀請
[00:01:56.360 --> 00:01:57.640]  你邀請去的時候
[00:01:57.640 --> 00:02:00.320]  通常都是開會祈禱 閉會祝福
[00:02:00.320 --> 00:02:01.480]  然後再吃一餐
[00:02:01.480 --> 00:02:05.120]  但是你白吃一餐不好意思
[00:02:05.120 --> 00:02:07.480]  所以你都要買些禮物
[00:02:07.480 --> 00:02:10.320]  大家知不知道香港現在的公價
[00:02:10.320 --> 00:02:14.960]  去年新婚生活義肝網站列了一個
[00:02:14.960 --> 00:02:17.240]  結婚喜酒的公價
[00:02:17.240 --> 00:02:19.360]  熟一點的都要過一千元
[00:02:19.360 --> 00:02:24.360]  滿月酒熟一點的都要過五百元
[00:02:24.360 --> 00:02:28.600]  五百至八百元差不多是美金一百元
[00:02:28.600 --> 00:02:30.560]  去一次滿月酒
[00:02:30.560 --> 00:02:31.880]  那你就去吧
[00:02:31.880 --> 00:02:34.520]  如果教會二三百人
[00:02:34.520 --> 00:02:36.720]  一個月有一個嬰兒出生
[00:02:36.720 --> 00:02:38.880]  你都還能頂得住
[00:02:38.880 --> 00:02:39.960]  但是你想一下
[00:02:39.960 --> 00:02:41.280]  教會有幾千人
[00:02:41.280 --> 00:02:43.720]  一個月有十幾個嬰兒出生
[00:02:43.720 --> 00:02:47.320]  那你每個人去都不行
[00:02:47.320 --> 00:02:50.560]  精神癱瘓 錢包都癱瘓
[00:02:50.560 --> 00:02:55.160]  你不去吃完一餐又不好意思
[00:02:55.160 --> 00:02:57.400]  結果我心生一計
