
[00:00:00.000 --> 00:00:03.640]  大英姐妹早晨 新年快樂
[00:00:03.640 --> 00:00:06.920]  今天是2019年第一個主日
[00:00:06.920 --> 00:00:09.920]  所以祝大家新年快樂
[00:00:09.920 --> 00:00:13.440]  也知道在2019年大家都有不同的計劃
[00:00:13.440 --> 00:00:16.720]  不知道你計劃了新一年的計劃沒有
[00:00:16.720 --> 00:00:18.600]  或者你還沒計劃的
[00:00:18.600 --> 00:00:22.360]  那麼我今天的題目很想大家
[00:00:22.360 --> 00:00:24.600]  今天講的講題很想大家去想一下
[00:00:24.600 --> 00:00:27.360]  你怎樣去定你的計劃呢
[00:00:27.360 --> 00:00:29.680]  有些人定計劃
[00:00:29.680 --> 00:00:32.480]  就是你有什麼2018年做得不好
[00:00:32.480 --> 00:00:34.440]  你想改變 你想成長
[00:00:34.440 --> 00:00:37.040]  那麼你就在2019年再定好一點
[00:00:37.040 --> 00:00:40.200]  或者是你2018年有些事情還沒做到
[00:00:40.200 --> 00:00:42.120]  那麼你2019年就繼續做
[00:00:42.120 --> 00:00:46.040]  那麼你就會用一些你決心想改變的事情
[00:00:46.040 --> 00:00:49.080]  想做到的事情去完成計劃
[00:00:49.080 --> 00:00:51.880]  那麼我一直在祈禱的時候
[00:00:51.880 --> 00:00:54.440]  我一直在想 我一直在計劃的時候
[00:00:54.440 --> 00:00:57.120]  我在想 究竟我計劃這麼多事情
[00:00:57.120 --> 00:00:58.720]  我們有很多願望清單
[00:00:58.720 --> 00:01:00.440]  我計劃這麼多事情的時候
[00:01:00.440 --> 00:01:04.000]  究竟我的方向是不是正確的呢
[00:01:04.000 --> 00:01:07.160]  那麼我當在預備這篇講章的時候
[00:01:07.160 --> 00:01:08.520]  我很掙扎 因為
[00:01:08.520 --> 00:01:12.040]  為什麼新一年要講耶利米斯這個審判的信息
[00:01:12.040 --> 00:01:16.880]  那麼其實後幾章有一些很安慰的信息
[00:01:16.880 --> 00:01:18.800]  那麼最後我也期待了很久
[00:01:18.800 --> 00:01:20.480]  但是覺得算了 沒選到
[00:01:20.480 --> 00:01:24.720]  那麼我最後還是聽上帝的話去選了這個審判的信息
[00:01:24.720 --> 00:01:27.080]  但是我一直在預備講章的時候
