
[00:00:00.000 --> 00:00:12.000]  新的一年開始,我們要改變,從哪裡開始改變呢?
[00:00:12.000 --> 00:00:17.000]  從我們的口開始改變,好嗎?
[00:00:17.000 --> 00:00:28.000]  我已經每一次禮拜天我都要講一遍,我希望今年我可以少講一點。
[00:00:28.000 --> 00:00:33.000]  當我們新的一年來臨的時候,
[00:00:33.000 --> 00:00:38.000]  君子們,你要成為一個新造的人。
[00:00:38.000 --> 00:00:48.000]  跟你旁邊說,你要成為一個新的人。
[00:00:48.000 --> 00:00:53.000]  我們今天在這段聖經裡面,我們要來思想一個問題。
[00:00:53.000 --> 00:00:56.000]  耶穌講了一個比喻,其實這段聖經裡面,
[00:00:56.000 --> 00:01:03.000]  在馬可福音有,在馬太福音第九章十四到十七節也講,
[00:01:03.000 --> 00:01:07.000]  路加福音第五章三十六到三十九節也講。
[00:01:07.000 --> 00:01:14.000]  四福音裡面三卷的福音書都講了這件事情。
[00:01:14.000 --> 00:01:22.000]  那耶穌講這件事情的時候,他講到,我們看一下馬可福音第二章二十一到二十二號。
[00:01:22.000 --> 00:01:25.000]  請注意,在這段聖經裡面,耶穌講到兩個,對不對?
[00:01:25.000 --> 00:01:28.000]  其實這個比喻裡面有兩個東西。
[00:01:28.000 --> 00:01:29.000]  第一個是什麼?
[00:01:29.000 --> 00:01:38.000]  新布縫在舊衣服上面,可不可以?
[00:01:38.000 --> 00:01:40.000]  耶穌說可不可以?
[00:01:40.000 --> 00:01:41.000]  不可以。
[00:01:41.000 --> 00:01:43.000]  為什麼不可以?
[00:01:43.000 --> 00:01:47.000]  因為恐怕衣服上的新布帶壞了舊衣服。
[00:01:47.000 --> 00:01:55.000]  那麼新酒要放在新皮帶裡面,是不是?
[00:01:55.000 --> 00:02:03.000]  所以這段聖經裡面講到一個是新布跟新酒的這兩件事情。
[00:02:03.000 --> 00:02:13.000]  那這裡提到皮帶,什麼是舊皮帶?
[00:02:13.000 --> 00:02:21.000]  耶穌在這裡講到新舊的皮帶,講到舊皮帶,也講到舊的布,舊的衣服。
[00:02:21.000 --> 00:02:28.000]  什麼是舊的衣服,什麼是舊的皮帶?
[00:02:28.000 --> 00:02:42.000]  你要了解當時候耶穌在當時候,他所面對的是這些猶太教背景的。
[00:02:42.000 --> 00:02:46.000]  當時候耶穌指責最厲害的是法利塞人,對不對?
[00:02:46.000 --> 00:02:51.000]  法利塞人就代表著猶太教他們的這種的觀念。
[00:02:51.000 --> 00:02:53.000]  所以什麼是舊的皮帶呢?
[00:02:53.000 --> 00:02:55.000]  什麼是舊的衣服呢?
[00:02:55.000 --> 00:03:01.000]  舊的皮帶沒有彈性,沒有韌性。
[00:03:01.000 --> 00:03:10.000]  舊的皮帶代表著當時候猶太教舊宗教裡面的禮儀制度。
[00:03:10.000 --> 00:03:17.000]  所以,耶穌說新舊要裝在新皮帶裡面。
[00:03:17.000 --> 00:03:22.000]  舊的皮帶他不願意改變,也沒辦法改變。
[00:03:22.000 --> 00:03:26.000]  舊的皮帶他停止更新了。
[00:03:26.000 --> 00:03:29.000]  可能剛開始教會開始的時候是新的教會,
[00:03:29.000 --> 00:03:36.000]  隔了幾年之後,十年二十年之後,教會就變成老教會。
[00:03:36.000 --> 00:03:39.000]  可能你剛開始信主的時候很新鮮,什麼都是新鮮,
[00:03:39.000 --> 00:03:42.000]  唱詩歌也流淚,聽到也感動,是不是?
[00:03:42.000 --> 00:03:46.000]  慢慢久了之後就開始怎麼樣?
[00:03:46.000 --> 00:03:51.000]  唱詩歌看見別人在那邊流淚很奇怪,他為什麼流淚?
[00:03:51.000 --> 00:03:56.000]  聽到的時候看見別人感動的到前面,這個傻瓜!
[00:03:56.000 --> 00:03:59.000]  我才不會到前面去呢?
[00:03:59.000 --> 00:04:04.000]  如果你有這個現象,你的皮帶就舊了。
