
[00:00:00.000 --> 00:00:10.000]  在世界上的人來看,這個血是一個很血腥的事件,是一個毛骨悚然的事情。
[00:00:10.000 --> 00:00:14.000]  所以有很多的醫生沒有辦法做醫生,為什麼?他不能見血。
[00:00:14.000 --> 00:00:20.000]  很多的護士不能夠幹護士,因為他不能見血。
[00:00:20.000 --> 00:00:28.000]  血是代表革命,血是代表汙穢,血是代表血腥。
[00:00:28.000 --> 00:00:37.000]  但是感謝主,耶穌基督把這個最不美的東西變成最美的東西。
[00:00:37.000 --> 00:00:49.000]  耶穌基督的血讓這個仇恨就變成和平,就變成饒恕,
[00:00:49.000 --> 00:01:00.000]  就把這個血腥毛骨悚然變成了什麼呢?變成了熟然起敬。
[00:01:00.000 --> 00:01:05.000]  血在人看起來是一個咒詛,是革命,
[00:01:05.000 --> 00:01:18.000]  但是在神看起來是重建,是救恩,是恩典,不是咒詛。
[00:01:18.000 --> 00:01:28.000]  整本聖經穆安德烈講了一句話,他說血就是一切真理的總和。
[00:01:28.000 --> 00:01:35.000]  所有聖經裡面的真理都跟血有關係。
[00:01:35.000 --> 00:01:44.000]  血,這個整個的聖經,它是貫穿從創世紀一直貫穿到啟示錄的。
[00:01:44.000 --> 00:01:50.000]  在第三章二十一節創世紀亞當夏娃犯罪了以後,
[00:01:50.000 --> 00:01:56.000]  神就用皮紙做衣服讓她遮羞遮罪。
[00:01:56.000 --> 00:02:02.000]  那個皮紙在真言書二十八章二十六節裡面告訴我們說,
[00:02:02.000 --> 00:02:07.000]  神用羔羊的皮為人做衣。
[00:02:07.000 --> 00:02:16.000]  也就是說人類,神所創造的當中,第一個犧牲的,第一個流血的,就是那個羔羊。
[00:02:16.000 --> 00:02:22.000]  為所滿足人的需要,為所潔淨人的需要。
[00:02:22.000 --> 00:02:29.000]  到了第四章第四節,亞伯所獻上的,因為帶著血的羔羊,
[00:02:29.000 --> 00:02:35.000]  所以蒙神悅納,該引所獻的這個屠產,代表自己的行為。
[00:02:35.000 --> 00:02:40.000]  神說我不悅納。
[00:02:40.000 --> 00:02:49.000]  當然神先悅納亞伯這個人,人對了,然後祭物也對了,祭物有血。
[00:02:49.000 --> 00:02:56.000]  到了六章第十四節,神命令這個羅亞,
[00:02:56.000 --> 00:03:05.000]  用鍋飛木造一個方舟,一間一間的,說抹上松香。
[00:03:05.000 --> 00:03:08.000]  這個抹上在原來的文字就是贖罪。
[00:03:08.000 --> 00:03:11.000]  用什麼贖罪呢?用松香。
[00:03:11.000 --> 00:03:16.000]  松香的字尾跟血的字尾是同一個字的。
[00:03:16.000 --> 00:03:20.000]  也就是說,這個方舟怎麼樣的能夠得救?
[00:03:20.000 --> 00:03:31.000]  是因為靠著血所塗抹,而且是裡外都有血。
[00:03:31.000 --> 00:03:40.000]  到了初埃及記第十二章第七節,摩西命令一家,每一家都必須要殺一隻羊,
