
[00:00:00.000 --> 00:00:06.440]  今年是我自己慶祝回歸40周年的日子
[00:00:06.440 --> 00:00:08.960]  即是我從加拿大回來香港
[00:00:08.960 --> 00:00:12.000]  不覺已經是40年了
[00:00:12.000 --> 00:00:13.600]  40年也很快就過去了
[00:00:13.600 --> 00:00:16.240]  好像昨天發生的事一樣
[00:00:16.240 --> 00:00:18.920]  所以這段時間想起很多舊事
[00:00:18.920 --> 00:00:25.480]  年輕的時候那種英風凜凜等等的時候
[00:00:25.480 --> 00:00:26.960]  時間就過得很快
[00:00:26.960 --> 00:00:29.040]  40年就很快就過去了
[00:00:29.040 --> 00:00:31.560]  我在預備的時候不知為何
[00:00:31.560 --> 00:00:33.000]  沒甚麼特別祈禱性
[00:00:33.000 --> 00:00:34.840]  沒甚麼特別充滿我想起這個人
[00:00:34.840 --> 00:00:36.440]  不過一想起40年
[00:00:36.440 --> 00:00:38.120]  我們很容易想起一個人
[00:00:38.120 --> 00:00:42.960]  40年來家國三千里地山河是誰?
[00:00:42.960 --> 00:00:45.160]  咦?沒有人認識
[00:00:45.160 --> 00:00:46.640]  糟糕了
[00:00:46.640 --> 00:00:50.120]  是藍堂後主李旭
[00:00:50.120 --> 00:00:53.320]  是李旭的破陣子這首詞
[00:00:53.320 --> 00:00:54.720]  大家記得
[00:00:54.720 --> 00:00:58.520]  李後主是一個很出名的詞人
[00:00:58.520 --> 00:01:00.680]  他不是詩人的詞
[00:01:00.680 --> 00:01:02.680]  很有才華
[00:01:02.680 --> 00:01:04.480]  寫的詞是很吸引人
[00:01:04.480 --> 00:01:06.000]  傳頌千古
[00:01:06.000 --> 00:01:06.960]  我也是姓李的
[00:01:06.960 --> 00:01:07.880]  所以我捧他唱
[00:01:07.880 --> 00:01:10.440]  我也覺得姓李的人寫詩又厲害
[00:01:10.440 --> 00:01:13.200]  李伯寫詞也OK的
[00:01:13.200 --> 00:01:14.440]  除了這樣之外
[00:01:14.440 --> 00:01:17.720]  的確是很景仰他的文采
[00:01:17.720 --> 00:01:20.240]  不過作為詞人他就好了
[00:01:20.240 --> 00:01:21.440]  很有文采
[00:01:21.440 --> 00:01:23.160]  但是作為一個政治家
[00:01:23.160 --> 00:01:27.520]  作為一個國家元首就不堪回首了
[00:01:27.520 --> 00:01:29.520]  結果國家被人滅亡
[00:01:29.520 --> 00:01:32.640]  所以被宋朝擄掠了
[00:01:32.640 --> 00:01:34.840]  和他太太在小舟後
[00:01:34.840 --> 00:01:39.840]  擄掠了去南宋做一個奴隸的生活
[00:01:39.840 --> 00:01:44.200]  雖然就給他一個封侯的名字
[00:01:44.200 --> 00:01:45.400]  叫順命侯
[00:01:45.400 --> 00:01:46.960]  就是聽話的意思
