
[00:00:00.000 --> 00:00:02.000]  鼎智梅早安
[00:00:02.000 --> 00:00:04.000]  Hallelujah
[00:00:04.000 --> 00:00:06.360]  特別是今天是一個復活節的主日
[00:00:06.360 --> 00:00:09.160]  都讓我一齊去感恩 去禱告
[00:00:09.160 --> 00:00:13.680]  愛我們的主人 多謝你
[00:00:13.680 --> 00:00:15.680]  是因為你
[00:00:15.680 --> 00:00:18.640]  藉著死去敗壞 死亡
[00:00:18.640 --> 00:00:20.400]  因為你的復活德性
[00:00:20.400 --> 00:00:23.040]  我們能夠依靠你的誇聖 我們獻上感謝
[00:00:23.040 --> 00:00:25.040]  因為你的復活德性
[00:00:25.040 --> 00:00:27.040]  我們不再活在罪中
[00:00:27.040 --> 00:00:28.480]  因為你的復活德性
[00:00:28.480 --> 00:00:30.480]  我們生命滿有盼望
[00:00:30.480 --> 00:00:32.000]  因為你的復活德性
[00:00:32.000 --> 00:00:34.000]  依照我們所傳的不是謊言
[00:00:34.000 --> 00:00:35.440]  我們所信的也不是圖言
[00:00:35.440 --> 00:00:37.040]  我們也不是妄作見證
[00:00:37.040 --> 00:00:39.040]  我們獻上感謝
[00:00:39.040 --> 00:00:41.040]  我們知道你就是那位永活的真神
[00:00:41.040 --> 00:00:43.040]  我們在你面前一齊去敬拜
[00:00:43.040 --> 00:00:45.040]  我們將整個敬拜獻給你
[00:00:45.040 --> 00:00:47.440]  多謝你聽我們祈禱奉主耶穌的名求
[00:00:47.440 --> 00:00:49.440]  阿們
[00:00:49.440 --> 00:00:53.440]  之前我們已經有40天的時間
[00:00:53.440 --> 00:00:55.440]  有預付期去看一些經文
[00:00:55.440 --> 00:00:58.000]  剛剛星期五的時候
[00:00:58.000 --> 00:01:00.960]  我們也有受苦節的聚會
[00:01:00.960 --> 00:01:02.160]  來到今天的時候
[00:01:02.160 --> 00:01:04.160]  去到一個復活節的主日
[00:01:04.160 --> 00:01:06.800]  我們也會看路加坊第24章
[00:01:06.800 --> 00:01:09.600]  13到53節
[00:01:09.600 --> 00:01:12.960]  在裡面可以分為兩個段落
[00:01:12.960 --> 00:01:14.720]  或者一個段落也可以
