
[00:00:00.000 --> 00:00:02.000]  跟大家分享一篇詩篇
[00:00:02.000 --> 00:00:04.520]  第127篇
[00:00:04.520 --> 00:00:07.920]  是一個很特別的經文
[00:00:07.920 --> 00:00:12.800]  剛才永安讀了《所羅門上行之詩》
[00:00:12.800 --> 00:00:14.240]  不過在聖經研究中
[00:00:14.240 --> 00:00:16.880]  有些人認為可能不是所羅門所寫
[00:00:16.880 --> 00:00:21.000]  是寫關於所羅門的一首《上行之詩》
[00:00:21.000 --> 00:00:22.840]  有可能是大衛所寫
[00:00:22.840 --> 00:00:27.680]  是為他的兒子所羅門去寫出這篇經文
[00:00:27.680 --> 00:00:32.000]  無論如何,當我們讀到關於大衛或所羅門
[00:00:32.000 --> 00:00:34.040]  我們知道他的家族歷史
[00:00:34.040 --> 00:00:35.480]  大家有讀《舊約聖經》
[00:00:35.480 --> 00:00:37.760]  是一個比較複雜的家庭
[00:00:37.760 --> 00:00:40.400]  所羅門亦是一個很特別的兒子
[00:00:40.400 --> 00:00:44.680]  因為他的出生很特別
[00:00:44.680 --> 00:00:47.400]  非常特別,稍後也會提及
[00:00:47.400 --> 00:00:51.400]  這五節經文很簡短
[00:00:51.400 --> 00:00:56.680]  但他很特別地提及神是一個建造者
[00:00:56.680 --> 00:01:00.280]  在人生中,我們不斷嘗試建立很多東西
[00:01:00.280 --> 00:01:03.840]  在我們的學業中,建立我們的學業
[00:01:03.840 --> 00:01:06.760]  一直升讀一些好的書
[00:01:06.760 --> 00:01:08.720]  每次見到丁丁,我都很佩服他
[00:01:08.720 --> 00:01:10.720]  如果我小時候有他一半的努力
[00:01:10.720 --> 00:01:12.400]  我的成績應該是很好的
[00:01:12.400 --> 00:01:15.640]  不過我小時候連很少的努力都沒有
[00:01:15.640 --> 00:01:17.480]  所以我無法建造我的學業
[00:01:17.480 --> 00:01:18.800]  在人生的工作上
[00:01:18.800 --> 00:01:20.920]  我們都很努力去建造自己的工作
[00:01:20.920 --> 00:01:25.200]  不斷去拼搏
[00:01:25.200 --> 00:01:27.920]  在家庭中,我們都很努力去建立
[00:01:27.920 --> 00:01:30.360]  但有時都覺得為何這麼努力
