
[00:00:00.000 --> 00:00:05.500]  願我們都一齊有一個禱告開始
[00:00:05.500 --> 00:00:10.140]  差的天父 求你去潔淨我們的心思意念
[00:00:10.140 --> 00:00:13.680]  又求聖靈去引導我們進入真理
[00:00:13.680 --> 00:00:16.880]  去教導 指正 鼓勵我們
[00:00:16.880 --> 00:00:21.440]  我們這樣祈禱 奉主耶穌基督的名字祈求 阿們
[00:00:21.440 --> 00:00:25.500]  很多年前有一首由一對基督徒兄弟
[00:00:25.500 --> 00:00:29.500]  張崇基 張崇德主唱的流行詩歌
[00:00:29.500 --> 00:00:31.880]  叫做《上帝聽禱告》
[00:00:31.880 --> 00:00:33.760]  大家有沒有聽過
[00:00:33.760 --> 00:00:36.140]  可能你都會哼幾句
[00:00:36.140 --> 00:00:41.400]  但是你是不是真的相信上帝會聽祈禱呢
[00:00:41.400 --> 00:00:47.560]  祈禱是基督徒一個可以說又容易又難的功課
[00:00:47.560 --> 00:00:51.860]  或者在你未信主的時候 你已經開始祈禱了
[00:00:51.860 --> 00:00:53.440]  不過信主之後
[00:00:53.440 --> 00:00:58.120]  或者你都曾經有過這樣的掙扎或者懷疑
[00:00:58.120 --> 00:01:01.400]  神是不是真的會聽人祈禱呢
[00:01:01.400 --> 00:01:05.080]  為什麼我的祈禱 祂好像沒有聽
[00:01:05.080 --> 00:01:07.720]  我為家人信主祈禱了很多年
[00:01:07.720 --> 00:01:10.000]  但他們仍然未信
[00:01:10.000 --> 00:01:13.220]  我祈禱 神給我一份好功
[00:01:13.220 --> 00:01:15.420]  我周圍的人個個都找到了
[00:01:15.420 --> 00:01:17.640]  但我還是沒有
[00:01:17.640 --> 00:01:21.000]  聖經說 凡祈求的就得著
[00:01:21.000 --> 00:01:22.800]  尋找就找到
[00:01:22.800 --> 00:01:25.460]  這個都是我們今天所說的經文
[00:01:25.460 --> 00:01:29.240]  但是我祈禱了這麼久 為什麼還未成功
[00:01:29.240 --> 00:01:31.540]  我現在已經不想祈禱了
[00:01:31.540 --> 00:01:35.500]  我覺得神可能都沒有聽我祈禱
[00:01:35.500 --> 00:01:37.020]  其實這些掙扎
[00:01:37.020 --> 00:01:39.080]  在我們的信仰路途上
[00:01:39.080 --> 00:01:41.860]  或多或少都會出現過
[00:01:41.860 --> 00:01:47.300]  究竟聖經裏面給我們什麼教導和鼓勵呢
[00:01:47.300 --> 00:01:48.600]  在福音書裏面
[00:01:48.600 --> 00:01:50.600]  其實有很多段經文
[00:01:50.600 --> 00:01:54.460]  都是耶穌教導門徒怎樣去祈禱
[00:01:54.460 --> 00:01:59.120]  上星期蔡傳道跟我們分享了主禱文的教導
[00:01:59.120 --> 00:02:03.680]  今天我們會看路加福音的十一章五至十三節
[00:02:03.680 --> 00:02:07.760]  是另一段耶穌教門徒祈禱的經文
