
[00:00:00.000 --> 00:00:04.000]  今個季度大家知道我們會一起思想一段新的經文
[00:00:04.000 --> 00:00:06.000]  就是聖經舊約的《但以理書》
[00:00:06.000 --> 00:00:09.000]  我們一起來先祈禱
[00:00:09.000 --> 00:00:11.000]  再一起來仰望神
[00:00:11.000 --> 00:00:16.000]  主啊祢的確
[00:00:16.000 --> 00:00:18.000]  祢有永生之道
[00:00:18.000 --> 00:00:19.000]  我們不跟隨祢
[00:00:19.000 --> 00:00:21.000]  跟隨誰呢?
[00:00:21.000 --> 00:00:24.000]  主啊祢以後恩待我們
[00:00:24.000 --> 00:00:26.000]  有些時候甚至我們都不察覺
[00:00:26.000 --> 00:00:28.000]  主啊祢仍然是這樣
[00:00:28.000 --> 00:00:33.000]  以祢的慈愛恩惠四面環繞著我們
[00:00:33.000 --> 00:00:37.000]  主當我們靜心去回想的時候
[00:00:37.000 --> 00:00:40.000]  就知道祢曾經應許的
[00:00:40.000 --> 00:00:42.000]  是信實的
[00:00:42.000 --> 00:00:43.000]  祢所應許
[00:00:43.000 --> 00:00:45.000]  祢的慈愛不會改變
[00:00:45.000 --> 00:00:47.000]  縱使我們有些時候
[00:00:47.000 --> 00:00:49.000]  有得罪祢
[00:00:49.000 --> 00:00:50.000]  有忘記祢
[00:00:50.000 --> 00:00:53.000]  但是主祢永不忘記我們
[00:00:53.000 --> 00:00:55.000]  主啊祢今天到祢的面前來
[00:00:55.000 --> 00:00:58.000]  我們向祢獻上我們的感謝
[00:00:58.000 --> 00:01:01.000]  也都在祢的面前仰望恩主
[00:01:01.000 --> 00:01:04.000]  祢上上賜下祢的恩賢
[00:01:04.000 --> 00:01:07.000]  因為主啊我們需要祢天上的糧食
[00:01:07.000 --> 00:01:10.000]  讓我們心靈可以真的飽足
[00:01:10.000 --> 00:01:12.000]  求祢賜下祢的天糧
[00:01:12.000 --> 00:01:14.000]  讓我們在祢的裡面
[00:01:14.000 --> 00:01:17.000]  我們可以上上堅固
[00:01:17.000 --> 00:01:20.000]  天父今天求祢再次賜下聖經的說話
[00:01:20.000 --> 00:01:24.000]  讓我們在祢面前再次蒙恩
[00:01:24.000 --> 00:01:26.000]  我們仰望祈禱
[00:01:26.000 --> 00:01:28.000]  奉耶穌聖名求
[00:01:28.000 --> 00:01:29.000]  阿們
[00:01:54.000 --> 00:01:58.000]  每一章聖經說一個歷史的故事
[00:01:58.000 --> 00:02:01.000]  一個算是獨立的故事
[00:02:01.000 --> 00:02:03.000]  但是當然互相連繫
[00:02:03.000 --> 00:02:07.000]  後面的六章是說四個異象
[00:02:07.000 --> 00:02:10.000]  而四個異象和前面的六個故事
[00:02:10.000 --> 00:02:12.000]  是前後呼應
[00:02:12.000 --> 00:02:14.000]  是彼此關連的
[00:02:14.000 --> 00:02:16.000]  當你在讀的時候
[00:02:16.000 --> 00:02:20.000]  你發覺聖經一直傳出一個很核心的訊息
[00:02:20.000 --> 00:02:26.000]  就是耶和華在人世間是掌權的
[00:02:26.000 --> 00:02:29.000]  祂是掌管著一切的
[00:02:29.000 --> 00:02:31.000]  不單只是天地的運作
[00:02:31.000 --> 00:02:32.000]  人類的歷史
[00:02:32.000 --> 00:02:36.000]  同樣是你個人的人生的每一天
[00:02:36.000 --> 00:02:37.000]  上帝是掌權
[00:02:37.000 --> 00:02:40.000]  祂會保守敬畏祂的人
[00:02:40.000 --> 00:02:42.000]  聖經一直這樣說
[00:02:42.000 --> 00:02:45.000]  也會在人世間施行審判
[00:02:45.000 --> 00:02:49.000]  讓人認識這位公義的上帝
[00:02:49.000 --> 00:02:51.000]  所以你讀的時候
[00:02:51.000 --> 00:02:54.000]  你會發覺這位上帝在你的眼前
[00:02:54.000 --> 00:02:59.000]  突然間更加顯得是一位又真又活的神
[00:02:59.000 --> 00:03:05.000]  祂是那位真實介入你人生的上帝
[00:03:05.000 --> 00:03:08.000]  而不斷地鼓勵你去信靠祂
[00:03:08.000 --> 00:03:10.000]  去聽從祂
[00:03:10.000 --> 00:03:13.000]  所以當我們這個季度一直讀的時候
[00:03:13.000 --> 00:03:15.000]  你更加認識神
[00:03:15.000 --> 00:03:19.000]  你更加知道你要信靠祂
[00:03:19.000 --> 00:03:21.000]  今天當我們讀到第一章的時候
[00:03:21.000 --> 00:03:24.000]  我們說到彭信只是土神的喜悅
[00:03:24.000 --> 00:03:25.000]  在開始的時候
[00:03:25.000 --> 00:03:26.000]  你會讀到
[00:03:26.000 --> 00:03:30.000]  聖經說到巴比倫王攻陷耶路撒冷
[00:03:30.000 --> 00:03:31.000]  剛才我們說到
[00:03:31.000 --> 00:03:33.000]  聖經說到上帝是掌權的
[00:03:33.000 --> 00:03:38.000]  甚至超越了人世間的王權和政權
[00:03:38.000 --> 00:03:41.000]  但一開始的時候你就發覺不是
[00:03:41.000 --> 00:03:43.000]  好像上帝無能為力
[00:03:43.000 --> 00:03:49.000]  連自己選民的國家都被人家擄掠
[00:03:49.000 --> 00:03:51.000]  所以你讀到聖經第一章第一節的時候
[00:03:51.000 --> 00:03:52.000]  聖經就說
[00:03:52.000 --> 00:03:57.000]  猶大王約亞敬在位的第三年
[00:03:57.000 --> 00:04:00.000]  巴比倫王尼布甲尼撒來到耶路撒冷
[00:04:00.000 --> 00:04:01.000]  怎樣做?
[00:04:01.000 --> 00:04:04.000]  將城圍困了
[00:04:04.000 --> 00:04:08.000]  和擄掠了君王和將神殿中的一部分
[00:04:08.000 --> 00:04:09.000]  不是全部
[00:04:09.000 --> 00:04:13.000]  是擄掠了他們的器物
[00:04:13.000 --> 00:04:16.000]  拿回他們的神廟
[00:04:16.000 --> 00:04:18.000]  好像一個很灰暗的圖畫
[00:04:18.000 --> 00:04:19.000]  一開始就出現
[00:04:19.000 --> 00:04:24.000]  為什麼神會這樣容許他的子民受災難呢?
[00:04:24.000 --> 00:04:26.000]  但當你小心讀的時候
[00:04:26.000 --> 00:04:27.000]  去到第二節的時候
[00:04:27.000 --> 00:04:29.000]  聖經有一個特別的字眼說
[00:04:29.000 --> 00:04:33.000]  主把猶大王約亞敬
[00:04:33.000 --> 00:04:34.000]  是主這樣做
[00:04:34.000 --> 00:04:40.000]  將一切東西交在布甲尼撒的手裡
[00:04:40.000 --> 00:04:43.000]  是誰造成這些事情呢?
[00:04:43.000 --> 00:04:45.000]  是主這樣做
[00:04:45.000 --> 00:04:48.000]  是他容許這些事情發生
[00:04:48.000 --> 00:04:52.000]  甚至可以說是主造成這些事情
[00:04:52.000 --> 00:04:59.000]  將人和物品交在敵國的君王手中
[00:04:59.000 --> 00:05:03.000]  然而這位主去掌管一切
[00:05:03.000 --> 00:05:05.000]  他去決定這些事情
[00:05:05.000 --> 00:05:08.000]  怎樣去實行
[00:05:08.000 --> 00:05:09.000]  當你讀到聖經的時候
[00:05:09.000 --> 00:05:13.000]  你會發覺聖經在舊約經文不斷預言一件事情
[00:05:13.000 --> 00:05:15.000]  就是猶太的子民
[00:05:15.000 --> 00:05:18.000]  何時當他們去遺逆上帝
[00:05:18.000 --> 00:05:19.000]  上帝呼籲他們悔改
[00:05:19.000 --> 00:05:22.000]  但他們剛硬不回轉的時候
[00:05:22.000 --> 00:05:23.000]  上帝就說
[00:05:23.000 --> 00:05:26.000]  我要將你們擄掠去愛國
[00:05:26.000 --> 00:05:28.000]  事情真的這樣發生
[00:05:28.000 --> 00:05:31.000]  但同樣上帝就說
[00:05:31.000 --> 00:05:32.000]  七十年之後
[00:05:32.000 --> 00:05:36.000]  你們會回歸你的故土
[00:05:36.000 --> 00:05:38.000]  上帝不是要懲罰
[00:05:38.000 --> 00:05:42.000]  或者不是要羞辱他的子民
[00:05:42.000 --> 00:05:44.000]  他是要幫助他們
[00:05:44.000 --> 00:05:47.000]  可以回轉歸向神
[00:05:47.000 --> 00:05:49.000]  將心轉向上帝
[00:05:49.000 --> 00:05:51.000]  所以他容許這些事情發生
[00:05:51.000 --> 00:05:53.000]  人們覺得好像
[00:05:53.000 --> 00:05:58.000]  好像英國國家敵不住其他的強國
[00:05:58.000 --> 00:06:03.000]  但其實在過程當中是上帝掌管一切
[00:06:03.000 --> 00:06:05.000]  造成這些事情
[00:06:05.000 --> 00:06:07.000]  是他所承傳
[00:06:07.000 --> 00:06:08.000]  當你讀到聖經講到
