
[00:00:00.000 --> 00:00:02.000]  不抱怨的人生
[00:00:02.000 --> 00:00:06.600]  我想這個是你任何時間講都很適合的
[00:00:06.600 --> 00:00:10.400]  我相信我們生命當中有很多的不同的時間
[00:00:10.400 --> 00:00:12.700]  我先讀了兩段的經文
[00:00:12.700 --> 00:00:13.300]  我們一起念
[00:00:13.300 --> 00:00:15.900]  第一個是傳道書七章的十節
[00:00:15.900 --> 00:00:17.900]  請不要說
[00:00:17.900 --> 00:00:22.700]  為什麼先前的日子強過現今的日子
[00:00:22.700 --> 00:00:25.800]  你這樣問不是廚餘之謂
[00:00:25.800 --> 00:00:30.400]  第二段的經文是箴言的五章十一到十二節
[00:00:30.400 --> 00:00:31.500]  請
[00:00:31.500 --> 00:00:33.700]  難以人生總結
[00:00:33.700 --> 00:00:36.900]  以肌肉和身體摔殘時
[00:00:36.900 --> 00:00:39.100]  以力愛生殘疾
[00:00:39.100 --> 00:00:41.900]  我為何何無管教
[00:00:41.900 --> 00:00:44.700]  欣欲欣歎責備呢
[00:00:44.700 --> 00:00:45.500]  好
[00:00:45.500 --> 00:00:53.500]  你知道香港最多元的心事是什麼嗎
[00:00:53.500 --> 00:00:55.900]  這個只有廣東人才明白
[00:00:55.900 --> 00:00:59.700]  我姓賴的
[00:00:59.700 --> 00:01:07.200]  最多人講的詞彙是什麼
[00:01:07.200 --> 00:01:09.500]  早知
[00:01:09.500 --> 00:01:12.300]  廣東話有一句話不知道聽不懂嗎
[00:01:12.300 --> 00:01:15.800]  有早知無乞依
[00:01:15.800 --> 00:01:17.200]  熟了一點講了
[00:01:17.200 --> 00:01:21.400]  有早知就沒有先知
[00:01:21.400 --> 00:01:25.200]  在二零零八年的時候
[00:01:25.200 --> 00:01:27.200]  知道劉京勇海嘯
[00:01:27.200 --> 00:01:29.500]  我那個時候在茶樓飲茶的時候
[00:01:29.500 --> 00:01:32.700]  最多聽到那個廣東話是
[00:01:32.700 --> 00:01:36.400]  最衰就是你了
[00:01:36.400 --> 00:01:37.900]  最差勁就是你了
[00:01:37.900 --> 00:01:39.300]  我聽某某人說
[00:01:39.300 --> 00:01:41.900]  就買了那個雷曼兄弟
[00:01:41.900 --> 00:01:43.500]  聽過
[00:01:43.500 --> 00:01:45.600]  現在血本無歸了
[00:01:45.600 --> 00:01:50.900]  我早知就找那個有情有義的安信兄弟
[00:01:50.900 --> 00:01:53.300]  最不好就是我表哥
[00:01:53.300 --> 00:01:54.900]  在我一百二十元的時候
[00:01:54.900 --> 00:01:57.300]  買匯豐的股票
[00:01:57.300 --> 00:02:00.700]  現在才六十幾塊
[00:02:00.700 --> 00:02:02.100]  我有一個親戚
[00:02:02.100 --> 00:02:04.500]  他有孩子在英國讀書
[00:02:04.500 --> 00:02:06.400]  當時的英鎊從十六塊
[00:02:06.400 --> 00:02:08.900]  一直貶值到十三塊左右
[00:02:08.900 --> 00:02:11.500]  他馬上就買了五萬英鎊了
[00:02:11.500 --> 00:02:13.500]  現在英鎊多少
[00:02:13.500 --> 00:02:16.900]  九塊多
[00:02:16.900 --> 00:02:18.100]  他的抱怨
[00:02:18.100 --> 00:02:21.200]  為什麼當時他的老公沒有阻止他
[00:02:21.200 --> 00:02:22.200]  其實他買的時候
[00:02:22.200 --> 00:02:25.800]  都沒有告訴他老公
[00:02:25.800 --> 00:02:29.700]  在街會也會聽到姊妹的抱怨
[00:02:29.700 --> 00:02:33.500]  哎呀我的賬目賺這麼少的錢
[00:02:33.500 --> 00:02:36.400]  我買什麼都要計算清楚
[00:02:36.400 --> 00:02:38.500]  這個月有沒有多餘的錢
[00:02:38.500 --> 00:02:41.000]  因為都是月光族嘛
[00:02:41.000 --> 00:02:43.000]  連自己上班賺的錢呢
[00:02:43.000 --> 00:02:45.100]  都要來補貼家用
[00:02:45.100 --> 00:02:50.100]  哎呀那個LV打減價我都不敢買
[00:02:50.100 --> 00:02:51.900]  有一個姊妹又說
[00:02:51.900 --> 00:02:54.800]  哎呀那個臨時姊妹就是很好
[00:02:54.800 --> 00:02:57.500]  她嫁給一個做醫生的弟兄
[00:02:57.500 --> 00:02:59.300]  要我不用上班
[00:02:59.300 --> 00:03:02.900]  買東西都不用看價錢牌的
[00:03:02.900 --> 00:03:04.500]  我只夢想我吃東西的時候
[00:03:04.500 --> 00:03:07.600]  不用看餐牌的價錢
[00:03:07.600 --> 00:03:08.600]  那學生也抱怨
[00:03:08.600 --> 00:03:10.600]  最不好就是我老師
[00:03:10.600 --> 00:03:12.300]  我每次考試的時候
[00:03:12.300 --> 00:03:18.300]  他都不出那些我讀過的題目
[00:03:18.300 --> 00:03:20.600]  結果我不及格
