
[00:00:00.000 --> 00:00:02.880]  好 請姐妹讓我們聽一聽道義先 讓我們同心的禱告
[00:00:02.880 --> 00:00:05.820]  好 弟兄姊妹 讓我們聽神話之前先同心禱告
[00:00:30.000 --> 00:00:37.700]  讓成就救恩的主耶穌 祂的拯救能夠確切在我們每個人身上
[00:00:37.700 --> 00:00:41.600]  能夠從今天開始 活在這個世界上
[00:00:41.600 --> 00:00:43.100]  靠您與我們同在
[00:00:43.100 --> 00:00:46.000]  我們親愛的父親 感謝祢 給我們能夠再次
[00:00:46.000 --> 00:00:48.600]  打開祢的說話來認知祢
[00:00:48.600 --> 00:00:50.000]  祢是怎麼為主
[00:00:50.000 --> 00:00:53.100]  讓我們從今天開始就能夠預備
[00:00:53.100 --> 00:00:56.800]  在永恆的當中怎麼樣跟著祢來到同和
[00:00:56.800 --> 00:00:59.200]  我們再次懇求祢的聖靈
[00:00:59.200 --> 00:01:01.200]  在我們當中引導我們
[00:01:01.200 --> 00:01:04.000]  使我們能夠明白祢是怎麼樣為主
[00:01:04.000 --> 00:01:05.400]  祢是怎麼樣為神
[00:01:05.400 --> 00:01:08.800]  也讓主耶穌基督 祂所成就的救恩
[00:01:08.800 --> 00:01:14.200]  怎麼樣實實在在落實在我們今天每個信徒生命當中
[00:01:14.200 --> 00:01:17.600]  讓我們每一天在這個地上活的時候
[00:01:17.600 --> 00:01:22.000]  能夠活出鎮定贖神生命的人的應有的表現
[00:01:22.000 --> 00:01:24.000]  我們再次懇求祢帶領我們
[00:01:24.000 --> 00:01:28.600]  親愛的父親 再次感謝祢 讓我們有這個珍貴的時間
[00:01:28.600 --> 00:01:31.400]  我們可以打開聖經 我們可以一起學習
[00:01:31.400 --> 00:01:33.600]  學習祢是怎麼樣為主
[00:01:33.600 --> 00:01:38.200]  同時也懇求祢 讓我們被祢的聖靈引導
[00:01:38.200 --> 00:01:43.000]  讓我們知道祢是怎麼樣為我們準備永恆
[00:01:43.000 --> 00:01:47.000]  以便在未來 當我們能夠跟祢一起生活
[00:01:47.000 --> 00:01:48.600]  我們就知道祢是怎麼樣為主
