
[00:00:00.000 --> 00:00:01.480]  各位弟兄姊妹平安
[00:00:01.480 --> 00:00:05.200]  上個星期我們講到第八章
[00:00:05.200 --> 00:00:10.080]  八章就用了一個仲讚的高潮為總結
[00:00:10.080 --> 00:00:13.920]  今天我們開始踏入第九章的經文
[00:00:13.920 --> 00:00:18.520]  如果大家對於《羅馬書》的大綱稍微有些熟悉的話
[00:00:18.520 --> 00:00:21.200]  九至十一章是要一起看的
[00:00:21.200 --> 00:00:23.240]  不能中間分開的
[00:00:23.240 --> 00:00:26.080]  是一個很完整的段落
[00:00:26.080 --> 00:00:29.200]  所以在不同學者要來看
[00:00:29.200 --> 00:00:31.520]  九至十一章的時候
[00:00:31.520 --> 00:00:34.200]  會有不同的詮釋方法
[00:00:34.200 --> 00:00:35.880]  怎麼來看呢?
[00:00:35.880 --> 00:00:37.160]  我們一起來看看
[00:00:37.160 --> 00:00:41.120]  九至十一章有些學者會看為
[00:00:41.120 --> 00:00:44.120]  這幾章的經文是一個附錄
[00:00:44.120 --> 00:00:45.240]  什麼意思呢?
[00:00:45.240 --> 00:00:50.960]  上個星期明明講了一個很重要的仲讚
[00:00:50.960 --> 00:00:53.160]  怎麼看到八章裡面
[00:00:53.160 --> 00:00:55.360]  上帝的救恩多麼偉大
[00:00:55.360 --> 00:00:58.320]  然後現在有九至十一章
[00:00:58.320 --> 00:01:00.760]  接著就連接到十二章
[00:01:00.760 --> 00:01:02.280]  十二章講什麼呢?
[00:01:02.280 --> 00:01:05.800]  還沒講到所以你不知道
[00:01:05.800 --> 00:01:08.880]  十二章是講第一節講什麼呢?
[00:01:08.880 --> 00:01:12.000]  所以弟兄們我以神的慈悲勸你們
[00:01:12.000 --> 00:01:14.360]  將身體獻上當作活祭
[00:01:14.360 --> 00:01:16.920]  十二章一開始繼續講下去
[00:01:16.920 --> 00:01:19.040]  就會講生活的應用
[00:01:19.040 --> 00:01:22.480]  所以對於有些學者來看
[00:01:22.480 --> 00:01:24.360]  九至十一章是一個附錄
[00:01:24.360 --> 00:01:25.360]  什麼意思呢?
[00:01:25.360 --> 00:01:27.720]  因為九至十一章主要講什麼呢?
[00:01:29.200 --> 00:01:30.400]  是不知道的
[00:01:30.400 --> 00:01:34.200]  主要是講關乎猶太人的救恩
[00:01:34.200 --> 00:01:37.360]  或者跟外邦人裡面的一些經歷
[00:01:37.360 --> 00:01:39.560]  好像跟我們沒什麼關係
[00:01:39.560 --> 00:01:41.480]  因為都是關猶太人的事
[00:01:41.480 --> 00:01:43.960]  所以這裡有些學者認為
[00:01:43.960 --> 00:01:46.560]  這幾章不過是一個附錄而已
[00:01:46.560 --> 00:01:49.000]  所以是可以抽開來看的
[00:01:49.000 --> 00:01:53.320]  經文其實可以將八章尾直接連接到十二章
[00:01:53.320 --> 00:01:56.360]  讓人覺得更加完整地看到
[00:01:56.360 --> 00:02:01.720]  但是這樣的看法會讓我們有一些誤解
[00:02:01.720 --> 00:02:04.080]  以為這幾章好像沒什麼作用
[00:02:04.080 --> 00:02:05.440]  跟我們沒什麼關係
[00:02:05.440 --> 00:02:08.480]  另外有一些學者就相反
[00:02:08.480 --> 00:02:12.240]  覺得這幾章才是承卷羅馬書的高潮
[00:02:12.240 --> 00:02:13.240]  為什麼呢?
[00:02:13.240 --> 00:02:17.480]  因為這幾章正正是講到上帝的救恩
[00:02:17.480 --> 00:02:23.680]  如何從猶太人和外邦人中間連起來
[00:02:23.680 --> 00:02:26.960]  所以有很濃厚的宣教氣味
[00:02:26.960 --> 00:02:28.520]  不知道大家有沒有聽過
[00:02:28.520 --> 00:02:31.600]  我們要將福音傳回以色列
[00:02:31.600 --> 00:02:34.080]  傳回猶太人那裡
[00:02:34.080 --> 00:02:36.560]  這幾章的經文是很重要的經文
[00:02:36.560 --> 00:02:38.760]  是他們這樣來看的時候
[00:02:38.760 --> 00:02:41.280]  就引發出有這樣的看法
[00:02:41.280 --> 00:02:44.040]  另外有一些傳息方法是講什麼呢?
[00:02:44.040 --> 00:02:46.640]  就是講這幾章的作用
[00:02:46.640 --> 00:02:49.360]  其實是用來重新講一次而已
[00:02:49.360 --> 00:02:50.400]  重拾什麼呢?
[00:02:50.400 --> 00:02:54.120]  就是以色列人的不忠和上帝的信實
[00:02:54.120 --> 00:02:56.560]  講一講你就明白了
[00:02:56.560 --> 00:02:58.600]  羅馬書一至八章講什麼呢?
[00:02:58.600 --> 00:03:01.880]  講了很多東西
[00:03:01.880 --> 00:03:04.040]  但又不太記得講什麼了
[00:03:04.040 --> 00:03:07.200]  所以九至十一章就再講一次給你聽
[00:03:07.200 --> 00:03:11.120]  再講一次給你聽以色列不忠和上帝的信實
[00:03:11.120 --> 00:03:13.320]  它的作用就是用來再講一次而已
[00:03:13.320 --> 00:03:16.520]  另外第四就是講解釋
[00:03:16.520 --> 00:03:18.240]  這幾章是用來解釋一些事情的
[00:03:18.240 --> 00:03:19.040]  解釋什麼呢?
[00:03:19.040 --> 00:03:20.800]  就是三章一至九節
[00:03:20.800 --> 00:03:23.160]  其實講出來又衍生了一個問題
[00:03:23.160 --> 00:03:25.360]  就是講到以色列的失敗
[00:03:25.360 --> 00:03:28.000]  以及深存剛硬拒絕基督
[00:03:28.000 --> 00:03:30.320]  那麼這群猶太人怎麼辦呢?
[00:03:30.320 --> 00:03:30.920]  是不是?
[00:03:30.920 --> 00:03:33.920]  所以九至十一章是用來解釋
[00:03:33.920 --> 00:03:36.480]  第三章到底是怎麼樣的
[00:03:36.480 --> 00:03:39.680]  其實以上有幾個不同的傳息方法
[00:03:39.680 --> 00:03:41.120]  都是以往的學者
[00:03:41.120 --> 00:03:43.480]  去了解羅馬書的時候
[00:03:43.480 --> 00:03:44.760]  一種的看法
[00:03:44.760 --> 00:03:48.080]  各個都有不同的好處和價值
[00:03:48.080 --> 00:03:49.760]  但是他們都有一個共通點
[00:03:49.760 --> 00:03:51.200]  就是他們的進路
[00:03:51.200 --> 00:03:54.160]  似乎都是會從一種神學層面
[00:03:54.160 --> 00:03:58.000]  來詮釋猶太人的救恩議題
[00:03:58.000 --> 00:04:00.040]  不過新近一些的學者
[00:04:00.040 --> 00:04:02.000]  加入了另一個新的角度
[00:04:02.000 --> 00:04:03.600]  來看羅馬書
[00:04:03.600 --> 00:04:07.280]  讓羅馬書去看這件事情的時候
[00:04:07.280 --> 00:04:08.720]  有不同的看法
[00:04:08.720 --> 00:04:13.240]  用了一種社會學層面的傳息進路
[00:04:13.240 --> 00:04:15.640]  來了解這幾章的經文
[00:04:15.640 --> 00:04:17.120]  講什麼呢?
[00:04:17.120 --> 00:04:19.240]  就是講到羅馬書九至十一章
[00:04:19.240 --> 00:04:23.200]  其實是在處理外邦信主的族群
[00:04:23.200 --> 00:04:26.040]  在當中和一群猶太信主的族群
[00:04:26.040 --> 00:04:29.160]  或者當中有一些猶太人是未信主的族群
[00:04:29.160 --> 00:04:31.240]  當中的互動關係
[00:04:31.240 --> 00:04:34.320]  或者當中他們在中間引起的一些張力
[00:04:34.320 --> 00:04:35.920]  如果這一種的進路
[00:04:35.920 --> 00:04:38.360]  是一種可能過往比較忽視
[00:04:38.360 --> 00:04:40.720]  或者在當中我們能夠去看的時候
[00:04:40.720 --> 00:04:44.520]  可能也成為我們一種了解今日經文的幫助
[00:04:44.520 --> 00:04:45.680]  回到剛才的問題
[00:04:45.680 --> 00:04:47.840]  到底九至十一章的段落
[00:04:47.840 --> 00:04:49.240]  它寫成的目的
[00:04:49.240 --> 00:04:50.560]  到底是做什麼的呢?
[00:04:50.560 --> 00:04:53.520]  我們來看看之前那幾章到底講什麼
[00:04:53.520 --> 00:04:54.760]  你就會稍微明白
[00:04:54.760 --> 00:04:56.720]  一至三章是講什麼呢?
[00:04:56.720 --> 00:05:00.680]  就是猶太人和外邦人都毫無區別地做什麼呢?
[00:05:00.680 --> 00:05:02.680]  敗壞得罪上帝
[00:05:02.680 --> 00:05:03.160]  是不是?
[00:05:03.160 --> 00:05:05.080]  世人都犯了罪
[00:05:05.080 --> 00:05:05.880]  是不是?
[00:05:05.880 --> 00:05:10.560]  沒有猶太人和外邦人都同樣犯罪
[00:05:10.560 --> 00:05:11.120]  是不是?
[00:05:11.120 --> 00:05:14.000]  然後羅馬書三章四節就講什麼呢?
[00:05:14.280 --> 00:05:17.800]  就是他們都一樣是可以靠基督而稱義
[00:05:17.800 --> 00:05:20.240]  不管你是猶太人或者外邦人
[00:05:20.240 --> 00:05:22.760]  第五章到八章講什麼呢?
[00:05:22.760 --> 00:05:25.240]  就是不管你是猶太人或者外邦人
[00:05:25.240 --> 00:05:28.640]  都能夠得到恩典
[00:05:28.640 --> 00:05:30.800]  靠著聖靈在裡面得生命
[00:05:30.800 --> 00:05:31.120]  是不是?
[00:05:31.120 --> 00:05:32.440]  這些都是毫無區別的
[00:05:32.440 --> 00:05:34.040]  所以講到九至十一章
[00:05:34.040 --> 00:05:37.520]  你也很自然會覺得前面應該有哪幾個字呢?
[00:05:37.520 --> 00:05:40.080]  就是藍色那一堆
[00:05:40.080 --> 00:05:43.240]  所以九至十一章就是告訴你
[00:05:43.240 --> 00:05:45.920]  其實猶太人和外邦人是有分別的
[00:05:45.920 --> 00:05:46.400]  是不是?
[00:05:46.400 --> 00:05:47.560]  不然他講來幹什麼呢?
[00:05:47.560 --> 00:05:49.480]  九至十一章就是想告訴你
[00:05:49.480 --> 00:05:53.120]  猶太人和外邦人本質上真的有些不同
[00:05:53.120 --> 00:05:55.760]  所以就不可以沒有了這幾章
[00:05:55.760 --> 00:05:58.400]  直接將第八章連到十二章的時候
[00:05:58.400 --> 00:06:02.000]  你就無法解決他們心裡面的一個問題
[00:06:02.000 --> 00:06:05.080]  到底猶太人在這個救恩計劃裡面
[00:06:05.080 --> 00:06:07.760]  其實他有一個什麼樣的地位呢?
[00:06:07.760 --> 00:06:11.360]  到底他有一種什麼樣的意義在當中呢?
[00:06:11.360 --> 00:06:13.400]  這些是猶太人正在問的
[00:06:13.400 --> 00:06:17.200]  剛才用一個社會學的進度去看
[00:06:17.200 --> 00:06:19.240]  到底他們發現了什麼呢?
[00:06:19.240 --> 00:06:20.120]  就是說
[00:06:20.120 --> 00:06:22.160]  在同一間教會裡面
[00:06:22.160 --> 00:06:24.400]  其實是有不同的看法的
[00:06:24.400 --> 00:06:25.960]  你留意一下
[00:06:25.960 --> 00:06:29.720]  羅馬教會裡面有外邦人和猶太人
[00:06:29.720 --> 00:06:31.720]  哪樣的人比較多呢?
[00:06:31.720 --> 00:06:37.480]  羅馬教會是外邦人教會
[00:06:37.480 --> 00:06:40.200]  外邦人是比猶太人多的
[00:06:40.200 --> 00:06:42.240]  所以對於外邦人來說
[00:06:42.240 --> 00:06:45.720]  他們或者有機會會輕看了這群猶太人
[00:06:45.720 --> 00:06:46.360]  為什麼呢?
[00:06:46.360 --> 00:06:50.840]  可能上帝的救恩從一開始就從舊約一直下來
[00:06:50.840 --> 00:06:53.200]  不過來到新約教會當中
[00:06:53.200 --> 00:06:54.080]  大家又怎麼樣呢?
[00:06:54.080 --> 00:06:56.440]  那就沒什麼分別了
[00:06:56.440 --> 00:06:58.720]  所以就看輕了他們
[00:06:58.720 --> 00:06:59.240]  是不是?
[00:06:59.240 --> 00:07:00.960]  而且事實上他們還要是什麼呢?
[00:07:00.960 --> 00:07:02.840]  小人嘛
[00:07:02.840 --> 00:07:07.440]  小群當然是更加覺得你沒什麼地位了
[00:07:07.440 --> 00:07:10.280]  但是對於這群猶太人心裡面他們會怎麼想呢?
[00:07:10.280 --> 00:07:13.400]  我們才是名門正宗的
[00:07:13.400 --> 00:07:17.880]  我們的救恩應該是由我們而出的
[00:07:17.880 --> 00:07:20.000]  怎麼會來到羅馬教會之後
[00:07:20.000 --> 00:07:21.960]  我們變成了小群呢?
[00:07:21.960 --> 00:07:26.360]  我們才是掌握著救恩在裡面的
[00:07:26.360 --> 00:07:29.720]  所以在羅馬教會裡面
[00:07:29.720 --> 00:07:31.640]  有不同的張力
[00:07:31.640 --> 00:07:33.080]  因為你有留意
[00:07:33.080 --> 00:07:37.080]  猶太人其實是一個很守規矩的民族
[00:07:37.080 --> 00:07:38.920]  他們有很多樣的條件
[00:07:38.920 --> 00:07:40.360]  有很多條文要守
[00:07:40.360 --> 00:07:41.480]  但是你想想
[00:07:41.480 --> 00:07:43.000]  既然他們是小群的時候
[00:07:43.000 --> 00:07:45.080]  來到羅馬教會裡面
[00:07:45.080 --> 00:07:47.360]  他會不會要求外邦人會這麼做呢?
[00:07:47.360 --> 00:07:51.320]  你是小群你還要求別人做什麼呢?
[00:07:51.320 --> 00:07:55.320]  所以當中也有引起不同的事實
[00:07:55.320 --> 00:07:59.160]  在當中一些層面上的張力和困難
[00:07:59.160 --> 00:08:02.200]  但是今天去講的時候
[00:08:02.200 --> 00:08:03.360]  保羅告訴我們
[00:08:03.360 --> 00:08:05.080]  這幾章其實有什麼目的呢?
[00:08:05.080 --> 00:08:05.920]  第一
[00:08:05.920 --> 00:08:10.840]  讓外邦的信徒能夠認識神是信實和憐憫
[00:08:10.840 --> 00:08:13.680]  今天在同一間羅馬教會底下
[00:08:13.680 --> 00:08:15.240]  有不同的族群
[00:08:15.240 --> 00:08:16.520]  其實是在講
[00:08:16.520 --> 00:08:19.960]  這就是上帝的信實和憐憫
[00:08:19.960 --> 00:08:23.000]  這是上帝的保守和他的計劃
[00:08:23.000 --> 00:08:24.560]  繼續來運行這裡
[00:08:24.560 --> 00:08:26.360]  不是突然間會出現的
[00:08:26.360 --> 00:08:28.080]  他們能夠聚集在一起
[00:08:28.080 --> 00:08:30.560]  是上帝的憐憫和他的呼召
[00:08:30.560 --> 00:08:33.680]  另外也是透過這幾章經文
[00:08:33.680 --> 00:08:36.400]  來解決猶太信徒和外邦信徒
[00:08:36.400 --> 00:08:40.760]  彼此之間有一些關於救恩上面的歧見和衝突
[00:08:40.760 --> 00:08:43.480]  讓他們能夠彼此共融
[00:08:43.480 --> 00:08:46.360]  今天的講題叫做"同蒙恩召"
[00:08:46.360 --> 00:08:49.000]  昔日這些外邦信徒和猶太信徒
[00:08:49.000 --> 00:08:51.960]  在同一間教會裡面都是充滿矛盾
[00:08:51.960 --> 00:08:55.880]  讓我們來看看保羅如何提醒他們
[00:08:55.880 --> 00:08:59.440]  剛才大家有讀過九章第一節
[00:08:59.440 --> 00:09:01.440]  我選擇了新漢語譯本
[00:09:01.440 --> 00:09:04.360]  我想大家再來讀一次這節的經文
[00:09:04.360 --> 00:09:05.640]  1、2、3
[00:09:05.640 --> 00:09:18.200]  為什麼人們說好像第九章是負六
