
[00:00:00.000 --> 00:00:02.000]  我哋係同心嘅去祈禱
[00:00:02.000 --> 00:00:04.000]  基本上今日我哋喺你面前
[00:00:04.000 --> 00:00:06.000]  嚟到敬拜嘅時候
[00:00:06.000 --> 00:00:08.000]  我哋嘅心裏面有好多嘅
[00:00:08.000 --> 00:00:10.000]  講唔出嘅感受
[00:00:10.000 --> 00:00:12.000]  希望你明白你知道
[00:00:12.000 --> 00:00:14.000]  求聖靈喺我哋嘅心裏面成為我哋嘅安慰
[00:00:14.000 --> 00:00:16.000]  成為我哋嘅鼓勵
[00:00:16.000 --> 00:00:18.000]  亦都成為我哋嘅力量
[00:00:18.000 --> 00:00:20.000]  今天早上喺全地
[00:00:20.000 --> 00:00:22.000]  各處嚟到去
[00:00:22.000 --> 00:00:24.000]  奉你名聚集嘅
[00:00:24.000 --> 00:00:26.000]  求你臨隔在當中
[00:00:26.000 --> 00:00:28.000]  奉你名宣講嘅
[00:00:28.000 --> 00:00:30.000]  願你自己嘅話語
[00:00:30.000 --> 00:00:32.000]  藏喺我哋嘅心裏面成為我哋嘅力量
[00:00:32.000 --> 00:00:34.000]  成為我哋腳前嘅燈路上嘅光
[00:00:34.000 --> 00:00:36.000]  我哋多謝你聽我哋嘅祈禱
[00:00:36.000 --> 00:00:38.000]  奉耶穌基督嘅名
[00:00:38.000 --> 00:00:40.000]  今日揀咗一個講題
[00:00:40.000 --> 00:00:42.000]  我自己覺得
[00:00:42.000 --> 00:00:44.000]  同而家呢個處境
[00:00:44.000 --> 00:00:46.000]  有啲相近
[00:00:46.000 --> 00:00:48.000]  題目係
[00:00:48.000 --> 00:00:50.000]  時代使命光復教會
[00:00:50.000 --> 00:00:54.000]  你覺得教會幾時
[00:00:54.000 --> 00:00:56.000]  黑暗咗呢
[00:00:56.000 --> 00:00:58.000]  佢要失去咗
[00:00:58.000 --> 00:01:00.000]  暗淡咗然後我哋需要將佢
[00:01:00.000 --> 00:01:02.000]  嚟到去光復過嚟
[00:01:02.000 --> 00:01:06.000]  正如我哋喺地上
[00:01:06.000 --> 00:01:08.000]  喺我哋社會當中而家
[00:01:08.000 --> 00:01:10.000]  你常常喺夜晚會聽見
[00:01:10.000 --> 00:01:12.000]  喺日頭會聽見
[00:01:12.000 --> 00:01:14.000]  喺唔同嘅地方有人呼喊
[00:01:14.000 --> 00:01:16.000]  要光復香港
[00:01:16.000 --> 00:01:18.000]  因為佢哋明白
[00:01:18.000 --> 00:01:20.000]  佢將會或者甚至已經
[00:01:20.000 --> 00:01:22.000]  失去咗佢昔日嘅光輝
[00:01:22.000 --> 00:01:24.000]  教會
[00:01:24.000 --> 00:01:26.000]  係一個使命嘅群體
[00:01:26.000 --> 00:01:28.000]  當我哋失去咗呢個使命感
[00:01:28.000 --> 00:01:30.000]  當我哋失去咗使命嘅行動
[00:01:30.000 --> 00:01:32.000]  嘅時候我哋就陷喺黑暗嘅裏面
[00:01:32.000 --> 00:01:34.000]  我需要
[00:01:34.000 --> 00:01:36.000]  嚟到去將我哋嘅生命
[00:01:36.000 --> 00:01:38.000]  將我哋嘅使命將教會
[00:01:38.000 --> 00:01:40.000]  光復過嚟
[00:01:40.000 --> 00:01:42.000]  今日講呢段經文係
[00:01:42.000 --> 00:01:44.000]  我諗係上主
[00:01:44.000 --> 00:01:46.000]  嘅
[00:01:46.000 --> 00:01:48.000]  智慧
[00:01:48.000 --> 00:01:50.000]  一年前定呢一個
