
[00:00:00.000 --> 00:00:02.800]  今日就讓我們一齊去學習
[00:00:02.800 --> 00:00:06.400]  當我們說我們尊崇我們的神的時候
[00:00:06.400 --> 00:00:08.700]  我們第一件事需要做什麼呢?
[00:00:08.700 --> 00:00:10.900]  我們第一件事就是需要
[00:00:10.900 --> 00:00:15.400]  在心態上能夠對著神說
[00:00:15.400 --> 00:00:20.200]  「願人都尊祢的名為聖」
[00:00:20.200 --> 00:00:24.600]  「願人都尊祢的名為聖」
[00:00:24.600 --> 00:00:28.200]  我相信每一位真實的基督徒
[00:00:28.200 --> 00:00:33.000]  每一位真正跟隨耶穌基督的門徒
[00:00:33.000 --> 00:00:35.400]  他的生命的表現
[00:00:35.400 --> 00:00:38.400]  其中有一個很重要的標誌
[00:00:38.400 --> 00:00:41.600]  就是今天我們所說的題目
[00:00:41.600 --> 00:00:45.000]  真正跟隨耶穌、真正的基督徒
[00:00:45.000 --> 00:00:50.200]  在他心靈的深處一定會有呼聲、有心聲
[00:00:50.200 --> 00:00:56.800]  就是對著神說「願人都尊祢的名為聖」
[00:00:56.800 --> 00:00:59.200]  很重要的標誌
[00:00:59.200 --> 00:01:02.400]  希望我們每一個人都有
[00:01:02.400 --> 00:01:04.400]  好了,為什麼我們會這樣想?
[00:01:04.400 --> 00:01:05.400]  為什麼我們會這樣說呢?
[00:01:05.400 --> 00:01:08.600]  很明顯因為這是耶穌教我們的
[00:01:08.600 --> 00:01:12.400]  是因為主耶穌基督教門徒怎樣去祈禱的時候
[00:01:12.400 --> 00:01:16.000]  除了說向神說出父神的對象之外
[00:01:16.000 --> 00:01:18.200]  第一個心聲就是這句話
[00:01:18.200 --> 00:01:19.200]  重不重要?
[00:01:19.200 --> 00:01:21.200]  通常第一都是重要的
[00:01:21.200 --> 00:01:22.800]  一開聲說的時候就說
[00:01:22.800 --> 00:01:26.200]  「願人都尊祢的名為聖」
[00:01:26.200 --> 00:01:29.200]  對著父神這樣說
[00:01:29.200 --> 00:01:30.400]  所以是很重要的
[00:01:30.400 --> 00:01:32.400]  所以為什麼我們覺得這麼重要呢?
[00:01:32.400 --> 00:01:34.600]  這個標誌
[00:01:34.600 --> 00:01:38.800]  希望我們所有經常念頌主禱文的弟妹
[00:01:38.800 --> 00:01:42.000]  能夠深深掌握這句話的意思
[00:01:42.000 --> 00:01:45.000]  也更加希望我們願意以主禱文
[00:01:45.000 --> 00:01:48.600]  作為我們生命的核心價值的每一位
[00:01:48.600 --> 00:01:52.000]  我們都能夠很明白這句話的意思
[00:01:52.000 --> 00:01:55.200]  願意今天我們彼此勉勵一同學習
[00:01:55.200 --> 00:01:57.600]  好了,說了這麼多
[00:01:57.600 --> 00:02:00.800]  我相信我們都需要稍微進一步去認識一下
[00:02:00.800 --> 00:02:04.200]  什麼叫做「尊祢的名為聖」
[00:02:04.200 --> 00:02:07.800]  或者說「尊神的名為聖」
[00:02:07.800 --> 00:02:11.000]  究竟帶來什麼含義呢?
[00:02:11.000 --> 00:02:13.600]  當我們在心靈裡面呼求這件事
