
[00:00:00.000 --> 00:00:02.000]  我們一齊低頭祈禱
[00:00:02.000 --> 00:00:06.500]  天父
[00:00:06.500 --> 00:00:09.000]  多謝你今天讓我們
[00:00:09.000 --> 00:00:12.500]  能夠進入聖誕節的時候
[00:00:12.500 --> 00:00:14.500]  不單止生活很開心
[00:00:14.500 --> 00:00:16.000]  很休閒 很快樂
[00:00:16.000 --> 00:00:18.000]  一家團聚和朋友相聚
[00:00:18.000 --> 00:00:20.500]  同樣聖誕節讓我們紀念到
[00:00:20.500 --> 00:00:22.000]  是你的彌臨
[00:00:22.000 --> 00:00:24.500]  你為我們世人的彌臨
[00:00:24.500 --> 00:00:27.000]  天父我今天求你藉著這段經文
[00:00:27.500 --> 00:00:30.000]  親自向我們每一位弟兄姊妹說話
[00:00:30.000 --> 00:00:35.000]  提醒我們 教訓我們 造就我們
[00:00:35.000 --> 00:00:37.000]  引導我們的生命
[00:00:37.000 --> 00:00:39.000]  更加合乎你的心意
[00:00:39.000 --> 00:00:41.000]  打開我們的眼
[00:00:41.000 --> 00:00:43.000]  打開我們的心 打開我們的耳朵
[00:00:43.000 --> 00:00:45.000]  恭聽神你的說話
[00:00:45.000 --> 00:00:46.500]  求聖靈你幫助
[00:00:46.500 --> 00:00:49.000]  禱告奉耶穌基督的聖名求
[00:00:49.000 --> 00:00:50.000]  阿們
[00:00:50.000 --> 00:00:51.500]  我們來看看第一點
[00:00:51.500 --> 00:00:54.000]  第一點說到其實我們人本身
[00:00:54.000 --> 00:00:57.500]  我們的心很多時候很難接受神給我們的計劃
[00:00:57.500 --> 00:00:59.500]  在十八 十九節
[00:00:59.500 --> 00:01:01.500]  我們請姐妹幫我們讀
[00:01:01.500 --> 00:01:03.000]  預備 一 二 三
[00:01:25.000 --> 00:01:28.000]  這裡就說到一個背景
[00:01:28.000 --> 00:01:30.500]  我相信很多弟兄姊妹都很熟悉
[00:01:30.500 --> 00:01:32.000]  這個情節
[00:01:32.000 --> 00:01:35.000]  瑪利亞原本就許配了給藥室
[00:01:35.000 --> 00:01:38.000]  就等正式接她入門
[00:01:38.000 --> 00:01:41.000]  但她未入門之前
[00:01:41.000 --> 00:01:43.000]  瑪利亞就從聖靈那裡
[00:01:43.000 --> 00:01:44.500]  就得到這個胎
[00:01:44.500 --> 00:01:47.000]  我們說聖靈就感應她
[00:01:47.000 --> 00:01:48.000]  就得到這個胎
[00:01:48.000 --> 00:01:50.000]  這個胎不是經人手的
[00:01:50.000 --> 00:01:53.000]  是聖靈賜給她有這個胎在她身上
[00:01:54.000 --> 00:01:56.500]  藥室知道瑪利亞懷孕了
[00:01:56.500 --> 00:01:59.000]  但當然不知道詳情
[00:01:59.000 --> 00:02:00.500]  只知道她懷孕了
[00:02:00.500 --> 00:02:04.000]  她就要計劃低調的
[00:02:04.000 --> 00:02:05.000]  就要休妻
[00:02:05.000 --> 00:02:07.000]  就要和她解除婚約
[00:02:07.000 --> 00:02:11.500]  低調是因為藥室不想將這件事情搞大
[00:02:11.500 --> 00:02:13.500]  不想瑪利亞沒面見人
[00:02:13.500 --> 00:02:16.500]  相信這段時間藥室都很煩
[00:02:16.500 --> 00:02:18.500]  因為藥室
[00:02:18.500 --> 00:02:22.000]  是這樣想來想去
[00:02:22.000 --> 00:02:24.000]  聖經裡說她是一個義人
[00:02:24.000 --> 00:02:25.000]  是一個很好的人
[00:02:25.000 --> 00:02:26.000]  一個很
[00:02:26.000 --> 00:02:29.000]  義人的意思是很恭敬
[00:02:29.000 --> 00:02:31.000]  遵從神的吩咐
[00:02:31.000 --> 00:02:32.000]  跟從神的人
[00:02:32.000 --> 00:02:34.500]  她不想這樣公開
[00:02:34.500 --> 00:02:38.000]  羞辱這個未過門的妻子
[00:02:38.000 --> 00:02:40.000]  那怎麼辦呢
[00:02:40.000 --> 00:02:42.500]  但你想想一個正常的男人
[00:02:42.500 --> 00:02:46.000]  知道自己未過門的未婚妻懷孕了
[00:02:46.000 --> 00:02:49.000]  不是自己經手的
[00:02:49.000 --> 00:02:50.000]  那怎麼辦
[00:02:50.000 --> 00:02:52.000]  這些就叫做服務
[00:02:52.000 --> 00:02:54.000]  吃死貓的
[00:02:54.000 --> 00:02:56.000]  又不知道是從哪裡來的
[00:02:56.000 --> 00:02:58.000]  那怎麼辦呢
[00:02:58.000 --> 00:03:01.000]  藥室就一直想
[00:03:01.000 --> 00:03:02.000]  很煩
