
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹好
[00:00:02.000 --> 00:00:03.400]  弟兄姊妹早上好
[00:00:03.400 --> 00:00:06.680]  也都趁機會去祝賀大家
[00:00:06.680 --> 00:00:09.200]  能夠在這個聖誕節期的裏面
[00:00:09.200 --> 00:00:11.800]  對我們的主有更深的認識
[00:00:11.800 --> 00:00:13.600]  希望在這裏有機會
[00:00:13.600 --> 00:00:16.400]  希望大家在聖誕期間
[00:00:16.400 --> 00:00:18.400]  對主有更深的認識
[00:00:18.400 --> 00:00:21.000]  讓我們在聖誕節的節期的時候
[00:00:21.000 --> 00:00:22.000]  讓我們同心
[00:00:22.000 --> 00:00:24.000]  也都去聽一些有關聖誕
[00:00:24.000 --> 00:00:26.200]  關於耶穌降生的事情的時候
[00:00:26.200 --> 00:00:27.800]  再次直著禱告
[00:00:27.800 --> 00:00:30.200]  讓我們主愛的神
[00:00:30.200 --> 00:00:32.800]  能夠帶領我們能夠明白祂的道理
[00:00:32.800 --> 00:00:34.000]  在聖誕節期
[00:00:34.000 --> 00:00:36.400]  我們知道主耶穌基督的一些故事
[00:00:36.400 --> 00:00:38.000]  讓我們一起來同心禱告
[00:00:38.000 --> 00:00:39.400]  我們知道神的道理
[00:00:39.400 --> 00:00:40.400]  要同心禱告
[00:00:40.400 --> 00:00:43.200]  讓我們同心禱告
[00:00:43.200 --> 00:00:44.400]  慈悲的父神多謝你
[00:00:44.400 --> 00:00:48.800]  能夠讓我們再次去打開你的說話
[00:00:48.800 --> 00:00:50.800]  直著聖誕節期的時間
[00:00:50.800 --> 00:00:53.800]  讓我們能夠再次重溫
[00:00:53.800 --> 00:00:56.000]  你在地上的作供
[00:00:56.000 --> 00:00:57.800]  如何帶領我們
[00:00:57.800 --> 00:01:01.600]  去能夠得著這位救主耶穌基督
[00:01:01.600 --> 00:01:03.600]  你的獨生兒子
[00:01:03.600 --> 00:01:06.800]  黑色又如何能夠脫離
[00:01:06.800 --> 00:01:09.400]  從你的身邊來到這個地上
[00:01:09.400 --> 00:01:13.200]  能夠成就這個拯救的事情
[00:01:13.200 --> 00:01:15.000]  讓我們明白到
[00:01:15.000 --> 00:01:19.400]  祂對上帝父神你那份極大的尊重
[00:01:19.400 --> 00:01:22.600]  一份毫無姑息自己
[00:01:22.600 --> 00:01:26.600]  而畏著履行上帝心意那份的心志
[00:01:26.600 --> 00:01:31.400]  讓我們在這段聽道的時間
[00:01:31.400 --> 00:01:34.000]  藉著你的話語
[00:01:34.000 --> 00:01:36.000]  能夠再次提醒我們
[00:01:36.000 --> 00:01:39.000]  好好珍惜這份的拯救
[00:01:39.000 --> 00:01:40.800]  Our Holy Father thanks again
[00:01:40.800 --> 00:01:42.600]  you let us have another opportunity
[00:01:42.600 --> 00:01:44.600]  to return to the Bible
[00:01:44.600 --> 00:01:48.000]  to revisit the genealogy of Jesus Christ
[00:01:48.000 --> 00:01:50.600]  your beloved son
[00:01:50.600 --> 00:01:54.400]  how He under your plan
[00:01:54.400 --> 00:01:57.200]  become in flesh
[00:01:57.200 --> 00:01:59.400]  and fulfilled your wish
[00:01:59.400 --> 00:02:02.800]  and your plan in salvation
[00:02:02.800 --> 00:02:05.200]  Let us once again focus on
[00:02:05.200 --> 00:02:08.000]  what you have done through your son
[00:02:08.000 --> 00:02:10.200]  Let us to know how to treasure
[00:02:10.200 --> 00:02:11.600]  everything that you can have
[00:02:11.600 --> 00:02:13.200]  especially the opportunity
[00:02:13.200 --> 00:02:15.600]  that we can listen to your gospel
[00:02:15.600 --> 00:02:20.400]  and how we can get this hope again
[00:02:20.400 --> 00:02:25.000]  so we hand the following time to you
[00:02:25.000 --> 00:02:29.400]  so that we can follow your Holy Spirit
[00:02:29.400 --> 00:02:33.800]  drive us to the maturity in our spiritual life
[00:02:33.800 --> 00:02:35.000]  我們現在要互相感謝你
[00:02:35.000 --> 00:02:37.400]  讓我們再次能夠打開你的說話
[00:02:37.400 --> 00:02:40.000]  能夠明白你的教訓
[00:02:40.000 --> 00:02:42.200]  讓你的話語成為
[00:02:42.200 --> 00:02:47.000]  我們明白上帝你的救恩的源頭
[00:02:47.000 --> 00:02:49.400]  讓我們能夠透過
[00:02:49.400 --> 00:02:53.200]  耶穌基督他的族譜
[00:02:53.200 --> 00:02:55.000]  讓我們能夠明白
[00:02:55.000 --> 00:02:58.000]  上帝你在歷史當中所做的事情
[00:02:58.000 --> 00:03:00.600]  明白你的愛子耶穌
[00:03:00.600 --> 00:03:04.000]  他怎麼從你身邊離開
[00:03:04.000 --> 00:03:05.800]  來到這個世界
[00:03:05.800 --> 00:03:10.000]  來完成上帝你要完成的心願
