
[00:00:00.000 --> 00:00:04.000]  首先跟大家看一段聖經
[00:00:04.000 --> 00:00:08.000]  是《釋師記》第17章第1至13節
[00:00:08.000 --> 00:00:10.000]  我先跟大家看第1至第6節
[00:00:10.000 --> 00:00:12.000]  可以作為一個背景
[00:00:12.000 --> 00:00:15.000]  稍後再看第7至13節
[00:00:15.000 --> 00:00:17.000]  這段聖經記載一個時代
[00:00:17.000 --> 00:00:19.000]  就是釋師的時候
[00:00:19.000 --> 00:00:22.000]  《釋師記》講清楚給我聽
[00:00:22.000 --> 00:00:24.000]  一件事就是混帳的年代
[00:00:24.000 --> 00:00:25.000]  很混亂的年代
[00:00:25.000 --> 00:00:27.000]  剛才你看到已經覺得很混亂
[00:00:27.000 --> 00:00:30.000]  再解釋下去你可能會明白更多混亂
[00:00:30.000 --> 00:00:33.000]  那時候人心裡沒有王
[00:00:33.000 --> 00:00:34.000]  沒有上帝在當中
[00:00:34.000 --> 00:00:36.000]  就任意而行
[00:00:36.000 --> 00:00:37.000]  剛才有一段經文
[00:00:37.000 --> 00:00:39.000]  有一個主角叫米加
[00:00:39.000 --> 00:00:43.000]  米加應該是一個有錢的人
[00:00:43.000 --> 00:00:47.000]  因為他偷了他媽媽1100赤霞那銀子之後
[00:00:47.000 --> 00:00:49.000]  他媽媽就詛咒
[00:00:49.000 --> 00:00:51.000]  詛咒誰偷了錢
[00:00:51.000 --> 00:00:53.000]  於是他聽到詛咒之後
[00:00:55.000 --> 00:00:57.000]  他媽媽1100赤霞那銀子出來
[00:00:57.000 --> 00:00:59.000]  所以他應該對媽媽的詛咒很嚴厲
[00:00:59.000 --> 00:01:01.000]  不然怎麼會拿出來
[00:01:01.000 --> 00:01:03.000]  怎麼嚴厲我們不知道
[00:01:03.000 --> 00:01:05.000]  不過我們有時聽到這樣的詛咒
[00:01:05.000 --> 00:01:08.000]  以前聽得多是山西武士忽
[00:01:08.000 --> 00:01:11.000]  有些人聽死無全屍
[00:01:11.000 --> 00:01:16.000]  社會運動裡經常說某某某類人死全家
[00:01:16.000 --> 00:01:19.000]  就是這樣的詛咒
[00:01:19.000 --> 00:01:22.000]  所以米加偷了之後很害怕
[00:01:22.000 --> 00:01:24.000]  因為媽媽的詛咒一定很狠
[00:01:24.000 --> 00:01:29.000]  所以他馬上把1100赤霞那銀子拿出來
[00:01:29.000 --> 00:01:31.000]  交還給他媽媽
[00:01:31.000 --> 00:01:34.000]  究竟1100赤霞那銀子有多少
[00:01:34.000 --> 00:01:36.000]  其實我們都很模糊
[00:01:36.000 --> 00:01:38.000]  不過我們可以這樣比較
[00:01:38.000 --> 00:01:42.000]  因為後來他請了一個少年人利美人做祭司
[00:01:42.000 --> 00:01:43.000]  在家裡
[00:01:43.000 --> 00:01:45.000]  年薪多少
[00:01:45.000 --> 00:01:47.000]  14赤霞那銀子
[00:01:47.000 --> 00:01:49.000]  一年就是14赤霞那銀子
[00:01:49.000 --> 00:01:52.000]  1100赤霞那銀子大約多少
