
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹平安
[00:00:02.000 --> 00:00:07.000]  很高興再有機會跟大家講解分享神的話語
[00:00:07.000 --> 00:00:09.000]  下個禮拜是農曆新年
[00:00:09.000 --> 00:00:12.000]  在這裡先向大家預祝新年
[00:00:12.000 --> 00:00:14.000]  蒙恩身體健康
[00:00:14.000 --> 00:00:16.000]  蒙恩的意思就是
[00:00:16.000 --> 00:00:20.000]  蒙上主賜予我們他的恩典
[00:00:20.000 --> 00:00:23.000]  而恩典就是一份禮物的意思
[00:00:23.000 --> 00:00:25.000]  並不是人憑著自己的聰明
[00:00:25.000 --> 00:00:28.000]  自己的智慧可以賺取的
[00:00:28.000 --> 00:00:32.000]  努力賺取的那些功架是應得的
[00:00:32.000 --> 00:00:35.000]  但恩賜卻是神所賜的
[00:00:35.000 --> 00:00:38.000]  尤其是當我們看到自己的能力有限
[00:00:38.000 --> 00:00:41.000]  或者我們身處的環境惡劣的時候
[00:00:41.000 --> 00:00:46.000]  我們需要記得從神那裡支取力量
[00:00:46.000 --> 00:00:49.000]  上一年,2019年的教會主題就是
[00:00:49.000 --> 00:00:52.000]  高舉基督,更新同行
[00:00:52.000 --> 00:00:56.000]  過往我們在生命當中有沒有高舉基督呢?
[00:00:56.000 --> 00:00:58.000]  有沒有更加的
[00:00:58.000 --> 00:01:00.000]  在生命當中有更新
[00:01:00.000 --> 00:01:03.000]  更加的與神與人同行呢?
[00:01:03.000 --> 00:01:05.000]  2020年,新的一年
[00:01:05.000 --> 00:01:09.000]  教會主題是什麼,大家知不知道?
[00:01:09.000 --> 00:01:12.000]  假如不記得的話,我們看程序表
[00:01:12.000 --> 00:01:14.000]  開頭封面就有了
[00:01:14.000 --> 00:01:16.000]  我們一起讀一次
[00:01:16.000 --> 00:01:19.000]  高舉基督,活出照明
[00:01:19.000 --> 00:01:23.000]  這個就是我們2020年教會的方向
[00:01:23.000 --> 00:01:26.000]  所以在這幾個月裡講道的題目都會圍繞著
