
[00:00:00.000 --> 00:00:13.000]  各位朋友,各位弟孫姊妹,大家好,我是劉少康牧師。
[00:00:13.000 --> 00:00:18.000]  這個節目就是劉少康牧師陪你讀聖經。
[00:00:18.000 --> 00:00:24.000]  今天非常高興,我來到臺中的玉樂壇,這裏就是耶穌堂。
[00:00:24.000 --> 00:00:30.000]  我在這裏很想跟各位一同來講詩篇第十六篇。
[00:00:30.000 --> 00:00:40.000]  詩篇十六篇的作者就是大衛,他有一個很特別的標題叫做大衛的金詩。
[00:00:40.000 --> 00:00:47.000]  金詩的意思就是這是一首很寶貴很貴重的詩歌,
[00:00:47.000 --> 00:00:54.000]  表示大衛對神的一份敬意,他也是非常愛慕神的。
[00:00:54.000 --> 00:01:01.000]  這段聖經頭四節都是談到一個很重要的問題。
[00:01:01.000 --> 00:01:11.000]  第一節他在這裏說,神啊,求禰保佑我,因爲我投靠禰。
[00:01:11.000 --> 00:01:21.000]  大衛一開頭這篇詩就表示說他是一個仰望神,投靠神的人。
[00:01:21.000 --> 00:01:27.000]  我不知道今天你的人生以什麼爲重點。
[00:01:27.000 --> 00:01:35.000]  有些人說我依靠的是我的才幹,有些人說我依靠的是我的錢財,
[00:01:35.000 --> 00:01:41.000]  有些人說我依靠的是我家庭給我很多的產業。
[00:01:41.000 --> 00:01:51.000]  但是大衛他的一生就是仰望神,投靠神,歸到神那邊的一個人。
[00:01:51.000 --> 00:01:59.000]  所以他沒有什麼可以依靠的,唯一他可以依靠的就是他所信的神。
[00:01:59.000 --> 00:02:08.000]  因爲我們的神是一位信實非常可靠的神,是投靠祂的人有福了。
[00:02:08.000 --> 00:02:15.000]  第二節,這裏的第二節也是我最喜歡的一節經句。
[00:02:15.000 --> 00:02:28.000]  大衛說我的信啊,我曾對耶和華說,你是我的主,我的好處都不在你的以外。
[00:02:28.000 --> 00:02:35.000]  你是我的主,我的好處都不在你以外。
[00:02:35.000 --> 00:02:47.000]  主的意思,這個字在希伯來文,就是祂是我的老闆,是我的掌管者。
[00:02:47.000 --> 00:02:55.000]  我所有的一切都是屬於祂的,你就是我所投靠的,所依靠的。
[00:02:55.000 --> 00:03:05.000]  就好像很多詩篇,大衛也說,你是我的磐石,你是我的高臺,你是我的避難所。
[00:03:05.000 --> 00:03:08.000]  神就是大衛的主。
[00:03:08.000 --> 00:03:21.000]  而且這裏說我的好處,我有什麼益處呢,我有什麼寶貝呢,我有什麼好的地方呢,都不在你的外面。
[00:03:21.000 --> 00:03:28.000]  就表示我的好處,我所擁有的一切就是在神的裏面。
[00:03:28.000 --> 00:03:31.000]  原來我們的神是位四福的神。
[00:03:31.000 --> 00:03:42.000]  祂的恩典,很多基督徒常常說,神啊,禰的恩典真的太豐富了,禰的恩典真的是太奇妙了。
[00:03:42.000 --> 00:03:57.000]  表示就是在我們人生當中,雖然人生一定會遇到苦難,人生一定有病痛,人生也有很多令我們覺得很不開心,不容易的事。
[00:03:57.000 --> 00:04:12.000]  但是老實說,當我們每一次去數算神的恩典的時候,我們就發現神的恩是大的不得了,是我們數算不盡的。
[00:04:12.000 --> 00:04:31.000]  我非常喜愛一首的聖詩,就是那個蒙了眼,瞎眼的詩人所寫的,它的英文是"Count Your Blessings",神的恩典樣樣都要數。
[00:04:31.000 --> 00:04:46.000]  神的恩典樣樣都要數,神的恩典都要數清楚,主的恩典樣樣都要數。
[00:04:46.000 --> 00:04:56.000]  每一次當我們去數算神的恩典的時候,你就發現神的恩典是永遠數算不盡。
[00:04:56.000 --> 00:05:05.000]  每一天從早上起牀以後,我們就經歷祂的看顧,一直到中午,然後到晚上。
[00:05:05.000 --> 00:05:22.000]  所以詩篇第十六篇,大衛在第二節就這樣宣告說,我的心啊,你曾經對耶和華說,你就是我的主,我的好處都不在你的以外。
[00:05:22.000 --> 00:05:33.000]  在第三節大衛這樣說,論到世上的聖民,他們又美又善,是我最喜悅的。
[00:05:33.000 --> 00:05:50.000]  這一節聖經大概是從神的角度來談的,就表示世上所有屬神的人,神的聖民,他們是又美又善,是神最喜悅的。
[00:05:50.000 --> 00:06:07.000]  聖經在約翰福音三章十六節,非常有名的3.16那裏說,神愛世人,神極愛世人,我們的神是一個愛世人的神。
[00:06:07.000 --> 00:06:14.000]  所以這裏說到世上的聖民,他們真的又美又善,是我最喜悅的。
[00:06:14.000 --> 00:06:30.000]  第四節,以別神代替耶和華的,他們的愁苦必定加增,他們所澆墊的血我不獻上,我嘴脣也不提別神的名號。
[00:06:30.000 --> 00:06:39.000]  今天在這個世界上有很多假的神,也有很多人在拜偶像,在拜別的神。
[00:06:39.000 --> 00:06:55.000]  神表示以別神代替耶和華的是神所不喜悅的,是神不喜悅我們去敬拜,去拜偶像,去拜別的神。
[00:06:55.000 --> 00:07:07.000]  然後到第五節,耶和華是我的產業,是我悲衆的份,我所得的,你爲我持守。
[00:07:07.000 --> 00:07:16.000]  耶和華它就是我的產業,表示我所擁有的一切都在神的裏頭。
[00:07:16.000 --> 00:07:33.000]  我所擁有的,我有什麼寶貴的,就是以神所賜給我的爲寶貴,是我悲衆的份,我所得到的,你來爲我持守。
[00:07:33.000 --> 00:07:44.000]  有很多人慢慢就累積了一些錢財,我們都很頭痛的,就是怎麼樣去管理我們的錢財。
[00:07:44.000 --> 00:07:48.000]  你懂得投資嗎?你投資有選擇嗎?
[00:07:48.000 --> 00:08:06.000]  香港有時候就會有一個叫做公積金,就是把我們的收入儲存了一些錢起來,然後等我們退休以後就可以有錢用了。
[00:08:06.000 --> 00:08:17.000]  很多時候我們的投資都會虧本的,因爲每一年整個世界的經濟狀況不一樣,有時候我們會虧本的。
[00:08:17.000 --> 00:08:25.000]  但是當神來持守我們的產業的時候,我們就覺得是最可靠的。
[00:08:25.000 --> 00:08:36.000]  第六節,用神賜給我的地界,坐落在加美之處,我的產業實在美好。
[00:08:36.000 --> 00:08:52.000]  那表示我們所得到的,神來看顧,祂給我們的都是最好的,坐落在加美之處的一個地圖,而且我的產業是美好的。
[00:08:52.000 --> 00:09:06.000]  所以四篇第十六篇實在很寶貴,從第一節到第六節所提到的完全是神給我們那麼豐富的恩典。
[00:09:06.000 --> 00:09:29.000]  從第一節開始,我必稱頌那隻叫我的耶和華,我的心腸在夜間也警戒我。神就是那位只叫我的神,我們每一個人都很需要別人對我們的指導,對我們的引導。
[00:09:29.000 --> 00:09:39.000]  那我們的引導從哪裏來呢?聖經就很清楚告訴我們,神親自來帶領我們,來引導我們。
[00:09:39.000 --> 00:09:51.000]  第八節,我將耶和華藏擺在我面前,因祂在我的右邊,我便不自搖動。
[00:09:51.000 --> 00:10:05.000]  我不曉得你是不是常常思想神,神就擺在我們的前面,而且因爲祂在我的右邊,我便不自搖動。
[00:10:05.000 --> 00:10:24.000]  右邊可能是比照你,很多人都是用右手的,右邊是我們拿劍拿筆的手,神就在我們的右邊來保護我們。
[00:10:24.000 --> 00:10:33.000]  當我們有事情的時候,我用我的右手去扶着神,神就叫我們不自搖動。
[00:10:33.000 --> 00:10:47.000]  第九節,第九節好像是一個結論一樣,因其我的心歡喜,我的靈快樂,我的肉身也安然居住。
[00:10:47.000 --> 00:10:56.000]  我的心歡喜,我的靈快樂,我的肉身也安然居住。
[00:10:56.000 --> 00:11:05.000]  因爲你並不將我的靈魂撇在陰間,也不叫你的聖潔見朽壞。
[00:11:05.000 --> 00:11:21.000]  最後第十一節,我必將聖命的道路指示你,在你面前有滿足的喜樂,在你右手中有永遠的福樂。
[00:11:21.000 --> 00:11:26.000]  四篇十六篇,很多弟兄姊妹都非常的喜愛。
[00:11:26.000 --> 00:11:34.000]  在十一節那裏就說,神將聖命的道路指示我們每一個。
[00:11:34.000 --> 00:11:46.000]  我不曉得在你的人生當中,你喜歡有人將你前面要走的路很清楚向你展示,向你指明嗎?
[00:11:46.000 --> 00:11:54.000]  神就在我們的旁邊,好像是一個引路的明燈一樣,帶領我們走前面的道路。
[00:11:54.000 --> 00:12:01.000]  而且第二句那裏說,在你面前是有滿足的喜樂。
[00:12:01.000 --> 00:12:07.000]  你不光有喜樂,而且你的喜樂是能夠帶給你滿足的。
[00:12:07.000 --> 00:12:17.000]  最後在你右手中有永遠的福樂,看神的應許是多麼的寶貴。
[00:12:17.000 --> 00:12:26.000]  不光神給我們福樂,而且那個福樂是永遠的,是不動搖的,是不改變的。
[00:12:26.000 --> 00:12:35.000]  我們很感謝主在詩篇裏面有大衛這位詩人,他寫了很多篇的詩篇。
[00:12:35.000 --> 00:12:40.000]  第十六篇則被稱爲大衛的經詩。
[00:12:40.000 --> 00:12:45.000]  所以今天我就願意把這篇詩篇送給各位。
[00:12:45.000 --> 00:12:53.000]  希望你好好的來讀,好好的來思考,願神施福給各位。
[00:12:53.000 --> 00:13:00.000]  也希望你介紹多一些人來看劉少康牧師陪你讀經這個節目。
[00:13:00.000 --> 00:13:04.000]  好,下一次再跟各位見面,再見。
[00:13:05.000 --> 00:13:12.000]  (請不吝點贊 訂閱 轉發 打賞支持明鏡與點點欄目)
