
[00:00:00.000 --> 00:00:03.120]  各位來賓 主內的弟兄姊妹 平安
[00:00:03.120 --> 00:00:06.700]  今天是母親節 我祝大家母親節快樂
[00:00:06.700 --> 00:00:13.580]  我們在母親節期間 我們都會表揚做媽媽的
[00:00:13.580 --> 00:00:19.260]  表揚她們養育子女的愛 和她們所作的犧牲
[00:00:19.260 --> 00:00:23.800]  我們都可以從傳媒當中 在網上的文章裏面
[00:00:23.800 --> 00:00:27.340]  都看到很多一些模範母親的故事
[00:00:27.740 --> 00:00:32.420]  其實社會對做媽媽的姊妹
[00:00:32.420 --> 00:00:36.140]  都有很多的不成名的期望
[00:00:36.140 --> 00:00:40.360]  一些unspoken的expectations
[00:00:40.360 --> 00:00:46.820]  這些對母親的expectations 或者叫做訴求
[00:00:46.820 --> 00:00:50.680]  包括了很多 我們可以從網上有些例子
[00:00:50.680 --> 00:00:55.400]  譬如說 如果那些小孩在公眾面前
[00:00:55.400 --> 00:00:59.740]  在失控的時候 他們都要受到嚴厲的回應
[00:00:59.740 --> 00:01:03.160]  做母親的都要有些嚴厲的回應
[00:01:03.160 --> 00:01:08.720]  又或者 如果那些父母帶子女去餐館吃飯的時候
[00:01:08.720 --> 00:01:11.080]  我自己有三個小朋友
[00:01:11.080 --> 00:01:18.040]  那些食客 那些在座的顧客
[00:01:18.040 --> 00:01:22.380]  或者那些餐館的職員 都會expect
[00:01:22.380 --> 00:01:28.060]  那些父母帶子女來 子女會很安靜的去吃東西
[00:01:28.060 --> 00:01:30.260]  去進餐
[00:01:30.260 --> 00:01:33.900]  又或者 如果看到那些小朋友在公眾場所
[00:01:33.900 --> 00:01:39.520]  就算在吃東西的時候 顧著在那裏打電子遊戲機
[00:01:39.520 --> 00:01:44.060]  都會被人有些少的 背後有些少的議論的
[00:01:44.060 --> 00:01:48.180]  當我們帶著小朋友去遊樂場玩的時候
[00:01:48.180 --> 00:01:52.500]  那些家長坐在旁邊 都在留意哪些小朋友
[00:01:52.500 --> 00:01:56.300]  是會遵守這些遊樂場的規則
[00:01:56.300 --> 00:01:59.580]  要玩得不粗魯
[00:01:59.580 --> 00:02:06.060]  所以社會當中 其實對做父母的
[00:02:06.060 --> 00:02:12.240]  都有很多的 心目中有很多的標準在當中
[00:02:12.240 --> 00:02:17.540]  背後在那裏有很多的議論
[00:02:17.540 --> 00:02:20.080]  出嫁有沒有梳頭
[00:02:20.080 --> 00:02:25.220]  穿衣服的時候有沒有穿到鴛鴦襪
[00:02:25.220 --> 00:02:29.520]  這些都是在人裏面在觀察
[00:02:29.520 --> 00:02:34.880]  在聖經裏面 其實都有很多
[00:02:34.880 --> 00:02:39.300]  記述了很多愛主的母親的故事在當中
[00:02:39.300 --> 00:02:42.060]  可以成為我們的借鏡
[00:02:42.060 --> 00:02:50.060]  我們身處這個世代的母親都有很多掙扎
[00:02:50.060 --> 00:02:52.540]  究竟我們可不可以從聖經裏面
[00:02:52.540 --> 00:02:56.480]  能夠得到一些啟示、一些幫助呢?
[00:02:56.480 --> 00:03:01.900]  我們今天會在聖經裏面看一個故事
[00:03:01.900 --> 00:03:07.660]  這次是我第一次在T4C
[00:03:07.660 --> 00:03:11.660]  和大家分享母親節的信息
[00:03:11.660 --> 00:03:17.080]  我今年就會從《創世紀》開始
