
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹好
[00:00:02.000 --> 00:00:05.000]  今日我們一齊在這裡崇拜
[00:00:05.000 --> 00:00:09.000]  我們家中裡都弟兄姊妹一同去敬拜主
[00:00:09.000 --> 00:00:11.000]  我們一齊有個禱告
[00:00:11.000 --> 00:00:16.000]  天父我們求主你帶領我們今天學習這段經文
[00:00:16.000 --> 00:00:20.000]  以做我們學習去敬虔
[00:00:20.000 --> 00:00:23.000]  怎樣去行事為人討你的喜悅
[00:00:23.000 --> 00:00:25.000]  求主你幫助我們
[00:00:25.000 --> 00:00:28.000]  讓我們生命都有一個反省
[00:00:28.000 --> 00:00:30.000]  我們這樣祈禱奉主耶穌基督的名
[00:00:30.000 --> 00:00:32.000]  阿門
[00:00:32.000 --> 00:00:35.000]  見到神學院的一位教授
[00:00:35.000 --> 00:00:37.000]  郭鴻彪博士
[00:00:37.000 --> 00:00:40.000]  他寫了一篇文章
[00:00:40.000 --> 00:00:42.000]  裡面其中有一個文章提到
[00:00:42.000 --> 00:00:44.000]  他說在神學院裡面
[00:00:44.000 --> 00:00:46.000]  有些人有些弟兄姊妹
[00:00:46.000 --> 00:00:48.000]  願意去參與示奉
[00:00:48.000 --> 00:00:51.000]  願意獻身給神去做傳導人
[00:00:51.000 --> 00:00:54.000]  去神學院進修
[00:00:54.000 --> 00:00:56.000]  但當中都有很多的掙扎
[00:00:56.000 --> 00:01:01.000]  他提到很多都是中年年紀的弟兄姊妹
[00:01:01.000 --> 00:01:03.000]  去做這個選擇
[00:01:03.000 --> 00:01:08.000]  他說往往這些弟兄姊妹
[00:01:08.000 --> 00:01:12.000]  他們很多時候在他們很大段的人生裡面
[00:01:12.000 --> 00:01:15.000]  是為了要去建立他們的事業
[00:01:15.000 --> 00:01:18.000]  或者將他們的生活去改善
[00:01:18.000 --> 00:01:20.000]  去拼命地打拼
[00:01:20.000 --> 00:01:22.000]  用盡他們所有的能力
[00:01:22.000 --> 00:01:27.000]  所以他們在示奉裡面就變得減少了
[00:01:27.000 --> 00:01:30.000]  他們又想到剛剛信主的時候很熱心
[00:01:30.000 --> 00:01:32.000]  但是將他們最黃金
[00:01:32.000 --> 00:01:35.000]  黃金階段那段時間人生的時候
[00:01:35.000 --> 00:01:36.000]  全部拿出來
[00:01:36.000 --> 00:01:37.000]  他用了一個字
[00:01:37.000 --> 00:01:40.000]  埋葬在一些自己的需要上
[00:01:40.000 --> 00:01:42.000]  去到這個時候
[00:01:42.000 --> 00:01:44.000]  反而他們就覺得
[00:01:44.000 --> 00:01:47.000]  那個內心感覺到很空虛
[00:01:47.000 --> 00:01:50.000]  他們在人到中年的時候
[00:01:50.000 --> 00:01:55.000]  他就想到怎樣可以去看回神的心意
[00:01:55.000 --> 00:01:57.000]  怎樣走回一個有動力的人生
[00:01:57.000 --> 00:01:59.000]  他就說很感謝神
[00:01:59.000 --> 00:02:01.000]  神用這些弟兄姊妹
[00:02:01.000 --> 00:02:05.000]  願意用信心去回應神的呼召
[00:02:05.000 --> 00:02:09.000]  願意走出他們的安殊區
[00:02:09.000 --> 00:02:11.000]  願意將生命奉獻給神
[00:02:11.000 --> 00:02:12.000]  做了這個決定
[00:02:12.000 --> 00:02:14.000]  我想到很有意思
[00:02:14.000 --> 00:02:17.000]  其實神對我們每個人的呼召都很不同
[00:02:17.000 --> 00:02:19.000]  有些去神學院裝備
[00:02:19.000 --> 00:02:21.000]  去做傳導人
[00:02:21.000 --> 00:02:23.000]  有些就在工作裡面
[00:02:23.000 --> 00:02:25.000]  在社會裡面做見證
[00:02:25.000 --> 00:02:28.000]  無論哪一個可能
[00:02:28.000 --> 00:02:30.000]  都是在神的恩典裡面
[00:02:30.000 --> 00:02:33.000]  我們都可以給神很大的使用
[00:02:33.000 --> 00:02:36.000]  但是同樣有一樣東西是不會例外的
[00:02:36.000 --> 00:02:39.000]  神願意我們每個人去成長
[00:02:39.000 --> 00:02:42.000]  以致我們的生命可以做美好的見證
[00:02:42.000 --> 00:02:44.000]  其實神做我們
[00:02:44.000 --> 00:02:47.000]  當我們去回轉歸向主耶穌的時候
[00:02:47.000 --> 00:02:49.000]  神已經有一個計劃
[00:02:49.000 --> 00:02:51.000]  叫我們去成為一個
[00:02:51.000 --> 00:02:55.000]  祂的樣式的生活
[00:02:55.000 --> 00:02:58.000]  以致我們可以參與侍奉
[00:02:58.000 --> 00:03:00.000]  成為別人的祝福
[00:03:00.000 --> 00:03:01.000]  這是神的心意
[00:03:01.000 --> 00:03:02.000]  對每個信徒都有的
[00:03:02.000 --> 00:03:04.000]  但是有時候我們想想信徒
[00:03:04.000 --> 00:03:06.000]  我們對我們基督徒
[00:03:06.000 --> 00:03:09.000]  我們的一個看法
[00:03:09.000 --> 00:03:10.000]  可能有不同
[00:03:10.000 --> 00:03:12.000]  可能覺得我信了主
[00:03:12.000 --> 00:03:13.000]  我又平安
[00:03:13.000 --> 00:03:15.000]  我就回來教會
[00:03:15.000 --> 00:03:17.000]  變成我們的生活
