
[00:00:00.000 --> 00:00:06.880]  我們來看看今天這個題目
[00:00:06.880 --> 00:00:09.040]  他說「誰是真正的巨人」
[00:00:09.040 --> 00:00:13.040]  我們知道哥利亞是一個大巨人
[00:00:13.040 --> 00:00:16.320]  對手就是大衛,我們都熟悉的
[00:00:16.320 --> 00:00:18.960]  大衛只不過是一個少年人
[00:00:18.960 --> 00:00:20.560]  從你的圖可以看到
[00:00:20.560 --> 00:00:23.760]  雖然他們的繪畫不是全部很準確
[00:00:23.760 --> 00:00:25.680]  但是你可以看到
[00:00:25.680 --> 00:00:28.560]  那個身量是差很遠的
[00:00:28.560 --> 00:00:31.600]  這個故事我相信我們很多人都聽過
[00:00:31.600 --> 00:00:34.320]  特別是我們的新聞仔兒童主學
[00:00:34.320 --> 00:00:36.560]  甚至是我們青年人
[00:00:36.560 --> 00:00:41.520]  以及我們成年人都不會陌生的
[00:00:41.520 --> 00:00:45.920]  但是誰是真正的巨人呢?
[00:00:45.920 --> 00:00:47.760]  當我這樣問的時候
[00:00:47.760 --> 00:00:49.840]  可能大家已經有答案了
[00:00:49.840 --> 00:00:53.520]  很明顯這個故事的結束
[00:00:53.520 --> 00:00:58.640]  讓我們知道誰是勝利者
[00:00:58.640 --> 00:01:00.240]  不一定是哥利亞
[00:01:00.240 --> 00:01:01.600]  雖然他這麼大隻
[00:01:01.600 --> 00:01:05.200]  但是誰是真正的巨人呢?
[00:01:05.200 --> 00:01:06.560]  當我們這樣問的時候
[00:01:06.560 --> 00:01:08.720]  我們相信大家都可以明白
[00:01:08.720 --> 00:01:12.000]  原來真正的巨人不只是打贏
[00:01:12.000 --> 00:01:15.600]  而是他在屬靈上是得勝的
[00:01:15.600 --> 00:01:18.960]  在屬靈上得勝以至神得到榮耀
[00:01:18.960 --> 00:01:22.400]  這個就是故事的中心
[00:01:22.400 --> 00:01:24.720]  或者它最重要的訊息
[00:01:24.720 --> 00:01:26.400]  我們讀一讀這段經文
[00:01:26.400 --> 00:01:28.160]  我選讀是很長的
[00:01:28.160 --> 00:01:31.360]  我們讀大概十幾二十節
[00:01:31.360 --> 00:01:33.040]  了解故事重溫一下
[00:01:33.040 --> 00:01:35.360]  萬一你沒聽過這個故事
[00:01:35.360 --> 00:01:37.840]  你也可以知道聖經的記載
[00:01:37.840 --> 00:01:41.760]  我將它中英文一節一節放出來
[00:01:41.760 --> 00:01:43.200]  我讀英文
[00:01:43.200 --> 00:01:46.080]  希望那些新聞仔兒童可以投入
[00:01:46.080 --> 00:01:49.040]  然後我們成年人讀看中文
[00:01:49.040 --> 00:01:50.240]  我就不讀出來了
[00:01:50.240 --> 00:01:54.000]  我們一起看銀幕就可以了
[00:02:20.240 --> 00:02:48.080]  (英文)
[00:02:48.080 --> 00:03:00.720]  (英文)
[00:03:00.720 --> 00:03:27.120]  (英文)
[00:03:27.120 --> 00:03:36.960]  (英文)
[00:03:36.960 --> 00:03:49.200]  (英文)
[00:03:49.200 --> 00:03:53.840]  (英文)
[00:03:53.840 --> 00:03:57.040]  (英文)
[00:03:57.040 --> 00:04:24.400]  (英文)
[00:04:24.400 --> 00:04:27.360]  這是當時打仗的情況
[00:04:27.360 --> 00:04:29.680]  大家選一個代表出來
[00:04:29.680 --> 00:04:31.280]  去打仗
[00:04:31.280 --> 00:04:33.440]  我們看過很多古代片都是這樣的
[00:04:33.440 --> 00:04:34.480]  一個打一個
[00:04:34.480 --> 00:04:36.400]  代表了全國軍
[00:04:36.400 --> 00:04:38.160]  當然
[00:04:38.160 --> 00:04:40.560]  最後都會有機會一起打的
[00:04:40.560 --> 00:04:44.400]  不過如果那個代表打贏了
[00:04:44.400 --> 00:04:47.200]  基本上就可以宣告勝利了
[00:04:47.200 --> 00:04:49.360]  當時我們看到這個
[00:04:49.360 --> 00:04:51.280]  菲利士人
[00:04:51.280 --> 00:04:53.280]  和以色列人
[00:04:53.280 --> 00:04:58.240]  他們在疏哥這個地方打仗
[00:04:58.240 --> 00:05:00.400]  所以我們看到
[00:05:00.400 --> 00:05:02.400]  其實這裡沒有讀到
[00:05:02.400 --> 00:05:04.400]  他們已經有40天
[00:05:04.400 --> 00:05:08.080]  這個菲利士人出來罵戰
[00:05:08.080 --> 00:05:10.560]  就是說你哪個人出來跟我打
[00:05:10.560 --> 00:05:12.880]  打贏了的
[00:05:12.880 --> 00:05:14.720]  我輸了就服於你
[00:05:14.720 --> 00:05:17.280]  你輸了就服於我們
[00:05:17.280 --> 00:05:19.520]  結果這個巨人這麼大隻
[00:05:19.520 --> 00:05:20.800]  九尺多高
[00:05:20.800 --> 00:05:24.080]  我們現在的NBA玩家
[00:05:24.080 --> 00:05:24.960]  都是七尺多
[00:05:24.960 --> 00:05:26.560]  沒有超過八尺的
[00:05:26.560 --> 00:05:28.320]  好像沒有
[00:05:28.320 --> 00:05:30.880]  九尺多
[00:05:30.880 --> 00:05:32.320]  應該如果嚴格講
[00:05:32.320 --> 00:05:33.840]  聖經記載是九尺五
[00:05:33.840 --> 00:05:35.680]  中文記載
[00:05:35.680 --> 00:05:38.480]  九尺五這麼高
[00:05:38.480 --> 00:05:40.400]  而且還有一個問題就是
[00:05:40.400 --> 00:05:41.600]  他裝備很強
[00:05:41.600 --> 00:05:46.800]  他的頭盔、裝甲、槍
[00:05:46.800 --> 00:05:49.200]  還有一個人前面幫他拿刀
[00:05:49.200 --> 00:05:51.840]  在前面罵陣
[00:05:51.840 --> 00:05:54.960]  來作威勢
[00:05:54.960 --> 00:05:56.960]  我們看到這樣的情況
[00:05:56.960 --> 00:05:58.960]  這些以色列人就很害怕
[00:05:58.960 --> 00:06:02.160]  結果誰敢出去跟他迎戰
[00:06:02.160 --> 00:06:03.440]  等了多久
[00:06:03.440 --> 00:06:05.040]  等了40天
[00:06:05.040 --> 00:06:05.840]  40天
[00:06:05.840 --> 00:06:07.200]  一個多月
