
[00:00:00.000 --> 00:00:02.760]  港福堂的弟兄姊妹平安
[00:00:02.760 --> 00:00:07.680]  很高興今天可以透過網絡來和大家見面
[00:00:07.680 --> 00:00:12.000]  很可惜我們不可以有實體的敬拜
[00:00:12.000 --> 00:00:14.360]  其實在七月中的時候
[00:00:14.360 --> 00:00:19.840]  我和我的同工已經預備買飛機票來香港服侍
[00:00:19.840 --> 00:00:25.040]  我們真的很盼望來到港福和大家見面
[00:00:25.040 --> 00:00:28.840]  但是就在買機票之前的一天
[00:00:28.840 --> 00:00:34.600]  我們就聽到香港第三波的疫情爆發了
[00:00:34.600 --> 00:00:38.680]  所以跟國風傳道來商量之後
[00:00:38.680 --> 00:00:43.720]  都是覺得可能這次要取消這個行程
[00:00:43.720 --> 00:00:46.560]  其實心裏面很不高興
[00:00:46.560 --> 00:00:51.960]  但是同時我感謝神保守我們每一個人平安
[00:00:51.960 --> 00:00:55.240]  因為我們的生命都在祂的手裏面
[00:00:55.240 --> 00:00:59.400]  而我們的行動都在祂的手裏面
[00:00:59.400 --> 00:01:02.120]  所以我們要謙卑的來到祂面前
[00:01:02.120 --> 00:01:04.880]  讓祂帶領我們每一步
[00:01:04.880 --> 00:01:08.400]  因為祂要被讚美要被尊崇
[00:01:08.400 --> 00:01:10.200]  因為祂是神
[00:01:10.200 --> 00:01:14.080]  也都希望以後有機會可以來到港福堂
[00:01:14.080 --> 00:01:17.360]  和大家一起來到有實體敬拜
[00:01:17.360 --> 00:01:19.880]  一起來到讚美神
[00:01:19.880 --> 00:01:24.760]  今天我們看的詩篇就是詩篇100篇
[00:01:24.760 --> 00:01:28.440]  很短的詩篇只有五節
[00:01:28.440 --> 00:01:31.840]  但是這個詩篇揚入著一種的喜樂
[00:01:31.840 --> 00:01:35.520]  邀請我們來到歡呼歌唱
[00:01:35.520 --> 00:01:38.840]  英文它說Make a joyful noise
[00:01:38.840 --> 00:01:42.520]  普天下,夭香耶和華歡呼
[00:01:42.520 --> 00:01:45.320]  用喜樂的聲音來讚美神
[00:01:45.320 --> 00:01:49.160]  你一定會發覺裏面是充滿喜樂的
[00:01:49.160 --> 00:01:53.200]  詩人不單止教導我們要向主歌唱
[00:01:53.200 --> 00:01:57.880]  也都要讓我們知道為什麼我們要向主歌唱
[00:01:57.880 --> 00:01:59.320]  因為祂是神
[00:01:59.320 --> 00:02:01.240]  因為祂是我們的牧人
[00:02:01.240 --> 00:02:04.520]  所以我們用感謝進入祂的殿
[00:02:04.520 --> 00:02:07.080]  因為祂是良善的
[00:02:07.080 --> 00:02:08.880]  充滿慈愛的
[00:02:08.880 --> 00:02:11.480]  祂是信實的主
[00:02:11.480 --> 00:02:14.480]  良善的主不會作弄我們
[00:02:14.480 --> 00:02:18.360]  也都會一生與我們同行
[00:02:18.360 --> 00:02:20.400]  大概六十年前
[00:02:20.400 --> 00:02:22.960]  有一個很出名的美國牧師
[00:02:22.960 --> 00:02:24.960]  講了一篇道
[00:02:24.960 --> 00:02:27.200]  一九六一年的時候
[00:02:27.200 --> 00:02:31.040]  他那篇道的主題叫做敬拜
[00:02:31.040 --> 00:02:34.080]  是教會失去了的珍寶
[00:02:34.080 --> 00:02:39.440]  裏面他提到我們每一個人是為敬拜而被造的
[00:02:39.440 --> 00:02:41.440]  神創造了我們
[00:02:41.440 --> 00:02:46.200]  是要讓我們永遠去敬拜和愛慕祂
[00:02:46.200 --> 00:02:48.720]  由現在直到永遠
[00:02:48.720 --> 00:02:51.080]  永恆的一個動作
[00:02:51.080 --> 00:02:53.080]  我們由信主那一刻
[00:02:53.080 --> 00:02:56.760]  直到永遠我們都要來敬拜神
[00:02:56.760 --> 00:03:00.640]  敬拜就是我們對啟示自己的神
[00:03:00.640 --> 00:03:03.560]  一種合宜的回應
[00:03:03.560 --> 00:03:05.760]  但是圖書牧師說
[00:03:05.760 --> 00:03:07.240]  很可惜
[00:03:07.240 --> 00:03:11.640]  很多的教會不明白敬拜的真義
[00:03:11.640 --> 00:03:15.600]  有很多的教會他看到有兩種的問題
[00:03:15.600 --> 00:03:20.600]  第一就是用理性來替代了奧秘
[00:03:20.600 --> 00:03:22.920]  我們做很多的研經
[00:03:22.920 --> 00:03:26.320]  研究聖經裏面很多的話語
[00:03:26.320 --> 00:03:29.960]  但是我們卻對神失去了熱情
[00:03:29.960 --> 00:03:31.720]  但是另外一方面
[00:03:31.720 --> 00:03:33.120]  另外一個極端
[00:03:33.120 --> 00:03:37.080]  就是用情感來代替了敬拜
[00:03:37.080 --> 00:03:41.840]  敬拜就是一種情感的宣洩
[00:03:41.840 --> 00:03:46.400]  當時三十年前我看到他這篇講道
[00:03:46.400 --> 00:03:48.760]  我覺得很扎心
[00:03:48.760 --> 00:03:51.240]  也都是因為這篇講道
[00:03:51.240 --> 00:03:53.880]  我將我的生命獻給神
[00:03:53.880 --> 00:03:57.360]  我願意一生藉著音樂
[00:03:57.360 --> 00:04:02.840]  藉著我的生命來幫助弟兄姊妹來敬拜
[00:04:02.840 --> 00:04:06.320]  做了三十年身心音樂事工
[00:04:06.320 --> 00:04:09.680]  我們的確看到有很多的進步
[00:04:09.680 --> 00:04:15.200]  當時的教會其實一樣有同樣的掙扎
[00:04:15.200 --> 00:04:18.440]  當時的教會有很多的爭戰
[00:04:18.440 --> 00:04:21.320]  有很多關於音樂風格
[00:04:21.320 --> 00:04:24.240]  敬拜形式的爭戰
[00:04:24.240 --> 00:04:26.960]  當時我們來到去服侍
