
[00:00:00.000 --> 00:00:01.440]  多謝天父的恩典
[00:00:01.440 --> 00:00:07.120]  我們今天可以一起在禮堂裡相聚
[00:00:07.120 --> 00:00:08.440]  是不是?
[00:00:08.440 --> 00:00:10.200]  很久不見了
[00:00:10.200 --> 00:00:14.040]  這是很難得的時刻
[00:00:14.040 --> 00:00:16.280]  上一堂有弟兄告訴我
[00:00:16.280 --> 00:00:19.760]  原來第一次講啟示錄
[00:00:19.760 --> 00:00:23.120]  不是今年的年頭
[00:00:23.120 --> 00:00:26.640]  竟然是去年的年頭
[00:00:26.640 --> 00:00:30.360]  我也想不到是這麼久的時間
[00:00:30.360 --> 00:00:37.560]  昨晚有人問我為什麼在一個這麼特別的題目中
[00:00:37.560 --> 00:00:39.360]  昨晚有人問
[00:00:39.360 --> 00:00:41.960]  陳牧師你是不是
[00:00:41.960 --> 00:00:44.720]  講完這次之後就不講了
[00:00:44.720 --> 00:00:47.320]  要先此聲明
[00:00:47.320 --> 00:00:50.200]  就是主若許可 一式常傳
[00:00:50.200 --> 00:00:52.960]  有機會講 又沒有人不讓我講
[00:00:52.960 --> 00:00:54.680]  我也是會講的
[00:00:54.680 --> 00:00:56.600]  不過來到啟示錄
[00:00:56.600 --> 00:00:59.440]  最後的這兩章
[00:00:59.440 --> 00:01:02.440]  就是始終有一個的終結
[00:01:02.440 --> 00:01:06.160]  也是要告訴大家
[00:01:06.160 --> 00:01:09.760]  我們無論今天的世界是怎樣
[00:01:09.760 --> 00:01:14.200]  我們都不可以失去盼望
[00:01:14.200 --> 00:01:18.280]  失去盼望是很可悲的
[00:01:18.280 --> 00:01:22.080]  沒有望的人很危險
[00:01:22.080 --> 00:01:27.400]  沒有望的人很痛苦
[00:01:27.400 --> 00:01:31.600]  不知道你盼望的時候在想什麼
[00:01:31.600 --> 00:01:35.920]  你看世界 看社會 看人生
[00:01:35.920 --> 00:01:36.920]  你看到什麼
[00:01:36.920 --> 00:01:40.920]  邱吉爾曾經問一個很好的問題
[00:01:40.920 --> 00:01:48.080]  他那時候已經打過二次世界大戰
[00:01:48.080 --> 00:01:50.160]  贏了德軍
[00:01:50.160 --> 00:01:53.960]  歐洲也是一直在恢復
[00:01:53.960 --> 00:01:56.960]  但是原來你贏了一場仗
[00:01:56.960 --> 00:02:00.320]  你面對著那個世界 面對著那個社會
[00:02:00.320 --> 00:02:03.760]  你仍然有很多的難題要去解決
[00:02:03.760 --> 00:02:05.960]  然後他問一個問題
[00:02:05.960 --> 00:02:08.720]  這個世界有盼望嗎
[00:02:08.720 --> 00:02:14.000]  當時郭培里去探訪他
[00:02:14.000 --> 00:02:17.160]  很奇怪 一個這麼資深的政治家
[00:02:17.160 --> 00:02:25.040]  一個首相會問一個比較年輕的牧師傳道人
[00:02:25.040 --> 00:02:28.280]  這個這麼沉重的問題
[00:02:28.280 --> 00:02:31.360]  幸好郭培里當時又給他一個這麼好的答案
[00:02:31.360 --> 00:02:34.360]  我今天也是用這個答案
[00:02:34.360 --> 00:02:39.760]  來成為我們說啟示錄的引言
[00:02:39.760 --> 00:02:42.160]  大家記得郭培里吧
[00:02:42.160 --> 00:02:46.680]  不記得的話就可以去搜尋一下Google
[00:02:46.680 --> 00:02:49.560]  差不多六尺四寸這麼高
[00:02:49.560 --> 00:02:52.560]  滿頭金髮捲曲
[00:02:52.560 --> 00:02:59.160]  眼睛是藍色透徹的
[00:02:59.160 --> 00:03:04.560]  一個真的相當英俊的人
[00:03:04.560 --> 00:03:09.360]  他跟邱吉爾說
[00:03:09.360 --> 00:03:16.360]  首相先生 我知道有盼望
[00:03:16.360 --> 00:03:24.160]  誰知道因為我讀到啟示錄最後的那兩章
[00:03:24.160 --> 00:03:26.960]  我知道有盼望
[00:03:26.960 --> 00:03:31.960]  我想我們豐盛生命堂的弟兄姊妹在前面的歲月
