
[00:00:00.000 --> 00:00:07.000]  好 全印堂 你們這蒙我父賜福的弟兄姊妹 你們好
[00:00:07.000 --> 00:00:10.000]  今日如果我們看回教會的年曆來說
[00:00:10.000 --> 00:00:14.000]  就是所謂教會年的最後一天
[00:00:14.000 --> 00:00:16.000]  就是基督君亡日
[00:00:16.000 --> 00:00:20.000]  而下一個主日就會進入一個叫張臨期主日
[00:00:20.000 --> 00:00:23.000]  跟著四個主日之後就到聖誕節
[00:00:23.000 --> 00:00:27.000]  這段時間就是一個新舊的交替
[00:00:27.000 --> 00:00:30.000]  這段經文就是經課三代經課
[00:00:30.000 --> 00:00:32.000]  即傳統教會所用的經文
[00:00:32.000 --> 00:00:34.000]  所以對我自己都很大提醒
[00:00:34.000 --> 00:00:36.000]  我們都要知道一件事實
[00:00:36.000 --> 00:00:40.000]  就是任何的警方任何的狀態
[00:00:40.000 --> 00:00:42.000]  都會有結束的一天
[00:00:42.000 --> 00:00:46.000]  我們過去經歷了十多個月
[00:00:46.000 --> 00:00:48.000]  疫情的緣故
[00:00:48.000 --> 00:00:51.000]  我們都好像被人關了坐牢
[00:00:51.000 --> 00:00:54.000]  我們個個好像沒有病變成有病
[00:00:54.000 --> 00:00:56.000]  有些心病有些身體軟弱
[00:00:56.000 --> 00:00:58.000]  很多的問題出現了
[00:00:58.000 --> 00:01:00.000]  今日經文都提醒我們
[00:01:00.000 --> 00:01:03.000]  究竟我們怎樣去在這些處境當中
[00:01:03.000 --> 00:01:04.000]  去找到神的心意呢
[00:01:04.000 --> 00:01:06.000]  或者這些處境怎樣幫助我們
[00:01:06.000 --> 00:01:09.000]  更加去落實我們的信仰關係呢
[00:01:09.000 --> 00:01:12.000]  我用了一個大綱五點式的講道
[00:01:12.000 --> 00:01:14.000]  因為經文裏面
[00:01:14.000 --> 00:01:16.000]  原文裏面 英文裏面是講到right
[00:01:16.000 --> 00:01:18.000]  R-I-G-H-T
[00:01:18.000 --> 00:01:21.000]  有五點 即是右邊也好 正確也好
[00:01:21.000 --> 00:01:23.000]  這個英文字真的很有趣
[00:01:23.000 --> 00:01:25.000]  即是又是右邊又是正確的
[00:01:25.000 --> 00:01:27.000]  這樣就搞錯了
[00:01:27.000 --> 00:01:29.000]  Left or Right
[00:01:29.000 --> 00:01:30.000]  有五個Point
[00:01:30.000 --> 00:01:31.000]  一個Point就是說
[00:01:31.000 --> 00:01:34.000]  我們知道這個王會回來
[00:01:34.000 --> 00:01:36.000]  即是登基
[00:01:36.000 --> 00:01:39.000]  這個君王他會回來的時候
[00:01:39.000 --> 00:01:40.000]  我們知道第一點
[00:01:40.000 --> 00:01:41.000]  這個是世界的結束
[00:01:41.000 --> 00:01:42.000]  第二就是說
[00:01:42.000 --> 00:01:44.000]  有一個審判標準
[00:01:44.000 --> 00:01:47.000]  這個審判標準是建基於我們日常生活當中
[00:01:47.000 --> 00:01:50.000]  與人的相交的處境裏面
[00:01:50.000 --> 00:01:52.000]  怎樣可以流露出我們天國子民的身份
[00:01:52.000 --> 00:01:54.000]  那個特徵出來
[00:01:54.000 --> 00:01:56.000]  那個過程當中我們有沒有領受到
[00:01:56.000 --> 00:01:57.000]  或者我們有沒有經歷到
[00:01:57.000 --> 00:02:00.000]  上帝那個豐盛的恩賜
[00:02:00.000 --> 00:02:02.000]  我們的本質有沒有流露出來呢
[00:02:02.000 --> 00:02:05.000]  然後我們留意我們有危機的
[00:02:05.000 --> 00:02:08.000]  我們不要落入魔鬼的試探當中
[00:02:08.000 --> 00:02:09.000]  因為我們將來
[00:02:09.000 --> 00:02:13.000]  如果我們真的不幸地跟他們同流合污的時候
[00:02:13.000 --> 00:02:15.000]  我們都會面對同樣的懲罰
[00:02:15.000 --> 00:02:17.000]  所以我們更加知道
[00:02:17.000 --> 00:02:20.000]  我們能夠避免這些陷阱的時候
[00:02:20.000 --> 00:02:23.000]  我們可以得到二人超越的獎賞
[00:02:23.000 --> 00:02:24.000]  超過我們的所作
[00:02:24.000 --> 00:02:26.000]  超過我們的所想和所求
[00:02:26.000 --> 00:02:27.000]  回看經文的時候
[00:02:27.000 --> 00:02:30.000]  是二十五章馬太福音
[00:02:30.000 --> 00:02:32.000]  之前有兩段經文都提醒我們的
[00:02:32.000 --> 00:02:34.000]  這個是一脈相承的
[00:02:34.000 --> 00:02:36.000]  在馬太寫的時候很清楚
[00:02:36.000 --> 00:02:39.000]  一到十三節是在講十個童女
[00:02:39.000 --> 00:02:41.000]  她等新郎哥來的時候
[00:02:41.000 --> 00:02:45.000]  五個有準備一些多一點的油
[00:02:45.000 --> 00:02:48.000]  有五個沒有預備的油
[00:02:48.000 --> 00:02:50.000]  到新郎遲了來的時候
[00:02:50.000 --> 00:02:53.000]  各個睡著了有五個油都用完了
[00:02:53.000 --> 00:02:55.000]  有五個雖然油都用完了
[00:02:55.000 --> 00:02:56.000]  但他有儲備
[00:02:56.000 --> 00:02:58.000]  所以他點著油燈
[00:02:58.000 --> 00:03:01.000]  歡迎新郎就可以進入現席裡面
[00:03:01.000 --> 00:03:04.000]  提醒我們我們不知道這個時間是什麼時候
[00:03:04.000 --> 00:03:06.000]  但總是會來的
[00:03:06.000 --> 00:03:08.000]  第二個比喻就是告訴我們
[00:03:08.000 --> 00:03:11.000]  有三個僕人主人離開的時候
[00:03:11.000 --> 00:03:14.000]  將一千兩、二千兩和五千兩
[00:03:14.000 --> 00:03:15.000]  交給他們
[00:03:15.000 --> 00:03:17.000]  一千兩原文是一個tenant
[00:03:17.000 --> 00:03:20.000]  二千兩是兩個tenant
[00:03:20.000 --> 00:03:21.000]  五千兩是五個tenant
[00:03:21.000 --> 00:03:25.000]  即是我們英文的天份或者天才
[00:03:25.000 --> 00:03:26.000]  無論你有一千也好
[00:03:26.000 --> 00:03:27.000]  有二千也好
[00:03:27.000 --> 00:03:28.000]  五千也好
[00:03:28.000 --> 00:03:30.000]  你就是按照主人對你的期望
[00:03:30.000 --> 00:03:34.000]  去營運這些財富
[00:03:34.000 --> 00:03:36.000]  以至主人回來的時候
[00:03:36.000 --> 00:03:37.000]  不知道什麼時候
[00:03:37.000 --> 00:03:38.000]  總有一天回來的時候
[00:03:38.000 --> 00:03:39.000]  回來做什麼
[00:03:39.000 --> 00:03:42.000]  秋後算帳
[00:03:42.000 --> 00:03:44.000]  總有一天我們要交帳
[00:03:44.000 --> 00:03:46.000]  在神面前我們怎樣交帳呢
[00:03:46.000 --> 00:03:48.000]  一想起交帳我們都害怕
[00:03:48.000 --> 00:03:49.000]  今時今日來講
[00:03:49.000 --> 00:03:50.000]  不知道怎麼辦呢
[00:03:50.000 --> 00:03:53.000]  無論如何這五點提醒我們
[00:03:53.000 --> 00:03:55.000]  總有一天耶穌會回來
[00:03:55.000 --> 00:03:57.000]  他是以一個王者的身份
[00:03:57.000 --> 00:03:58.000]  萬王之王
