
[00:00:00.000 --> 00:00:04.060]  等於我們一齊禱告
[00:00:04.060 --> 00:00:06.600]  天父上帝我們感謝祢
[00:00:06.600 --> 00:00:07.640]  我們真的要感謝祢
[00:00:07.640 --> 00:00:10.480]  因為能力更大的耶穌基督已經復活了
[00:00:10.480 --> 00:00:13.340]  我們感謝祢賜下祢的聖靈
[00:00:13.340 --> 00:00:19.280]  讓我們等於我們今天一齊去聽祢的道
[00:00:19.280 --> 00:00:21.020]  求祢改變我們的心
[00:00:21.020 --> 00:00:25.800]  使我們真的明白祢是一個讓我們悔改的神
[00:00:25.800 --> 00:00:28.100]  祢是一個饒恕我們的神
[00:00:28.100 --> 00:00:29.300]  我們感謝祢
[00:00:29.300 --> 00:00:30.500]  與我們同在
[00:00:30.500 --> 00:00:32.300]  禱告奉主耶穌基督的名口
[00:00:32.300 --> 00:00:35.300]  Amen
[00:00:35.300 --> 00:00:36.240]  弟兄姊妹
[00:00:36.240 --> 00:00:37.940]  我想問你一個問題
[00:00:37.940 --> 00:00:39.900]  福音是甚麼意思呢?
[00:00:39.900 --> 00:00:42.480]  其實我知道大家都記得
[00:00:42.480 --> 00:00:44.840]  但我們經常說福音
[00:00:44.840 --> 00:00:47.740]  又好像沒怎麼想起它的意思
[00:00:47.740 --> 00:00:51.220]  今天我們就看看福音是甚麼意思
[00:00:51.220 --> 00:00:53.580]  福音當然就是好消息
[00:00:53.580 --> 00:00:58.620]  所以我們如果看耶穌基督好消息的起頭
[00:00:58.620 --> 00:01:00.820]  是不是原汁原味一點呢?
[00:01:00.820 --> 00:01:02.460]  弟兄姊妹
[00:01:02.460 --> 00:01:05.860]  最近有甚麼好消息呢?
[00:01:05.860 --> 00:01:10.040]  最近我在Facebook看到朋友有些嬰兒出生了
[00:01:10.040 --> 00:01:12.340]  等了很久
[00:01:12.340 --> 00:01:13.800]  懷胎十月
[00:01:13.800 --> 00:01:15.480]  終於出生了
[00:01:15.480 --> 00:01:16.180]  真的是好消息
[00:01:16.180 --> 00:01:17.180]  很開心
[00:01:17.180 --> 00:01:19.820]  很多人拍照、留言
[00:01:19.820 --> 00:01:21.920]  我自己也替他們很開心
[00:01:21.920 --> 00:01:23.580]  還有甚麼好消息呢?
[00:01:23.580 --> 00:01:25.580]  有沒有人要買車呢?
[00:01:25.580 --> 00:01:26.880]  我有個弟兄
[00:01:26.880 --> 00:01:28.260]  他需要一輛車
[00:01:28.260 --> 00:01:29.820]  他又買了
[00:01:29.820 --> 00:01:33.200]  你知不知道一個好交易就是一輛便宜的車呢?
[00:01:33.200 --> 00:01:36.400]  江湖傳聞要等很久
[00:01:36.400 --> 00:01:37.700]  他又等到
[00:01:37.700 --> 00:01:39.160]  算起來
[00:01:39.160 --> 00:01:41.800]  他三年裡好像給了幾百元
[00:01:41.800 --> 00:01:44.400]  就開了三年的車
[00:01:44.400 --> 00:01:46.100]  好像偷回來一樣
[00:01:46.100 --> 00:01:48.440]  我覺得這個真的是好消息
[00:01:48.440 --> 00:01:50.180]  如果你要買車
[00:01:50.180 --> 00:01:52.820]  你真的等到這個好交易
[00:01:52.820 --> 00:01:54.080]  還要等甚麼?
[00:01:54.080 --> 00:01:56.140]  馬上就去吧
[00:01:56.140 --> 00:01:58.220]  還有甚麼好消息呢?
[00:01:58.220 --> 00:02:00.960]  不如我們想想將會有甚麼好消息吧
[00:02:00.960 --> 00:02:02.560]  將會有甚麼好消息呢?
[00:02:02.560 --> 00:02:03.960]  疫苗
[00:02:03.960 --> 00:02:05.560]  疫苗就是好消息
[00:02:05.560 --> 00:02:07.100]  江湖傳聞呢
[00:02:07.100 --> 00:02:10.300]  疫苗大概下年才有
[00:02:10.300 --> 00:02:12.100]  等到就是好消息了
[00:02:12.100 --> 00:02:15.100]  不過大家都等到頸都長了
[00:02:15.100 --> 00:02:16.200]  我們等到的話
[00:02:16.200 --> 00:02:18.100]  一起去喝茶
[00:02:18.100 --> 00:02:19.380]  其實弟兄姊妹
[00:02:19.380 --> 00:02:24.840]  這些都是今天我們很多人喜歡的好消息
[00:02:24.840 --> 00:02:26.380]  所謂的好消息
[00:02:26.380 --> 00:02:28.040]  但是
[00:02:28.040 --> 00:02:30.680]  今天我們不是說這些
[00:02:30.680 --> 00:02:31.780]  今天我們說甚麼呢?
[00:02:31.780 --> 00:02:34.320]  我們說真正的好消息
[00:02:34.320 --> 00:02:35.820]  真正的好消息就是
[00:02:35.820 --> 00:02:38.560]  耶穌基督的福音
[00:02:38.560 --> 00:02:39.220]  弟兄姊妹
[00:02:39.220 --> 00:02:40.100]  我們要記得
[00:02:40.100 --> 00:02:42.400]  耶穌基督是重駕
[00:02:42.400 --> 00:02:43.860]  用祂的補血
[00:02:43.860 --> 00:02:45.640]  換取我們的救恩
[00:02:45.640 --> 00:02:47.240]  這個好消息
[00:02:47.240 --> 00:02:48.940]  沒有東西能夠比較的
[00:02:48.940 --> 00:02:51.840]  弟兄姊妹
[00:02:51.840 --> 00:02:52.740]  弟兄姊妹
[00:02:52.740 --> 00:02:54.940]  車會壞
[00:02:54.940 --> 00:02:58.040]  疫苗不會讓我們長生不老
[00:02:58.040 --> 00:02:59.140]  說得坦白一點
[00:02:59.140 --> 00:03:00.240]  我們出生
[00:03:00.240 --> 00:03:01.820]  我們都會死
[00:03:01.820 --> 00:03:03.620]  只有福音
[00:03:03.620 --> 00:03:05.280]  只有福音
[00:03:05.280 --> 00:03:09.020]  才可以引導我們去永生
[00:03:09.020 --> 00:03:12.960]  這是一個永恆的價值
[00:03:12.960 --> 00:03:15.260]  你記不記得有個廣告叫做
[00:03:15.260 --> 00:03:17.300]  磚石恆久遠
[00:03:17.300 --> 00:03:19.900]  一火永流傳
[00:03:19.900 --> 00:03:23.740]  我小時候聽見這個口號的時候
[00:03:23.740 --> 00:03:25.340]  我覺得這麼厲害
[00:03:25.340 --> 00:03:27.140]  難怪很多人那時候去買磚石
[00:03:27.140 --> 00:03:29.880]  剛才我搜尋一下
[00:03:29.880 --> 00:03:31.340]  原來現在也有
[00:03:31.340 --> 00:03:33.780]  磚石恆久遠
[00:03:33.780 --> 00:03:36.720]  一火永流傳
[00:03:36.720 --> 00:03:38.480]  你知不知道是賣甚麼的?
[00:03:38.480 --> 00:03:40.020]  磚石吧
[00:03:40.020 --> 00:03:42.420]  但我覺得他不單是賣磚石
[00:03:42.420 --> 00:03:45.700]  他是在賣一個永恆的價值
[00:03:45.700 --> 00:03:47.420]  一火永流傳
[00:03:47.420 --> 00:03:48.600]  你想一下
