
[00:00:00.000 --> 00:00:07.000]  在這段時間我們一起低頭禱告
[00:00:07.000 --> 00:00:10.000]  上主願祢的靈與我們同在
[00:00:10.000 --> 00:00:16.000]  也讓我們能夠明白祢在當中對我們的說話
[00:00:16.000 --> 00:00:18.000]  祢教導我們的心意
[00:00:18.000 --> 00:00:21.000]  但願祢的話語成為我們生活的幫助
[00:00:21.000 --> 00:00:24.000]  又能夠見證榮耀主祢的名
[00:00:24.000 --> 00:00:27.000]  以上禱告是奉主耶穌基督的聖名祈求
[00:00:27.000 --> 00:00:29.000]  誠心所願
[00:00:30.000 --> 00:00:34.000]  其實我選擇試題犯的經文
[00:00:34.000 --> 00:00:37.000]  是因為教會的經課
[00:00:37.000 --> 00:00:39.000]  如果在默想上
[00:00:39.000 --> 00:00:43.000]  聖誕日之後進入聖誕期
[00:00:43.000 --> 00:00:48.000]  禮拜六 第二天 聖誕日之後
[00:00:48.000 --> 00:00:51.000]  就會默想試題犯
[00:00:51.000 --> 00:00:54.000]  你會覺得很奇怪
[00:00:54.000 --> 00:00:57.000]  昨天明明是說出生
[00:00:57.000 --> 00:00:59.000]  今天是說死亡
[00:00:59.000 --> 00:01:07.000]  昨天是說耶穌的道成肉身
[00:01:07.000 --> 00:01:12.000]  今天是說試題犯如何離開他的肉身
[00:01:12.000 --> 00:01:14.000]  在那一段時間
[00:01:14.000 --> 00:01:20.000]  今天是藉著試題犯去思考
[00:01:20.000 --> 00:01:23.000]  耶穌道成肉身
[00:01:23.000 --> 00:01:30.000]  而試題犯又如何繼承耶穌的道成肉身呢?
[00:01:30.000 --> 00:01:35.000]  所以今天我們一起思考
[00:01:35.000 --> 00:01:42.000]  看看今天給我們的領受是如何
[00:01:42.000 --> 00:01:47.000]  試題犯在《使徒行傳》記載
[00:01:47.000 --> 00:01:51.000]  由第六章到第七章都有
[00:01:51.000 --> 00:01:55.000]  鼓勵大家如果有時間
[00:01:55.000 --> 00:02:01.000]  可以在家裏多看一次
[00:02:01.000 --> 00:02:03.000]  第六章和第七章
[00:02:03.000 --> 00:02:05.000]  如何形容試題犯
[00:02:05.000 --> 00:02:09.000]  在當中看看有沒有更多的領受
[00:02:09.000 --> 00:02:11.000]  第六章說
[00:02:11.000 --> 00:02:16.000]  有一群最初的教會
[00:02:16.000 --> 00:02:21.000]  我們知道他們繁物公用
[00:02:21.000 --> 00:02:26.000]  一起去吃飯
[00:02:26.000 --> 00:02:30.000]  彼此去分配他們有的東西
[00:02:30.000 --> 00:02:33.000]  但是發現有些人
[00:02:33.000 --> 00:02:35.000]  有些婦女特別是寡婦
[00:02:35.000 --> 00:02:39.000]  他們是說希臘語的猶太人
[00:02:39.000 --> 00:02:44.000]  他們每次分東西都分得不足夠
[00:02:44.000 --> 00:02:47.000]  所以有人投訴
[00:02:47.000 --> 00:02:52.000]  埋怨這群說希臘語的猶太人
[00:02:52.000 --> 00:02:55.000]  他們好像被忽略
