
[00:00:00.000 --> 00:00:02.300]  弟兄姊妹 姊妹平安
[00:00:02.300 --> 00:00:05.040]  今天要分享的題目是
[00:00:05.040 --> 00:00:07.220]  我的當需 夠有
[00:00:07.220 --> 00:00:10.900]  2020年是一個非常
[00:00:10.900 --> 00:00:12.780]  不太一樣的一年
[00:00:12.780 --> 00:00:15.360]  當全世界
[00:00:15.360 --> 00:00:17.900]  跳同一首歌
[00:00:17.900 --> 00:00:20.160]  疫苗之歌
[00:00:20.160 --> 00:00:24.480]  當全世界跳同一支舞
[00:00:24.480 --> 00:00:26.220]  抗疫之舞
[00:00:27.060 --> 00:00:30.300]  當全世界打同一種球
[00:00:30.300 --> 00:00:32.860]  新冠之球
[00:00:32.860 --> 00:00:36.220]  這個世界變得不太一樣
[00:00:36.220 --> 00:00:39.580]  你有沒有發覺這半年以來
[00:00:39.580 --> 00:00:42.800]  在整個網絡世界
[00:00:42.800 --> 00:00:44.400]  預言四起
[00:00:44.400 --> 00:00:47.160]  特別是關於未來學
[00:00:47.160 --> 00:00:50.120]  世界末日 主再來
[00:00:50.120 --> 00:00:53.100]  其實路是整個聖經當中
[00:00:53.100 --> 00:00:55.720]  最多人講的一卷書
[00:00:55.900 --> 00:00:59.400]  你就明白2020年真的不一樣
[00:00:59.400 --> 00:01:03.460]  但是我們還是回到聖經當中
[00:01:03.460 --> 00:01:06.100]  到底主再來之前
[00:01:06.100 --> 00:01:07.940]  有什麼預兆
[00:01:07.940 --> 00:01:11.060]  最重要 我們有什麼準備
[00:01:11.060 --> 00:01:13.080]  今天要讀的經文是
[00:01:13.080 --> 00:01:17.360]  馬太福音25章1到13節
[00:01:17.360 --> 00:01:19.020]  我們一起念
[00:01:19.020 --> 00:01:22.920]  那時 天國好比十個童女
[00:01:23.060 --> 00:01:26.320]  拿著燈出去迎接新郎
[00:01:26.320 --> 00:01:28.880]  其中有五個是愚拙的
[00:01:28.880 --> 00:01:31.180]  有五個是聰明的
[00:01:31.180 --> 00:01:35.400]  愚拙的拿著燈 卻沒有帶油
[00:01:35.400 --> 00:01:37.920]  聰明的拿著燈
[00:01:37.920 --> 00:01:40.400]  又剩了油在器皿裡
[00:01:40.400 --> 00:01:43.100]  新郎食言的時候
[00:01:43.100 --> 00:01:45.640]  她們都打頓睡著了
[00:01:45.640 --> 00:01:47.980]  半夜有人喊
[00:01:47.980 --> 00:01:50.480]  看 新郎來了
[00:01:50.620 --> 00:01:53.360]  你們出來迎接他
[00:01:53.360 --> 00:01:57.040]  一些童女就起來 挑亮他們的燈
[00:01:57.040 --> 00:01:59.420]  愚拙的對聰明說
[00:01:59.420 --> 00:02:01.660]  請分點油給我們
[00:02:01.660 --> 00:02:04.280]  因為我們的燈要滅了
[00:02:04.280 --> 00:02:06.460]  聰明的回答
[00:02:06.460 --> 00:02:09.480]  恐怕不夠你我用的
[00:02:09.480 --> 00:02:11.220]  你們還是自己
[00:02:11.220 --> 00:02:13.640]  到賣油的那裡去買吧
[00:02:13.640 --> 00:02:17.400]  她們去買的時候 新郎到了
[00:02:17.400 --> 00:02:19.420]  那預備好的啦
[00:02:19.540 --> 00:02:22.060]  與她進去共赴婚宴
[00:02:22.060 --> 00:02:24.000]  門就關了
[00:02:24.000 --> 00:02:27.780]  其餘的童女隨後也來了 說
[00:02:27.780 --> 00:02:31.440]  主啊 主啊 給我們開門
[00:02:31.440 --> 00:02:34.180]  主卻回答
[00:02:34.180 --> 00:02:36.400]  我實在告訴你們
[00:02:36.400 --> 00:02:38.260]  我不認識你們
[00:02:38.260 --> 00:02:40.860]  所以你們要警醒
[00:02:40.860 --> 00:02:43.780]  因為那日子 那時辰
[00:02:43.780 --> 00:02:45.580]  你們不知道
[00:02:45.580 --> 00:02:48.240]  在《馬太福音》裡面
[00:02:48.240 --> 00:02:51.920]  一共有五個講章 這個是非常有名
[00:02:51.920 --> 00:02:53.680]  很容易去分
[00:02:53.680 --> 00:02:56.380]  那今天那篇的講論呢
[00:02:56.380 --> 00:02:58.860]  就是在最後的一篇的講章
[00:02:58.860 --> 00:02:59.920]  末日論
[00:02:59.920 --> 00:03:02.360]  也是在橄欖山的預言
[00:03:02.360 --> 00:03:04.640]  就是從24、25章
[00:03:04.640 --> 00:03:07.120]  它的背景是怎麼樣呢
[00:03:07.120 --> 00:03:12.100]  當耶穌跟門徒從聖殿走出來的時候
[00:03:12.100 --> 00:03:14.140]  門徒就跟耶穌說
[00:03:14.140 --> 00:03:16.140]  啊 你看 這個聖殿
[00:03:16.380 --> 00:03:19.100]  何等的雄偉 很漂亮
[00:03:19.100 --> 00:03:21.100]  但是耶穌就回答
[00:03:21.100 --> 00:03:25.020]  將來一塊石頭都不會疊在一個石頭上面
[00:03:25.020 --> 00:03:26.460]  就預言到
[00:03:26.460 --> 00:03:30.040]  將會有毀滅性的結局
[00:03:30.040 --> 00:03:32.300]  那門徒就非常緊張
[00:03:32.300 --> 00:03:35.120]  所以在24章的第三節
[00:03:35.120 --> 00:03:37.640]  耶穌坐在橄欖山的時候
[00:03:37.640 --> 00:03:39.640]  對著那個聖殿
[00:03:39.640 --> 00:03:41.640]  門徒私底下
[00:03:41.640 --> 00:03:43.480]  靜悄悄地問他
