
[00:00:00.000 --> 00:00:05.920]  今天分享的題目是作嬌人與神和好的使者
[00:00:05.920 --> 00:00:08.640]  我家裡以前是做製衣的
[00:00:08.640 --> 00:00:10.440]  所以曾經有一段時間
[00:00:10.440 --> 00:00:13.280]  我在一家服裝公司實習
[00:00:13.280 --> 00:00:15.080]  有一天當我實習的時候
[00:00:15.080 --> 00:00:16.040]  有一個同事跟我說
[00:00:16.040 --> 00:00:20.040]  「姚珍,你犯了一個很大的錯誤」
[00:00:20.040 --> 00:00:23.160]  我就說我犯了什麼錯誤
[00:00:23.160 --> 00:00:27.320]  他說「你不應該穿美國的名牌牛仔褲的」
[00:00:27.320 --> 00:00:30.080]  「為什麼我不可以穿美國的名牌牛仔褲?」
[00:00:30.080 --> 00:00:32.280]  他說「你知不知道我們這家服裝公司」
[00:00:32.280 --> 00:00:35.320]  「是在代理美國另一個很大的名牌牛仔褲」
[00:00:35.320 --> 00:00:36.680]  「你在這裡工作」
[00:00:36.680 --> 00:00:39.520]  「你不可以穿那個死對頭牌子的」
[00:00:39.520 --> 00:00:42.000]  「因為如果這樣,客人看到你的時候」
[00:00:42.000 --> 00:00:45.080]  「你怎麼能夠代理這個牌子呢?」
[00:00:45.080 --> 00:00:48.720]  我說「是這樣嗎?糟了,我先回去換褲子」
[00:00:48.720 --> 00:00:50.120]  然後這個同事就教我
[00:00:50.120 --> 00:00:51.400]  「其實公司是很好的」
[00:00:51.400 --> 00:00:56.120]  他說「它會給你很多優惠價去買公司的產品」
[00:00:56.120 --> 00:00:58.800]  「公司的外籍老闆經常說」
[00:00:58.800 --> 00:01:01.600]  「你們用優惠價買到的產品穿得好看」
[00:01:01.600 --> 00:01:04.240]  「We have to live out the product」
[00:01:04.240 --> 00:01:05.280]  「也就是說」
[00:01:05.280 --> 00:01:09.880]  「你要穿出服裝品牌的精髓」
[00:01:09.880 --> 00:01:10.920]  這時候我心想
[00:01:10.920 --> 00:01:13.480]  「糟了,看看自己」
[00:01:13.480 --> 00:01:16.440]  「我是死胖子來的」
[00:01:16.440 --> 00:01:21.320]  「死胖子又能穿得好別人的品牌」
[00:01:21.320 --> 00:01:23.760]  「怎麼辦呢?」
[00:01:23.760 --> 00:01:26.280]  不過感恩是美國有加加大碼的
[00:01:26.280 --> 00:01:28.720]  所以我也買得到
[00:01:28.720 --> 00:01:30.640]  但是今天我們反而想到一件事
