
[00:00:00.000 --> 00:00:02.980]  今天我們思想到一個題目
[00:00:02.980 --> 00:00:05.980]  就是基督徒活在世俗的原則
[00:00:05.980 --> 00:00:08.180]  就在《羅馬書》第十三章
[00:00:08.180 --> 00:00:09.520]  在第十二章裏
[00:00:09.520 --> 00:00:11.720]  保羅已經說過
[00:00:11.720 --> 00:00:12.940]  作為一個基督徒
[00:00:12.940 --> 00:00:16.700]  我們將身體獻上當作活祭的人
[00:00:16.700 --> 00:00:19.760]  我們在天國那裏
[00:00:19.760 --> 00:00:21.060]  去找我們的恩賜
[00:00:21.060 --> 00:00:23.020]  發揮我們的崗位
[00:00:23.020 --> 00:00:27.340]  我們也是在我們的生命那裏
[00:00:27.340 --> 00:00:30.540]  去蒙神、改變、被造就
[00:00:30.540 --> 00:00:35.720]  來活出做一個聖徒的生命所有的特質
[00:00:35.720 --> 00:00:38.160]  接著你就會問一個問題
[00:00:38.160 --> 00:00:40.960]  但基督徒仍然活在世上
[00:00:40.960 --> 00:00:44.560]  我們與這個世界有什麼關係呢?
[00:00:44.560 --> 00:00:45.500]  正如主耶穌說的
[00:00:45.500 --> 00:00:48.940]  我們仍然都要活在世上
[00:00:48.940 --> 00:00:50.880]  雖然我們不是屬於世界
[00:00:50.880 --> 00:00:52.480]  但我們仍然要活在世上的時候
[00:00:52.480 --> 00:00:54.340]  我們與這個世界有什麼關係呢?
[00:00:54.340 --> 00:00:58.140]  第一個關係當然就是與政府的關係
[00:00:58.140 --> 00:01:00.440]  所以在第十三章裏
[00:01:00.440 --> 00:01:05.420]  保羅用了幾節聖經來講與政府的關係
[00:01:05.420 --> 00:01:08.120]  「在上有權柄的仍然當信服他
[00:01:08.120 --> 00:01:10.020]  因為沒有權柄不是出於神的
[00:01:10.020 --> 00:01:12.640]  凡掌權的都是神所命的
[00:01:12.640 --> 00:01:16.120]  所以抗拒掌權的就是抗拒神的命
[00:01:16.120 --> 00:01:18.520]  抗拒的必自取刑罰
[00:01:18.520 --> 00:01:20.920]  做官的原不是叫行善的懼怕
[00:01:20.920 --> 00:01:22.320]  乃是叫作惡的懼怕
[00:01:22.320 --> 00:01:24.440]  你願意不懼怕掌權的嗎?
[00:01:24.440 --> 00:01:27.360]  你只要行善就可得他的稱讚
[00:01:27.360 --> 00:01:29.160]  因為他是神的用人
[00:01:29.160 --> 00:01:31.220]  是於你有益的
[00:01:31.220 --> 00:01:33.380]  你若作惡卻當懼怕
[00:01:33.380 --> 00:01:35.500]  因為他不是空空地配劍
[00:01:35.500 --> 00:01:36.720]  他是神的用人
[00:01:36.720 --> 00:01:37.860]  是申冤的
[00:01:37.860 --> 00:01:39.240]  刑罰乃作惡的
[00:01:39.240 --> 00:01:41.580]  所以你們必須信服
[00:01:41.580 --> 00:01:43.040]  不但是因為刑罰
[00:01:43.040 --> 00:01:44.320]  也是因為良心
[00:01:44.320 --> 00:01:47.160]  你們立良的也為這個緣故
[00:01:47.160 --> 00:01:49.060]  因為他們是神的差役
[00:01:49.060 --> 00:01:51.540]  常常特管者事
[00:01:51.540 --> 00:01:54.040]  凡人所當得的就給他
[00:01:54.040 --> 00:01:55.700]  當得良的就給他立良
[00:01:55.700 --> 00:01:57.740]  當得遜的就給他上遜
[00:01:57.740 --> 00:01:59.340]  當懼怕的懼怕他
[00:01:59.340 --> 00:02:01.820]  當恭敬的恭敬他
[00:02:01.820 --> 00:02:06.960]  這段經文講述了基督徒和社會
[00:02:06.960 --> 00:02:09.200]  和政府的關係
[00:02:09.200 --> 00:02:13.240]  這段經文其實有很多方面的討論
[00:02:13.240 --> 00:02:16.820]  我們首先逐步逐步來看
[00:02:16.820 --> 00:02:18.060]  第一步就是
[00:02:18.060 --> 00:02:20.180]  基督徒和政府的關係當中
[00:02:20.180 --> 00:02:26.020]  我們就要想想究竟政府的位置在哪裏呢?
[00:02:26.020 --> 00:02:28.600]  《羅馬書》第13章第1節
[00:02:28.600 --> 00:02:32.020]  它說:在上有權並的仍然當信服他
[00:02:32.020 --> 00:02:34.640]  因為沒有權並不是出於神的
[00:02:34.640 --> 00:02:37.280]  凡掌權的都是神所命的
[00:02:37.280 --> 00:02:41.560]  這句話很清楚已經講了
[00:02:41.560 --> 00:02:46.780]  政府不單只是一個人為的組織
[00:02:46.780 --> 00:02:52.900]  政府是神所設立的一個機構
[00:02:52.900 --> 00:02:55.860]  政府的成立是神所設立的
[00:02:55.860 --> 00:02:59.140]  是神所允許、神所命定
[00:02:59.140 --> 00:03:04.860]  也是神藥藉著政府達到祂要有的目的
[00:03:04.860 --> 00:03:07.740]  這一點是非常清楚的
