
[00:00:00.000 --> 00:00:04.000]  想問問大家有沒有試過一次很憂愁的經驗?
[00:00:04.000 --> 00:00:08.000]  我們現在俗語說的是「愁爆」
[00:00:08.000 --> 00:00:14.000]  我一次很愁爆的經驗是什麼呢?
[00:00:14.000 --> 00:00:18.000]  就是參加一個安息禮
[00:00:18.000 --> 00:00:20.000]  或者主持一個安息禮
[00:00:20.000 --> 00:00:23.000]  準備說一些安慰的話
[00:00:23.000 --> 00:00:28.000]  那次我是晚上來的
[00:00:28.000 --> 00:00:34.000]  坐的士去到禮堂
[00:00:34.000 --> 00:00:39.000]  下車就進去了
[00:00:39.000 --> 00:00:45.000]  當我準備去負責的時候
[00:00:45.000 --> 00:00:49.000]  就發覺原來我在車上
[00:00:49.000 --> 00:00:53.000]  留下了一個很重要的東西
[00:00:53.000 --> 00:00:56.000]  你覺得最重要的是什麼呢?
[00:00:58.000 --> 00:01:03.000]  手機
[00:01:03.000 --> 00:01:08.000]  那時候應該嚴格來說不是叫手機
[00:01:08.000 --> 00:01:13.000]  那時候手機和智能的裝置是分開的
[00:01:13.000 --> 00:01:16.000]  未有二合一的情況
[00:01:16.000 --> 00:01:17.000]  很多年前大家想到
[00:01:17.000 --> 00:01:20.000]  但是那部手帳
[00:01:20.000 --> 00:01:22.000]  所有的資料都在裡面
[00:01:22.000 --> 00:01:24.000]  連我的講章都在裡面
[00:01:24.000 --> 00:01:27.000]  現在的智能手機
[00:01:27.000 --> 00:01:29.000]  不過沒有手機的作用
[00:01:29.000 --> 00:01:30.000]  一樣可以上網
[00:01:30.000 --> 00:01:33.000]  一樣可以跟電腦連在一起
[00:01:33.000 --> 00:01:35.000]  其實想像現在的手機
[00:01:35.000 --> 00:01:37.000]  你想一下那時候留下了
[00:01:37.000 --> 00:01:40.000]  現在參加這個安息禮
[00:01:40.000 --> 00:01:44.000]  你完全沒有事情可以做
[00:01:44.000 --> 00:01:46.000]  心裡面很憂愁
[00:01:46.000 --> 00:01:48.000]  很擔心
[00:01:48.000 --> 00:01:49.000]  有很多資料
[00:01:49.000 --> 00:01:51.000]  很多東西
[00:01:51.000 --> 00:01:53.000]  今天如果大家手機不見了
[00:01:53.000 --> 00:01:54.000]  都是會有這樣的情況
[00:01:54.000 --> 00:01:58.000]  在這個安息禮裡面
[00:01:58.000 --> 00:02:02.000]  主教有一個悼念分享
[00:02:02.000 --> 00:02:07.000]  分享死者過去的情況
[00:02:07.000 --> 00:02:08.000]  雖然很憂愁
[00:02:08.000 --> 00:02:11.000]  但是因為主耶穌的緣故
[00:02:11.000 --> 00:02:14.000]  他們又認識主又得救
[00:02:14.000 --> 00:02:16.000]  心裡面滿有安慰
