
[00:00:00.000 --> 00:00:03.840]  我們今天看看第五講 天路與你同行
[00:00:03.840 --> 00:00:08.120]  我們今天來看希伯來書十章九 十九都二十五節
[00:00:08.120 --> 00:00:12.400]  我們先來看看 有一些我們可以叫做真言
[00:00:12.400 --> 00:00:17.000]  或者是警世良言等等 他提到友情
[00:00:17.000 --> 00:00:20.600]  友情是怎樣的呢 我們看看
[00:00:20.600 --> 00:00:25.360]  好 我們第一段就是這樣的
[00:00:25.360 --> 00:00:27.200]  我們看看愛因斯坦
[00:00:27.200 --> 00:00:28.920]  愛因斯坦你知道他是科學家
[00:00:28.920 --> 00:00:31.120]  但原來他對友情都是一番見解來的
[00:00:31.120 --> 00:00:33.720]  他說世間最美好的東西
[00:00:33.720 --> 00:00:37.760]  莫過於有幾個頭腦和心底都很正直的好朋友
[00:00:37.760 --> 00:00:39.520]  我覺得他真的挺有趣
[00:00:39.520 --> 00:00:41.360]  頭腦正直你可以想到
[00:00:41.360 --> 00:00:42.880]  因為他是科學家嘛
[00:00:42.880 --> 00:00:45.200]  頭腦要很清晰 思路要很清晰
[00:00:45.200 --> 00:00:46.680]  一是一 二是二
[00:00:46.680 --> 00:00:50.360]  但他也好 他不是單單一個機械人
[00:00:50.360 --> 00:00:51.920]  Frankenstein那些
[00:00:51.920 --> 00:00:54.440]  他都說知道心底都要正直
[00:00:54.440 --> 00:00:58.320]  如果不是的話 誰會願意跟你做朋友 是不是
[00:00:58.320 --> 00:01:03.000]  好 另外有一句這樣說
[00:01:03.000 --> 00:01:04.680]  只有在患難的時候
[00:01:04.680 --> 00:01:07.240]  才看到朋友的真心 是不是
[00:01:07.240 --> 00:01:08.520]  你有沒有試過
[00:01:08.520 --> 00:01:09.960]  當你經歷患難
[00:01:09.960 --> 00:01:12.960]  你突然之間會發現有兩個情況
[00:01:12.960 --> 00:01:15.480]  一就是以前你以為跟你好朋友那些
[00:01:15.480 --> 00:01:16.600]  突然之間怎樣
[00:01:16.600 --> 00:01:19.320]  跟你認同脈絡 不認識你就彈開了
[00:01:19.320 --> 00:01:20.320]  電話都沒有一個
[00:01:20.320 --> 00:01:21.320]  電郵都不發給你
[00:01:21.320 --> 00:01:22.920]  即是他unfriend了你
[00:01:22.920 --> 00:01:24.040]  另外一個情況就是
[00:01:24.040 --> 00:01:26.160]  平時你覺得他跟你沒有兩句
[00:01:26.160 --> 00:01:27.880]  點一下頭他 泛泛之交
[00:01:27.880 --> 00:01:29.440]  但是這種人
[00:01:29.440 --> 00:01:30.960]  在你最需要朋友的時候
[00:01:30.960 --> 00:01:32.200]  怎樣 兩脅插刀
[00:01:32.200 --> 00:01:37.320]  為你擺上很多眼淚和禱告等等
[00:01:37.320 --> 00:01:39.240]  另外在莎士比亞這樣說
[00:01:39.240 --> 00:01:42.760]  莎士比亞說朋友間必須要患難相濟
[00:01:42.760 --> 00:01:44.960]  這樣才能算得上是真正的友誼
[00:01:44.960 --> 00:01:46.080]  這個我們都知道
[00:01:46.080 --> 00:01:47.560]  有句諺語我們叫甚麼
[00:01:47.560 --> 00:01:50.120]  A friend in need is a friend in deed
