
[00:00:00.000 --> 00:00:03.880]  大家好,歡迎大家收看新一輯的歲月流程
[00:00:03.880 --> 00:00:07.360]  今天大家看到我們來到一個地方
[00:00:07.360 --> 00:00:08.880]  這裡是哪裡來的呢?
[00:00:08.880 --> 00:00:10.800]  這裡就是堅道浸信會
[00:00:10.800 --> 00:00:12.800]  今天我們的嘉賓已經坐在這裡
[00:00:12.800 --> 00:00:15.120]  很榮幸可以訪問到陳康復師
[00:00:15.120 --> 00:00:17.120]  你好,陳復師 你好,謝謝你們
[00:00:17.120 --> 00:00:20.160]  我是第一次和陳復師見面
[00:00:20.160 --> 00:00:23.720]  當然也聽過很多關於陳復師在信仰上
[00:00:23.720 --> 00:00:26.120]  在性惡,在敬拜方面的分享
[00:00:26.120 --> 00:00:32.360]  但是我們這個節目是逐一說起一個牧者的底
[00:00:32.360 --> 00:00:35.680]  我們今天就由陳復師你小時候開始說起
[00:00:35.680 --> 00:00:38.160]  陳復師你是哪一區長大的?
[00:00:38.160 --> 00:00:40.280]  我是新界區長大的
[00:00:40.280 --> 00:00:43.280]  我是元朗長大的
[00:00:43.280 --> 00:00:45.800]  在元朗小時候的生活是怎樣的?
[00:00:45.800 --> 00:00:51.240]  元朗區出現了,出沒了
[00:00:51.240 --> 00:00:53.600]  但其實我們住石岡的
[00:00:53.600 --> 00:00:57.560]  可能我不知多不多人認識石岡
[00:00:57.560 --> 00:00:58.840]  軍營
[00:00:58.840 --> 00:01:02.040]  對,我們就在軍營附近那裡住
[00:01:02.040 --> 00:01:08.160]  我想我小時候一年級的時候搬到那裡
[00:01:08.160 --> 00:01:11.240]  那時候我還記得沒有什麼人
[00:01:11.240 --> 00:01:13.920]  很少車經過,不像現在這樣
[00:01:13.920 --> 00:01:21.360]  現在那區差不多是地鐵的總站
[00:01:21.360 --> 00:01:23.920]  其中一個辦公室
[00:01:23.920 --> 00:01:28.720]  當時小時候可以晚上睡在馬路上
[00:01:28.720 --> 00:01:31.520]  沒有什麼車經過
[00:01:31.520 --> 00:01:35.800]  可以說當時是少人住的地方
[00:01:35.800 --> 00:01:38.200]  亦是交通不多的地方
[00:01:38.200 --> 00:01:43.000]  你以前是一個怎樣的小朋友呢?
[00:01:43.000 --> 00:01:47.320]  我想我是一個頗快樂的小朋友
[00:01:47.320 --> 00:01:51.720]  你試想想,家裡有一個園
[00:01:51.720 --> 00:01:53.160]  小時候有什麼玩?
[00:01:53.160 --> 00:01:56.240]  踩單車,三輪車那類
[00:01:56.240 --> 00:01:57.840]  我記得當時我有一個Scooter
[00:01:57.840 --> 00:01:58.440]  有Scooter?
[00:01:58.440 --> 00:01:59.920]  當時很高級的
[00:01:59.920 --> 00:02:02.680]  後來我發覺原來又流行了
[00:02:02.680 --> 00:02:06.000]  我都想買一個
[00:02:06.000 --> 00:02:07.160]  隨來隨去
[00:02:07.160 --> 00:02:11.040]  家裡有些,我媽媽很喜歡養東西
[00:02:11.040 --> 00:02:13.360]  我們養一個雞,就是她主要養的
[00:02:13.360 --> 00:02:16.400]  養一個雞,養一個兔,養一個葵鼠
[00:02:16.400 --> 00:02:17.800]  什麼都養
[00:02:17.800 --> 00:02:18.960]  你有沒有參與?
[00:02:18.960 --> 00:02:22.320]  有,幫忙餵,清潔
[00:02:22.320 --> 00:02:26.040]  其實童年有很多這些回憶
[00:02:26.040 --> 00:02:27.360]  小時候還有什麼玩?
[00:02:27.360 --> 00:02:31.560]  我有一個Full Collection的兒童樂園
[00:02:31.560 --> 00:02:33.720]  小朋友畫布
[00:02:33.720 --> 00:02:35.560]  有空就拿來看看
[00:02:35.560 --> 00:02:36.480]  你知不知道是什麼?
[00:02:36.480 --> 00:02:37.600]  我當然知道,兒童樂園
[00:02:37.600 --> 00:02:38.640]  我以為你還沒出生
[00:02:38.640 --> 00:02:39.720]  我出生了
[00:02:39.720 --> 00:02:41.640]  以前我去飲茶的時候
[00:02:41.640 --> 00:02:43.560]  一定是女兒,爸爸買武器
[00:02:43.560 --> 00:02:45.640]  我們就回答多一本兒童樂園
[00:02:45.640 --> 00:02:46.480]  裡面有很多東西玩
[00:02:46.480 --> 00:02:47.880]  有時候是連線
[00:02:47.880 --> 00:02:49.000]  1,2,3,4,5,6,7
[00:02:49.000 --> 00:02:50.320]  就連了一條魚出來
[00:02:50.320 --> 00:02:51.880]  又有些IQ題
[00:02:51.880 --> 00:02:54.000]  有些信箱去問問
[00:02:54.000 --> 00:02:55.760]  你都整套
[00:02:55.760 --> 00:02:58.160]  就是連著
[00:02:58.160 --> 00:03:00.040]  即是一期一期都買?
[00:03:00.040 --> 00:03:02.040]  我記得是,都有一段時間
[00:03:02.040 --> 00:03:03.240]  媽媽都疼我
[00:03:03.240 --> 00:03:06.160]  那時候其實家庭背景
[00:03:06.160 --> 00:03:07.280]  你說是不是很富裕
[00:03:07.280 --> 00:03:09.040]  就不是了,剛剛夠用
[00:03:09.040 --> 00:03:11.040]  但都能夠有這樣
[00:03:11.040 --> 00:03:15.600]  還有小時候有機會學鋼琴
[00:03:15.600 --> 00:03:17.200]  你幾多歲開始學的?
[00:03:17.200 --> 00:03:18.360]  一年級的時候
[00:03:18.360 --> 00:03:22.360]  那時候在香港學鋼琴的人不太多
