
[00:00:00.000 --> 00:00:01.120]  丁姐妹早晨
[00:00:01.120 --> 00:00:04.220]  很高興能夠再次在此和大家一起見面
[00:00:04.220 --> 00:00:05.880]  分享神的說話
[00:00:05.880 --> 00:00:07.680]  讓我們聆聽主的道義
[00:00:07.680 --> 00:00:13.280]  讓我們一起低頭仰望主的聖人面前
[00:00:13.280 --> 00:00:16.020]  七位恩主多謝您讓我們能夠再次回來
[00:00:16.020 --> 00:00:19.720]  在您寶貴的說話面前一起研讀
[00:00:19.720 --> 00:00:21.220]  求您的幫助
[00:00:21.220 --> 00:00:23.560]  讓我們能夠更加明察到
[00:00:23.560 --> 00:00:26.760]  上帝在您的啟示當中
[00:00:26.760 --> 00:00:28.840]  如何介紹給我們認識您
[00:00:28.840 --> 00:00:32.840]  讓我們能夠懂得如何跟隨祢的步而行
[00:00:32.840 --> 00:00:36.160]  所以我們再次懇求聖靈幫助我們
[00:00:36.160 --> 00:00:39.240]  帶著謙卑受教的心來到您的跟前
[00:00:39.240 --> 00:00:41.340]  求您的幫助帶領
[00:00:41.340 --> 00:00:42.840]  Amen
[00:00:42.840 --> 00:00:45.680]  在開始今天的講道以先
[00:00:45.680 --> 00:00:49.360]  我想和大家一起去思想一個問題
[00:00:49.360 --> 00:00:51.600]  究竟做神的子民
[00:00:51.600 --> 00:00:55.680]  我們是不是會有懼怕的時間呢?
[00:00:55.680 --> 00:00:58.840]  或者反過來說 問題來問的就是
[00:00:58.840 --> 00:01:00.240]  作為神的子民
[00:01:00.240 --> 00:01:04.280]  我們會不會也有懼怕的時間呢?
[00:01:04.280 --> 00:01:06.920]  在教會的歷史當中
[00:01:06.920 --> 00:01:13.520]  有不少的基督徒都曾經被塑造成為一個屬靈的偉人
[00:01:13.520 --> 00:01:18.360]  他們很多時候都要表現出一種大無畏的精神
[00:01:18.360 --> 00:01:23.080]  很英勇地去面對他每一個人生的片段
[00:01:23.080 --> 00:01:26.720]  就好像表現出一夫當關
